abandoned	si wogblẽ ɖi
abandon	gble ɖi
abide	nɔ anyi
ability	ŋutete
able	te ŋu
about	ku ɖe
above	dzi me
abroad	ablotsi
absence	aƒetsitsi
absent	tsi aƒe
absolutely	blibo
absorb	no
abstract	totoɖeme
absurd	si gɔme menyase o
abundance	do agbogbo
abundant	si sɔgbɔ
abuse	wᴐ funyafunya
accent	gbetete
accept	lɔ̃ ɖe edzi
access	mᴐnu
accident	afɔku
accommodation	nᴐƒe
accomplished	wu nu nu
accomplish	wu enu
according	le enu
account	akᴐnta
accuracy	ɖoɖonunɔnɔ
accurate	de
accused	sedzidala
ache	vevesese
achieve	kpᴐ ŋudzedze
achievement	dzidzedzekpɔkpɔ
acknowledge	de dzesi
acquaintance	ame si wodo goe
acquired	xɔ
acquire	ƒle
acquisition	nu ƒeƒle
across	to eme
action	nuwɔwɔ
active	le dɔwɔm
activities	nuwɔnawo
activity	nuwɔna
actor	fefewɔla
actually	li fifia
actual	si li fia
act	wɔ nu
acute	si kɔ dzi
adapt	trɔ
addicted	zu numame
additional	si kpe ɖe eŋu
addition	kpekpeɖeŋu
add	kpee ɖe eŋu
address	adrɛs
adequate	si de
adjacent	de axa
adjective	nyaɖɔnya
adjust	wɔ ɖɔɖɔɖo
admire	dzᴐa dzi
admit	xᴐ
adopt	xɔ
adorable	nyo ŋutᴐ
advanced	de ŋgɔ
advance	do ŋgᴐ
advantage	ŋusẽkpᴐkpᴐ
adventure	numetoto
adverb	dɔwɔnyaɖɔnya
advertisement	boblododo
advertising	le boblodom
advice	aɖaŋu
advise	ɖo aɖaŋu
advocate	nyaxɔɖeakɔla
aesthetic	tugbedzedze
affair	nya
affection	lɔlɔ̃ɖeɖefia
affect	wᴐ dᴐ ɖe edzi
affordable	si mexɔ asi o
afford	ate ŋu aƒle
afraid	vɔvɔm
after	emegbe
afternoon	ŋdᴐ
afterwards	emegbe
again	ake
against	tsi tsitre ɖe eŋu
age	ƒe
agency	alɔdze
agent	dɔla
aggressive	kple ŋusẽ
agile	zã
ago	si va yi
agree	lɔ̃ ɖe edzi
agreement	nublabla
agriculture	agbledede
ahead	le ŋgɔ
aid	kpeɖeŋu
aim	taɖodzi
airport	yameʋudzeƒe
air	ya
aisle	gbedoxɔme mɔ
alarm	gbeɖiɖi
alcohol	ahasesẽ
alert	ŋute
a little	ʋee
alive	le agbe
all	katã
allow	ɖe asi le eŋu
allowed	ɖe asi
all right	enyo
all the best	eme nenyo
almost	kloẽ
alone	akogo
along	le eŋu
a lot	geɖe
a lot of	geɖe
already	do ŋgɔ xoxo
Alright	Enyo
also	hã
alternative	nu bubu
although	togbɔ be
always	ɣe sia ɣi
amazing	wɔ nuku
ambiguous	si me mekɔ o
ambition	didi
ambitious	doa nutami
amend	wɔ tɔtrɔ
amid	wodome
am	nye
among us	miadome
among	wo dome
amount	home
amusing	ɖi kokoe
analysis	numedzodzro
ancestors	tɔgbeawo
anchor	seke
ancient	xoxo
and	kple
and you	kple wò
angel	mawudɔla
anger	dziku
angle	gɔglɔƒe
angry	kpᴐ dziku
animal	lã
ankle	afɔkpodzui
anniversary	dzigbezã
announcement	gbeƒãɖeɖe
annoy	doa dziku
annoyed	kpɔ dziku
annoying	kuadzi
annual	ƒe sia ƒe
anonymous	si ŋu ŋkɔ mele o
another	bubu
answer	ŋuɖoɖo
anticipate	kpɔ mɔ
anxiety	dzitsitsi
anxious	tsi dzi
any	aɖe
anymore	ake o
anyone	ame sia ame
anything	nu sia nu
anyway	ɖe sia ɖe ko
anyways	ɖe sia ɖe hã
apart	dome didi
apartment	xɔhaya
apologize	ɖe kuku
apparently	eme kɔ be
apparent	si me kɔ
appeal	kukuɖeɖe
appearance	dzedzeme
appear	dze
appeared	dze
appetite	nudzroame
apple	apel
application	mᴐbibia
apply	tsᴐe wᴐ dᴐ
appointment	gbeɖoɖi
appreciate	na ŋudzedzekpɔkpɔ
appreciation	ŋudzedzekpɔkpɔ
approach	te ɖe
appropriate	si dze
approval	asi dada ɖe nu dzi
approve	da asi ɖe edzi
approved	da asi ɖe edzi
approximately	anᴐ abe
april	afɔfie
arbitrary	ale si wolɔ̃
architecture	xɔtata
architect	xɔtala
archive	nudzraɖoƒe
area	teƒe
are	enye
are you busy	ele nane wɔm mahã
are you	èle
are you married	eɖe srɔ̃a
