a little	شوية
a lot	بزاف
a lot of	بزاف ديال
abandon	هجر
abandon	تخلى
abandoned	مهجور
abide	التزام
ability	قدرة
able	قادر
about	على
about	بالخصوص ديال
above	فوق
abroad	فالخارج
absence	غياب
absent	غائب
absolutely	بالضبط
absolutely	طبعًا
absorb	امتص
abstract	خلاصة
absurd	تخربيق
abundance	وفرة
abundant	كتير
abuse	إساءة
accent	لكنة
accent	نبرة
accept	بغا
accept	قبل
access	دخلة
access	وصول
accident	صدفة
accident	كسيدا
accommodation	سكن
accommodation	إقامة
accomplish	حقق
accomplished	إنجاز
according	على حسب
account	كونط
accuracy	دقة
accurate	دقيق
accused	متهم
ache	حريق
achieve	وصل
achieve	حقق
achievement	إنجاز
acknowledge	اعترف
acquaintance	معرفة
acquire	اكتسب
acquired	مكتسب
acquisition	اكتساب
across	على
act	قانون
act	مثّل
action	إجراء
action	تصرف
active	نشيط
activities	أنشطة
activity	نشاط
actor	ممثل
actual	حقيقي
actually	فعلاً
actually	فالحقيقة
acute	قاصح
adapt	ولّف
add	زيد
addicted	مدمن
addition	زيادة
additional	إضافي
additional	زايد
address	عنوان
address	عالج
adequate	مناسب
adjacent	قريب
adjective	صفة
adjust	عدّل
admire	عجبو
admire	معجب
admit	اعترف
adopt	تبني
adorable	زوين
advance	عربون
advance	سبّق
advanced	متقدم
advantage	ميزة
adventure	مغامرة
adverb	ظرف
advertisement	إعلان
advertising	دعاية
advice	نصيحة
advise	نصيحة
advocate	محامي
advocate	دافع على
aesthetic	جمالي
affair	علاقة غرامية
affair	قضية
affect	أثّر على
affection	عاطفة
afford	تحمّل
affordable	بثمن معقول
afraid	خايف
after	بعد
afternoon	بعد الظهر
afterwards	موراها
again	عاوتاني
against	ضد
against	مقابل مع
age	سن
age	هصر
agency	وكالة
agent	وكيل
aggressive	عنيف
agile	رشيق
ago	هادي
agree	وافق
agreement	اتفاقية
agriculture	زراعة
ahead	لقدام
aid	مساعدة
aim	هدف
aim	غرض
air	هوا
airport	مطار
aisle	ممر
aisle	جناح
alarm	تنبيه
alarm	إنذار
alcohol	خمر
alcohol	كحول
alert	تنبيه
alert	إنذار
alive	حي
all	جميع
all	كلّو
all right	وخا
all the best	نتمناليك الخير
allow	خلّا
allowed	مسموح
almost	تقريباً
almost	علاين
alone	وحيد
along	على طول
already	ديجا
Alright	مزيان
Alright	وخا
also	حتى
alternative	بديل
although	بالرغم من
although	وخا
always	ديما
amazing	واعر
ambiguous	غامض
ambition	طموح
ambitious	طموح
amend	عدّل
amid	وسط
among	من بين
among us	بيننا
amount	ثمن
amount	الكمية
amusing	مسلي
analysis	تحليل
ancestors	أسلاف
anchor	مذيع
anchor	مرساة
ancient	قديم
and	و
and you	ونتا
angel	ملاك
anger	عصب
angle	زاوية
angry	ساخط
angry	معصّّب
animal	حيوان
ankle	شوڤيا
anniversary	ذكرى
anniversary	عيد
announcement	إعلان
annoy	شقم
annoyed	مقلق
annoyed	معصب
annoying	فيه الشقمة
annoying	مزعج
annual	سنوي
anonymous	مجهول
another	آخر
answer	جواب
answer	جاوب
anticipate	توقّع
anxiety	قلق
anxious	مقلق
any	أي
anyone	أي واحد
