a little	бичииле
a lot	хөй
a lot of	дыка хөй
abandon	кагдынган
abandoned	кагдынган
abide	сагыыр
ability	чаяанныы
able	шыдаар
about	ол дугайында
above	кырында
abroad	соңгаар
absence	чогу
absent	чок болур
absolutely	көнгүс
absorb	сиңирер
abstract	абстрактылыг
absurd	утка чок чүүл
abundance	чедер-артар
abundant	элбек
abuse	дорамчылал
accent	акцент
accept	хүлээп алыр
access	кирери
accident	озал-ондактыг таварылга
accommodation	таарыштыр тургузары
accomplish	күүседир
accomplished	доозупкан
according	ёзугаар
account	счёт
accuracy	ылаптыы
accurate	ылаптыг
accused	буруудаттырган
ache	аарыыр
achieve	чедип алыр
achievement	чедиишкин
acknowledge	деп көөр
acquaintance	таныжылга
acquire	апаар
acquired	алган
acquisition	тып алыры
across	кежилдир
act	үүлгедиг
action	үүлгедиг
active	идепкейлиг
activities	ажыл-чорудулга
activity	ажыл-чорудулга
actor	актёр
actual	херек кырында
actually	шыны-дизе
actually	шынап болза
acute	чидиг
adapt	чаңчыгар
add	немээр
addicted	хамааржыры
addition	немелде
additional	немелде
address	адрес
adequate	дүүшкек
adjacent	кожаландыр
adjective	демдек ады
adjust	таарыштырар
admire	магадаар
admit	хүлээп алыр
adopt	азырап алыр
adorable	чаптанчыг
advance	бурунгаарладыыр
advanced	мурнакчы
advantage	ажыы
adventure	онза таварылга
adverb	наречие
advertisement	реклама
advertising	рекламалаан
advice	сүме
advise	сүмелээр
advocate	болчукчу
aesthetic	эстетиктиг
affair	болуушкун
affect	чалдар чедирер
affection	хандыкканы
afford	чөпшээрээр
affordable	таарымчалыг
afraid	коргар
after	ооң соонда
after	соонда
afternoon	дүүш соо
afterwards	сөөлүнде
again	катап
against	удур
age	назын
agency	агентство
agent	агент
aggressive	халдакчы
agile	кашпагай
ago	бурунгаар
agree	чөпшээрээр
agreement	дугуржулга
agriculture	Көдээ ажыл-агый
ahead	мурнунда
aid	дузаламчы
aim	шыгаашкын
air	агаар
airport	аэропорт
aisle	эртер чер
alarm	дүвүрээзин
alcohol	арага
alert	дүвүрээзин
alive	дириг
all	шупту
all right	шупту чүве анаа
all the best	эң эки чүвелерни кузээр
allow	чөшпээрээр
allowed	чөпшээрээн
almost	барык-ла
alone	чааскаан
along	дургаар
already	шагда-ла
Alright	шын
Alright	ынчаарга
also	ынчангаш
alternative	өске янзылыг
although	болза
always	үргүлчү
always	черле
amazing	кайгамчыктыг
ambiguous	хөй уткалыг
ambition	бодун тогдунары
ambitious	бодун тогдунар
amend	частырыгны эдер
amid	ортузунда
among	аразында
among us	аравыста
amount	сан
amount	түң
amusing	хөктүг
analysis	анализ
ancestors	өгбелер
anchor	өртэг
ancient	эрте-бурунгу
and	биле
and you	сен база
and you	силер база
angel	ангел
anger	килең
angle	азыг
angry	хорадаан
animal	мал
ankle	көкерек
anniversary	ой
announcement	чарлаары
annoy	шаптыктаар
annoyed	бужурганган
annoying	анчыг
annual	чылдын
anonymous	ат салбаан
another	өске
answer	харыы
anticipate	даап билир
anxiety	сагыш човаар
anxiety	дүүрээшкин
anxious	сагыш човаар
any	кандыг-даа
anymore	каттап кылбас
anyone	кым-даа болза
anything	чүү-даа болза
anyway	канчаан-даа болза
anyways	канчаан даа болза
apart	аңгыда
apartment	квартира
apologize	өршээл дилээр
apparent	илдең
apparently	чадапчок
appeal	хуулары
appear	тыптыр
appearance	даштыкы хевири
appeared	тыптып келген
appetite	аппетит
apple	яблок
application	капсырылга
apply	ажыглаар
appointment	ужуражылга
appreciate	үнелээр
appreciation	өөрүп четтиргени
approach	чоогаар
approach	чоокшулап алыр
appropriate	таарымчалыг
approval	тургузары
approve	чүүлдүгзүнер
approved	чүүлдүгзүттунген
approximately	барык-ла
april	дөрт ай
arbitrary	доктаамал эвес
architect	архитектор
architecture	архитектура
archive	архив
are you	сен
are you	силер
are you busy	чай чок силер бе
are you busy	чай чок сен бе
are you married	сен өгленген сен бэ
are you married	Силер өгленген силер бэ
are you married or single	силер өгленип алган силер бе азы чааскан
are you married or single	сен өгленип алган сен бе азы чааскан
Are you still there?	сен ам-даа мында сен бе
are you there	сен ында сен бе
are you there	силер ында силер бе
area	девискээр
argue	маргыжар
argument	барымдаа
arise	тыптыр
arm	хол
army	шериг
around	долгандыр
arrange	чурумчудар
arrangement	таарыштыр тургузары
arrival	келири
arrive	келир
arrived	келген
arrogant	улуургак
arrow	согун
art	уран-чүүл
article	чүүл
artificial	кылымал
artist	артист
as long as	аразында
as well	база
as well as	база ышкаш
ash	хүл
ashamed	ыяттырган
ask	айтырар
asked	айтырган
asleep	удуп чыдар
aspect	тала
Assamese	Асаам
assault	халдаашкын
assembly	хурал
assertive	бадыткалдыг
assess	өртээн доктаадыр
assessment	үнелээр
asset	хөреңги
assets	активтер
assign	айтыр
assignment	сорулга
assist	дузалажыр
assistant	дузалакчы
associate	холбаар
associated	хамаарылган
association	ассоциация
assume	деп бодаар
assumption	даап бодаары
at least	бети дизе
ate	чипкен
athlete	спортсмен
attach	чыпшырар
attached	быжыглаткан
attachment	ижиккени
attack	халдаар
attempt	шенелде
attend	олуржуп турар
attendance	барып турары
attention	кичээнгей
attitude	харылзаа
attract	сонуургадыр
attraction	хаара тудары
attractive	сонуурганчыг
attribute	атрибут
audience	аудитория
august	сес ай
aunt	даай-авай
aunty	угба
authentic	боду
author	чогаадыкчы
authority	эрге-чагырга
autumn	күс
available	чайлыг
available	хостуг
average	ортун
avoid	частырар
awake	одуг
award	шаңнал
aware	билиглиг
awareness	билири
away	өскээр
awesome	кайгамчык
awesome	кайгамчыктыг
awful	аажок коргончуг
awkward	эпчок
Aymara	Аймара
baby	өпея
bachelor	бакалавр
back	дээдир
back	аткаар
background	фон
bad	багай
bag	барба
bait	чемиш
bake	быжырар
bakery	пекарня
baking soda	чемге ажыглаар сода
balance	баланс
ball	бөмбүк
Bambara	Бамбара
banana	банан
band	группа
bang	согар
bank	банк
bar	бар
barely	арай деп
bargain	дугуржулга
bark	ээрер
barley	арбай
barrier	барьер
base	үндезин
based	үндезилеттинген
basement	подвал
basic	үндезин
basically	колдуунда
basil	базилик
bastard	бастард
batch	партия
bath	ванна
bathroom	ванная
battery	батарея
battle	дайын
bay	мугулдур
be	бар болур
be careful	оваарымчалыг бол
beach	эрик кыдыы
beam	херел
beans	чочак-тараа аймаа
bear	чүктээр
bear	ап чоруур
beard	сал
bearing	көдүрүп алган
beast	араатан
beat	согар
beautiful	каас-чараш
beautiful	чараш
beauty	чаражы
became	апарган
because	чүге дээрге
because	чүге дизе
become	апаар
bed	орун
bedroom	удуур өрээл
bee	ары
beef	инек эъди
been	турган
beer	пиво
before	беттинде
before	баары
began	эгелээн
begin	эгелээр
beginning	эге
behalf	адындан
behave	бодун ап чоруур
behavior	аажы-чаңы
behaviour	аажы-чаңы
behind	артында
being	болур
belief	бүзүрел
believe	бузурээр
belly	ижин
belong	хамааржыр
beloved	ынак кижизи
below	куду
belt	кур
bench	узун сандай
bend	ыргайтыр
beneath	адаанда
benefit	ажыктыы
benefits	ажыктыы
beside	кожа
besides	оон аңгыда
best	эң эки
best of luck	чедимчелиг болурун күзедим
best regards	хүндүлел-биле
better	эки
between	аразында
beverage	суксун
beyond	ажыр
Bhojpuri	Бхожпури
