ए	a
इसे ल'	a little
बुरजा	a lot
बिराद गोबां अनजिमा	a lot of
एंगार	abandon
दुथां	abandoned
मानि	abide
गोहो	ability
हानाय	able
सोमोनदै	about
सायाउ	above
गुबुन हादोराव	abroad
गैयै	absence
नुजाथियै	absent
नंथारगौ	absolutely
सोबखां	absorb
गुबै बाथरा	abstract
मिनिथाव	absurd
बुरजा	abundance
गोबां	abundant
गारजियै बाहायनाय	abuse
अत्याचार	abuse
गारां	accent
नाजाव	accept
मोनहैनाय	access
ओंखारनाय	access
हरखाब जानाय	accident
थानायनि सुबिदा	accommodation
फुरा खालाम	accomplish
फुरा खालामनाय	accomplished
बै बायदि	according
हिसाब	account
थाखि थुखि	accuracy
गोरोनथि गैयै	accurate
दाय होजानाय	accused
सानायाव भुगि	ache
सानाय	ache
मावना मुनामफा मोन	achieve
मोनफुंनाय	achievement
सिमान ला	acknowledge
सिनायथि	acquaintance
मोन	acquire
आरजि	acquired
आरजिनाय हाबा	acquisition
बारै	across
हाबा	act
हाबा	action
मावथि	active
खामानि	activities
हाबाफारि	activity
फावखुंगुर	actor
नंगौवै	actual
नंगुबैयै	actually
गोबौ	acute
गोरोब	adapt
दाजाब	add
एंगार हायि	addicted
दाजाबनाय	addition
उफ्रा	additional
थावनि	address
बिबुंसार हो	address
उदायनाय	adequate
सेराव थानाय	adjacent
थाइलालि	adjective
गोरोबनाय	adjust
बाखनाय	admire
गनायनाय	admit
ला	adopt
अनजाथाव	adorable
सिगां	advance
आवगाय	advance
आवगाय	advanced
खाबु	advantage
खैफोद गोनां हाबा	adventure
थाइजानि थाइलालि	adverb
मिथि हो	advertisement
फोसाव	advertising
बोसोन होनाय	advice
बोसोन हो	advise
उकिल	advocate
जुक्तिजों होबथा	advocate
समायना मोजां मोनग्रा एबा बाखनायग्रा	aesthetic
खामानि	affair
गोहोम खोखलै	affect
अननाय	affection
रां एबा सम खरसा खालाम	afford
खरसा खालामनो हाथावना	affordable
गिनाय	afraid
उन	after
सानजौफु	afternoon
बिनि इउनाव	afterwards
आरोबाव	again
बेरेखा	against
बैसो	age
गमसता	agency
थानदै	agent
नांलायनो मोजां मोनग्रा	aggressive
मावथि	agile
आगोलाव	ago
गनायथि	agree
रादाय	agreement
आबाद	agriculture
सिगांनि	ahead
मदद	aid
थांखि	aim
बार	air
बिरग्रा दिङा बाग्रा जायगा	airport
गीरजानि मोननैबो सारिनि गेजेरजों थांलाय फैलाय खालामनो हानाय लामख	aisle
इसारा	alarm
बिलाति जौ	alcohol
साबदान	alert
गोथां	alive
गासिबो	all
गासैबो मोजां	all right
गाहामै लिर	all the best
अनुमथि हो	allow
अनुमथि हो	allowed
प्रार	almost
हारसिं	alone
लोगोसे	along
सिगांआवनो	already
थिगैनो	Alright
आरोबाव	also
मोननैनि गेजेराव मोनसे	alternative
थेउबो	although
जेब्लाबो	always
दङ	am
बाखनायथाव	amazing
रोखानङै	ambiguous
हाबिलास	ambition
हासथायसुला	ambitious
