chuchoko	a little
vinandi	a lot
vinandi vya	a lot of
lekelela	abandon
kulekeka	abandoned
kulondezga	abide
luso	ability
kufiska	able
pafupifupi	about
pachanya	above
kuwalo	abroad
kwizako yayi	absence
wakhala	absent
ntheura	absolutely
kumwerera	absorb
kukhwasika yayi	abstract
ntchawaka	absurd
vinandi	abundance
vinandi	abundant
kugwiliskira nchito uheni	abuse
mazgu ghakuyowoyeka	accent
zomelezga	accept
kugwiliskira ntchito	access
ngozi	accident
malo gha kugona	accommodation
kukwaniliska	accomplish
kumalizga	accomplished
kuyana na	according
akaunti	account
unenesko	accuracy
kuneneska	accurate
kudandaulika	accused
kupweteka	ache
kwaniska	achieve
kukwaniska	achievement
zomerezga	acknowledge
munthu uyo tikumanyana nayo	acquaintance
tola	acquire
tola	acquired
kutola	acquisition
ku sirya linyake	across
kuchita	act
kuchitapo kanthu	action
chakugwila ntchito	active
vyakuchitika	activities
chakuchitika	activity
akita	actor
veneko	actual
nakuti	actually
nyengo yakuchepa	acute
kusintha	adapt
sazga	add
kutemwesesa	addicted
zazgila	addition
chakusazgilapo	additional
adiresi	address
vyakukwana	adequate
pafupi	adjacent
ajekitivi	adjective
kusintha	adjust
kudokera	admire
zomelezga	admit
kupokelera fundo zakupangika kale	adopt
kondweska	adorable
panthazi	advance
ŵakukhwima	advanced
mwawi	advantage
vyakusanguluska	adventure
muonjezi wa mneni	adverb
kutsatsa malonda	advertisement
kuchita malonda	advertising
langizo	advice
vwira	advise
wakwimira	advocate
zakukondweska	aesthetic
wawiri wambura kutolana	affair
khwaska	affect
chitemwa	affection
kwaniska	afford
kukwaniskika	affordable
kuopha	afraid
fuma	after
namise	afternoon
kufuma apo	afterwards
kanyakheso	again
kususka	against
vyaka	age
wupu	agency
ejenti	agent
wakuchita nkhaza	aggressive
kupepuka thupi	agile
kumanyuma	ago
pulikana	agree
chipulikano	agreement
ulimi	agriculture
panthazi	ahead
wovwiri	aid
chilato	aim
muvuchi	air
chibanja cha ndege	airport
mwakujumpha	aisle
chenjezgo	alarm
mowa	alcohol
tcheru	alert
kuba moyo	alive
tose	all
napulika	all right
viwemi vose	all the best
zomelezga	allow
zomelezga	allowed
pafupifupi	almost
wekha	alone
pamoza	along
kale	already
napulika	Alright
kweniso	also
nthowa inyakhe	alternative
nanga uli	although
nyengozose	always
ine	am
vwakuziziziswa	amazing
kuwa na mang'anamulo vinandi	ambiguous
chakulata	ambition
wakukhumbisiska	ambitious
nozga	amend
pakati	amid
pakati pa	among
pakati pa ise	among us
unandi	amount
kukondwesa	amusing
kusanda	analysis
mizimu	ancestors
chisulo chizito	anchor
vyakale	ancient
ndipo	and
iwe ke	and you
mungelo	angel
ukali	anger
kona	angle
kwiya	angry
chilombo	animal
chiwangwa	ankle
chikondwelelo	anniversary
chiphalazgo	announcement
kukwiya	annoy
kukwiyiska	annoyed
kwiyska	annoying
chaka	annual
wambulakumanyikwa	anonymous
chinyakhe	another
zgolo	answer
kulindilira	anticipate
kuopha	anxiety
