a	sere
a little	sike'de'
a lot	jai
a lot of	jai
abandon	ambokoi
abandoned	nibokoi
abide	mantang
ability	pakkul leyang
able	akkulle
above	irate
abroad	pantarang negara
absence	katenan
absent	tena
absolutely	sarring
absorb	angiru
abstract	abstrak
absurd	sia sia
abundance	kelimpahan
abundant	allumpa
abuse	menyalah gunakan
abuse	siksaan
accent	aksen
accept	annarima
access	akses
access	angngakses
accident	kacilakaan
accommodation	akomodasi
accomplish	appaleba
accomplished	ahli
according	menurut
account	akun
accuracy	ketepatan
accurate	tepat
accused	nijo'jo'
ache	aprrisi
ache	garring
achieve	anggappa
achievement	panggappangan
acknowledge	angngaku
acquaintance	agang
acquire	anggapa
acquired	ni gappa
acquisition	akuisis
across	oloang
act	aggio
action	panggaukan
active	aktif
activities	panggaukang
activity	aktivitas
actor	pakarena
actual	sitojengngannaiyya
actually	sitojenna
acute	akut
adapt	menyesuaikan
add	annambah
addicted	kecanduan
addition	pannamba
additional	tambahan
address	alama'
address	abbicara
adequate	ammadai
adjacent	siballean
adjective	kana sipa
adjust	appakacoco
admire	mengagumi
admit	angngakui
adopt	angngalle
adorable	appakarannu rannu
advance	canggi
advance	maju
advanced	canggih
advantage	pappisawallang
adventure	petualangan
adverb	kana keterangang
advertisement	iklan
advertising	iklang
advice	pangajara
advise	appakainga
advocate	pengacara
advocate	menganjurkan
aesthetic	gaga
affair	perselingkuhan
affect	mempengaruhi
affection	pangngamaseang
afford	assare
affordable	anrapi
afraid	malla'
after	lekba
afternoon	karueng
afterwards	le'bans antu
again	seng
against	angngewa
age	umuru
agency	agen
agent	agan
aggressive	agresif
agile	lincah
ago	allo riboko
agree	setuju
agreement	perjanjian
agriculture	pertanian
ahead	ri dallekang
aid	bantuan
aim	tujuan
air	udara
airport	bandara
aisle	lorong
alarm	alarm
alcohol	alkohol
alert	peringatan
alive	tallasa
all	iya ngaseng
all right	bajimhi
all the best	ia ngaseng paling bajikka
allow	nipabbiang
allowed	akkulle
almost	Sikedekmami
alone	kale kale
along	siagang
already	le'ba
Alright	Iye paeng
also	tong
alternative	maraenganna
although	manna mamo
always	sanging
amazing	porena
ambiguous	ambigu
ambition	ambisi
ambitious	sanna ero'na
amend	mengubah
amid	ri tangnga
among	diantara
among us	sala se'retta
amount	jaina
amusing	appasannang
an	sibatu
analysis	angngakkali
ancestors	tau riolo
anchor	jangkara
ancient	anu sallo
and	siagang
and you	dan ikatte
angel	maleka
anger	larro
angle	sudut
angry	larro
animal	satwa
ankle	pergelangan kaki
anniversary	peringatan taungan
announcement	pabburitta
annoy	angganggu
annoyed	terganggu
annoying	a'ganggu
annual	attaun
anonymous	anonim
another	lain
answer	jawab
answer	ajjawab
anticipate	angngantisipasi
anxiety	mallak
anxious	cemas
any	tungga tunggala
anymore	pole
anyone	ianai pun
anything	sambarang
anyway	antekammapun
