abandoned	hlokomologilwe
abandon	hlokomologa
abide	obamela
ability	bokgoni
able	kgona
about	mabapi le
above	ka godimo
abroad	naga e šele
absence	se be gona
absent	hlokega
absolutely	ka nnete
absorb	mona
abstract	naganwago
absurd	makatšago
abundance	bontši
abundant	ntši
abuse	tlaiša
accent	tobetšo
accept	amogela
access	fihlelela
accident	kotsi
accommodation	marobalo
accomplished	fihleletšego
accomplish	fihlelela
according	go ya ka
account	akhaonte
accuracy	ka nepagalo
accurate	nepagetše
accused	molatofatšwa
ache	bohloko
achieve	fihlelela
achievement	phihlelelo
acknowledge	amogela
acquaintance	motsebalegi
acquired	hweditše
acquire	hwetša
acquisition	phihlelelo
across	kgabaganya
action	kgato
active	mafolofolo
activities	mediro
activity	mošomo
act	molao
actor	moraloki
actually	nnetenete
actual	makgonthe
acute	bogale
adapt	amogela
add	hlakanya
addicted	lekgoba la
additional	tlaleletšo
addition	tlaleletšo
address	aterese
adequate	lekanetšego
adjacent	bapela
adjective	lehlaodi
adjust	beakanya
admire	kgahlega
admit	amogela
adopt	amogela
adorable	hlomphegago
advanced	gatetšego pele
advance	gatetšego pele
advantage	mohola
adventure	bohlagahlaga
adverb	lehlathi
advertisement	papatšo
advertising	kwalakwatšo
advice	maele
advise	eletša
advocate	mmoleledi
aesthetic	temogišišo ya bokgabo
affair	kamano
affect	amega
affection	lerato
affordable	rekega
afford	nea
afraid	tšhogile
after	morago ga
afternoon	mathapama
afterwards	morago ga moo
again	gape
against	kgahlanong
age	mengwaga
agency	lekalatirelo
agent	agente
aggressive	rumola
agile	go ba le matšato
ago	fetilego
agree	dumela
agreement	tumelelano
agriculture	temo
ahead	pele
aid	thušo
aim	maikemišetšo
air	moya
airport	boemafofane
aisle	sekgala
alarm	alamo
alcohol	alkhoholo
alert	temošo
a little	gannyane
alive	phela
all	ka moka
allow	dumelela
allowed	dumeletšwe
all right	go lokile
all the best	katlego e botse
almost	nyakile
alone	noši
along	go bapela
a lot	kudu
a lot of	bontši bja
already	šetše
Alright	Go lokile
also	gape
alternative	ye nngwe
although	le ge
always	ka mehla
am	a
amazing	makatšago
ambiguous	belaetšago
ambition	phišegelo
ambitious	na le phišego
amend	fetoša
amid	magareng
among	magareng
among us	magareng ga rena
amount	palo
amusing	makatšago
analysis	tshekatsheko
ancestors	bagologolo
anchor	tshetledi
ancient	kgalekgale
and	le
and you	gomme wena
angel	lengeloi
anger	pefelo
angle	sekhutlo
angry	befetšwe
animal	phoofolo
ankle	kokoilane
anniversary	segopotšo
announcement	tsebišo
annoyed	tenegile
annoying	selekiša
annoy	lapiša
annual	ngwaga ka ngwaga
anonymous	sa tsebjego leina
another	nngwe
answer	karabo
anticipate	letela
anxiety	tlalelo
anxious	fišega
any	efe goba efe
anymore	le gatee
anyone	mang le mang
anything	se sengwe le se sengwe
anyway	efe le efe
anyways	ditsela dife goba dife
apart	kgaogana
apartment	phapoši
apologize	kgopela tshwarelo
apparent	bonagalago
apparently	eke
appeal	boipiletšo
appearance	ponagalo
appeared	tšweletše
appear	hlaga
appetite	tumo
apple	apola
application	kgopelo
apply	diriša
appointment	peo
appreciate	leboga
appreciation	temogo
approach	batamela
appropriate	maleba
approval	tumelelo
approved	dumeletšwe
approve	dumelela
approximately	e ka bago
april	aprele
arbitrary	ka boithatelo
architect	moatšhiteke
architecture	thutaboagi
archive	bokgobadingwalo
area	tikologo
are you busy	o tsene fase ka mošomo
are you married	naa o nyetšwe
are you married or single	o nyetšwe goba ga se wa nyalwa
are you	naa o
Are you still there?	Naa o sa le gona?
are you there	o gona
argue	ngangišana
argument	ngangišano
arise	tsoga
arm	letsogo
army	sešole
around	raretša
arrange	beakanya
arrangement	peakanyo
arrival	go fihla
arrived	fihlile
arrive	fihla
arrogant	boikgantšho
arrow	lerumo
art	bokgabo
article	selo
artificial	maitirelo
artist	moraloki
as	bjalo
ashamed	jewa ke dihlong
ash	molora
asked	botšišitše
ask	kgopela
asleep	robetše
as long as	ge fela e le gore
aspect	ntlha
Assamese	Assamese
assault	tlaiša
assembly	kopano
assertive	na le tiišetšo
assess	lekola
assessment	tekolo
asset	phahlo
assets	dithoto
assign	beela
assignment	karolelo
assistant	mothuši
assist	thuša
associate	amanya
associated	amanago
association	mokgatlo
assume	bona gore
assumption	go tšea gore
as well as	gammogo le
as well	gammogo le
ate	jele
at	ga
athlete	moatlelete
at least	bonnyane
attached	kgomareditšwego
attach	kgomaretša
attachment	sekgomaretšwa
attack	hlasela
attempt	leka
attendance	go tsenela
attend	tsenela
attention	tlhokomelo
attitude	maitshwaro
attract	ba le maatlakgogedi
attraction	gogago mahlo
attractive	maatlakgogedi
attribute	lehlaodi
audience	batheeletši
august	agosetose
aunt	rakgadi
aunty	mofepi
authentic	ya makgonthe
authority	taolo
author	mongwadi
autumn	lehlabula
available	hwetšagala
average	magareng
avoid	efoga
awake	tsogile
award	mpho
aware	lemoga
awareness	temogo
away	kgole
awesome	thabiša
awful	boifišago
awkward	šulafetšego
Aymara	Aymara
baby	lesea
bachelor	kgope
background	bokamorago
back	morago
bad	mpe
bag	mokotla
bait	segoketšo
bake	paka
bakery	lepaka
baking soda	soda ya go paka
balance	palantshe
ball	kgwele
Bambara	Bambara
banana	panana
band	lepanta
bang	bethiša
bank	panka
barely	e sego gantši
bargain	thekofase
bark	goba
barley	garase
bar	paa
barrier	lepheko
based	theilwe go
basement	botlaseng
base	motheo
basically	gabotsebotse
basic	ya motheo
basil	peisele
bastard	lepastere
batch	sehlopha
bath	go hlapa
bathroom	bohlapelo
battery	peteri
battle	tlhabano
bay	khunwana
beach	lebopo
beam	phadima
beans	dinawa
beard	ditedu
bearing	pering
bear	rwala
beast	phoofolo
beat	betha
beautiful	botse
beauty	bobotse
became	bile
be careful	hlokomela
because	ka lebaka la
become	e ba
bed	mpete
bedroom	borobalelo
beef	nama ya kgomo
been	be
bee	nosi
beer	piri
before	pele ga
began	thomišitše
beginning	mathomong
begin	thoma
be	go ba
behalf	legatong la
behave	itshwara gabotse
behavior	maitshwaro
behaviour	maitshwaro
behind	ka morago
being	sebopiwa
belief	tumelo
believe	dumela
belly	mpa
belong	ya
beloved	a rategago
below	ka fase
belt	lepanta
bench	panka
bend	koba
beneath	ka fase
benefit	kholego
benefits	dikholego
beside	ntle le
besides	ka ntle ga
best	kaonekaone
best of luck	tše botse di go atele
best regards	re go lakaletša mahlatse
better	kaone
between	magareng
beverage	dinotagi
beyond	mošola
Bhojpuri	Bhojpuri
biased	tšea lehlakore
bias	tšea lehlakore
bicycle	paesekela
bid	re
big	kgolo
bike	paesekela
bill	molaokakanywa
bind	bofa
bird	nonyana
birthday	letšatši la matswalo
bite	loma
bit	gannyane
bitter	galaka
black	ntsho
blade	legare
blame	sola
blanket	lepai
blank	se nago selo
blast	thuthupiša
bleach	šweufatša
blend	tswakanya
blessed	šegofaditšwe
bless	šegofatša
blind	foufala
bliss	boiketlo
block	thibela
blood	madi
bloom	khukhuša
blow	butšwetša
blue	talalerata
blunt	kubegile
board	boto
boat	seketswana
body	mmele
boil	bediša
bold	bokoto
bond	kgwerano
bone	lerapo
book	puku
booster	pusetara
boost	matlafatša
boot	putu
boots	diputsu
border	mollwane
bore	bodutu
bored	tenegile
boring	tšwafiša
born	belegwe
borrow	adima
boss	molaodi
both	bobedi
bother	tshwenya
bottle	lebotlelo
bottom	tlase
bought	rekile
bounce	fofa
boundaries	mellwane
bound	tlemilwe
bow	inama
bowl	sekotlelo
box	lepokisi
boyfriend	lesogana
boy	mošemane
bracelet	leseka
brain	bjoko
branch	lekala
brand	leswao
brave	nago le sebete
breach	tlolo ya molao
bread	borotho
breakfast	difihlolo
break	thuba
breast	letswele
breathe	hema
breath	mohemo
breed	lešika
brick	setena
bride	monyadiwa
bridge	leporogo
brief	kopana
bright	phadimago
brilliant	bohlale
bring	tliša
broadcast	gaša
broad	petleke
bro	buti
broken	robegile
broke	robegile
broom	leswielo
brother	buti
brother in law	mokgonyana
brought	rekile
brown	sotho
brush	poraše
bucket	pakete
buddy	mogwera
budget	tekanyetšo
bug	tšhitšhidi
build	aga
building	moago
built	agilwe
bulk	mokgobo
bull	poo
bully	mphenyašilo
bump	thula
bunch	ngata
bundle	mokgobo
