Langai	a
kaji sha	a little
zup	a lot
grai law hkra	a lot
law htam ai	a lot of
grai law hkra	a lot of
myit daw mat ai	abandon
kabai kau ai	abandon
kam mara rai nga ai lam	abandon
kabai kau ai	abandoned
kabai tawn ai	abandoned
myit galu ai	abide
grin ai	abide
ga sadi dung ai	abide
atsam	ability
dang di ai	able
daram	about
a lam	about
hta e	above
ntsa	above
maigan mungdan	abroad
n nga ai lam	absence
n du dung lawm ai lam	absence
n sa du ai wa	absent
n du dung lawm ai	absent
n nga ai	absent
hkrak tup	absolutely
chyup la ai	absorb
myit chyung ai	absorb
myit lawm ai	absorb
myit hte seng ai	abstract
ga machyim	abstract
ga n se	abstract
n teng n man ai	absurd
lachyum n pru ai	absurd
grai law htam ai lam	abundance
nhpaw n-ya re ai lam	abundance
ntaw ntsang	abundant
nhpaw nya	abundant
matsut jaw ai	abuse
yu tsaw yu nyem nsen	accent
n sen nyem tsaw hte shaga ai	accent
hkap la ai	accept
mahkrun	access
lam	access
hkala nba	accident
sa shara	accommodation
nga shara	accommodation
ngut kre ai	accomplish
shangut shakre ai	accomplished
hte maren	according
jahpan	account
hkrak re ai lam	accuracy
tup hkrak ai lam	accuracy
hkrak	accurate
hkrak hkrak	accurate
tup hkrak	accurate
shadu da ai	accused
mara shagun kau ai	accused
nachying machyi ai	ache
ka ut machyi ai	ache
hkam la lu ai	achieve
awngdang la lu ai	achieve
hkam la lu ai	achievement
masat masa galaw ai	acknowledge
hkam la ai	acknowledge
mawn yu ai hparat	acquaintance
chye manang	acquaintance
hka ja ai	acquire
shakung ai	acquire
lu la ai	acquired
hka ja la ai	acquired
lu tam la ai rai	acquisition
lu la ai lam	acquisition
tang tang	across
lai nna	across
shamu shamawt ai	act
galaw shabyin ai	act
galaw ai	act
hkrang shala ai	action
zet tsang ai	active
kasang kalang re ai	active
shamu shamawt ai lam	activities
galaw ai bungli	activities
shamu shamawt lam	activity
jasu alun ya ai arai	activity
sumla hkrung shadang	actor
kaja ngu yang	actual
tatut hta	actual
kaja ngu yang	actually
myit gat ai	acute
nsen kachyeng ai	acute
laja lana re ai	acute
htap htuk hkra galaw la ai	adapt
jahtuk jahkrak la ai	adapt
jat ai	add
bang ai	add
