a	ah
a little	likke bit
a lot	meny
a lot of	ole heep
abandon	abandan
abandoned	leff
abide	stay
ability	can duh
able	able
about	bout
above	above
abroad	farin
absence	nuh deh yah
absent	absent
absolutely	difinately
absorb	suck up
abstract	empty
absurd	crazy
abundance	abundance
abundant	plenty
abuse	lik dung
accent	accent
accept	aksep
access	akcess
accident	aksident
accommodation	place fi stay
accomplish	finish
accomplished	accomplish
according	accaadin
account	account
accuracy	accuracy
accurate	carreck
accused	did accuse
ache	pain
achieve	achieve
achievement	gains
acknowledge	aknalij
acquaintance	acquaintance
acquire	get
acquired	get
acquisition	sitn weh yuh get
across	cross
act	play
action	movement
active	staat
activities	activity dem
activity	activity
actor	acta
actual	akchwal
actually	actually
acute	trait
adapt	get use tuh
add	add aan
addicted	addictid
addition	addition
additional	additional
address	address
adequate	enuf
adjacent	beside
adjective	adjective
adjust	ajuss
admire	luv up
admit	canfess
adopt	tek een
adorable	nice
advance	step up
advanced	move up
advantage	advantij
adventure	advencha
adverb	adverb
advertisement	advatisment
advertising	a advatise
advice	advice
advise	tell
advocate	advocate
aesthetic	nuff beauty
affair	a cheat
affect	affeck
affection	affeckshan
afford	afford
affordable	affordible
afraid	fraid
after	afta
afternoon	midday
afterwards	lata
again	again
against	gainst
age	years
agency	agency
agent	agent
aggressive	angry
agile	frisky
ago	aguh
agree	gree
agreement	agreement
agriculture	agriculcha
ahead	bifore
aid	elp
aim	goal
air	breeze
airport	airport
aisle	aile
alarm	alaam
alcohol	alkwol
alert	active
alive	kickin
all	all
all right	arite
all the best	gud luck
allow	allow
allowed	did allow
almost	likkle mos'
alone	by miself
along	wid
already	aready
Alright	Awrite
also	also
also	to
alternative	adda
although	aldough
always	always
amazing	amazin'
ambiguous	two way
ambition	ambishan
ambitious	hav shame
amend	amen'
amid	wile
among	among
among us	amung wi
amount	amount
amusing	funny
an	an
analysis	undastanin
ancestors	ancesta dem
anchor	fassen
ancient	ol'
and	an
and you	an yuh
angel	angel
anger	madniss
angle	angle
angry	mad
animal	animal
ankle	ankle
anniversary	anniversry
announcement	announcement
annoy	annay
annoyed	did annoy
annoying	annoyin'
annual	evry 'ear
anonymous	secrit
another	aneda
answer	ansa
anticipate	anticipate
anxiety	anxiaty
anxious	ankshus
any	eny
anymore	nuh mo'
anyone	enybadi
anything	enyting
anyway	eny which way
anyways	enyway
apart	a paat
apartment	apartment bildin
apologize	apalajiz
apparent	evident
apparently	mo' dan likely
appeal	appeal
appear	luk
appearance	luks
appeared	did appear
appetite	feel fi eat
apple	apple
application	application
apply	apply
appointment	appointment
appreciate	apprecilove
appreciation	luv
approach	approach
appropriate	appropriate
approval	approval
approve	bless up
approved	agree tuh
approximately	bout
april	april
arbitrary	random
architect	architeck
architecture	arckitecha
archive	archive
are you	a yuh
are you busy	yuh busy
are you married	yuh marrid
are you married or single	yuh marrid ar single
Are you still there?	Yuh deh deh still
are you there	yuh deh deh
area	place
argue	cuss
argument	cussin
arise	get up
arm	han'
army	army
around	round
arrange	orda
arrangement	arrangement
arrival	reach een
arrive	reach
arrived	cum
arrogant	misarable
arrow	arrow
art	aat
article	artickle
artificial	fawz
artist	aatiss
as	az
as long as	lang as
as well	tuh
as well as	tuh
ash	ashes
ashamed	shame bad
ask	aks
asked	did aks
asleep	a sleep
aspect	aspeck
Assamese	Assamese
assault	fite
assembly	meetin
assertive	nuff bad
assess	luk pon
assessment	tess
asset	belongin dem
assets	asset dem
assign	gi tuh
assignment	work
assist	help out
assistant	helpa
associate	associate
associated	did associate
association	associashan
assume	assume seh
assumption	assume
at	a
at least	at leas'
ate	eat
athlete	runna
attach	hole on pon
attached	glu pon
attachment	attachment
attack	attack
attempt	try
attend	guh
attendance	attendance
attention	attention
attitude	hattitude
attract	attrack
attraction	attrashon
attractive	cute
attribute	characta
audience	crowd
august	accur
aunt	anty
aunty	anty
authentic	genuin
author	writa
authority	ova 'eads
autumn	aatum
available	available
average	averige
avoid	avide
awake	wake up
award	prize
aware	aware
awareness	knalij af
