сахал	a little
нумай	a lot
нумай	a lot of
пăрахса кай	abandon
юхăннă	abandoned
чăт	abide
пултарулăх	ability
пултаракан	able
çинчен	about
çийĕн	above
ют ҫӗршывра	abroad
çукки	absence
çук	absent
пĕтĕмпех	absolutely
ҫӑтса ил	absorb
абстрактлă	abstract
тӑрлавсӑр	absurd
çителĕклĕх	abundance
тулӑх	abundant
кӳрентер	abuse
кӳрентерӳ	abuse
акцент	accent
йышăн	accept
ирĕк ил	access
ирĕк пани	access
авари	accident
вырнаçтарни	accommodation
вĕçле	accomplish
пĕтернĕ	accomplished
килĕшӳллĕ	according
счет	account
тĕрĕслĕх	accuracy
тĕплĕ	accurate
айăпланакан	accused
ырату	ache
ырат	ache
ҫит	achieve
ӳсĕм	achievement
çирĕплет	acknowledge
паллашу	acquaintance
туп	acquire
туянтӑм	acquired
туянни	acquisition
урлă	across
ту	act
пай	action
активлă	active
ӗҫсем	activities
ӗҫ-хӗл	activity
актер	actor
чăннипе	actual
тĕрĕссипе	actually
çивĕч	acute
май килтер	adapt
хуш	add
сӑхлан	addicted
хушни	addition
хушăм	additional
адрес	address
ыйт	address
çителĕклĕ	adequate
юнашар	adjacent
паллă ячĕ	adjective
хатĕрлесе çитер	adjust
тĕлĕнсе савăн	admire
йышăн	admit
йышăн	adopt
ытарайми	adorable
малтанхи тӳлев	advance
малалла пыр	advance
аталаннă	advanced
ыттисенчен лайӑхрах пулни	advantage
мыскара	adventure
наречи	adverb
пĕлтерÿ	advertisement
рекламăлани	advertising
канаш	advice
пĕлтер	advise
хутĕлевçĕ	advocate
хÿтĕле	advocate
эстетикăлла	aesthetic
килӗшӳ	affair
витер	affect
иленӳ	affection
пултар	afford
юрӑхлӑ	affordable
хӑра	afraid
хыҫҫӑн	after
кун	afternoon
каярах	afterwards
тепре	again
хирĕç	against
усĕм	age
агентство	agency
агент	agent
агрессиллĕ	aggressive
чĕрĕ	agile
каялла	ago
килĕш	agree
килĕшÿ	agreement
ял хуçалахĕ	agriculture
малта	ahead
пулăшу	aid
тĕллев	aim
сывлăш	air
аэропорт	airport
хушă	aisle
авари сигналĕ	alarm
эрех тавраш	alcohol
асăрхаттар	alert
чĕрĕ	alive
пурте	all
юрать	all right
ырлăх сунатăп	all the best
ирĕк пар	allow
ирĕклĕ	allowed
пек	almost
пӗччен	alone
тăрăх	along
ӗнтӗ	already
Юрĕ	Alright
те	also
альтернатива	alternative
пăхмасăр	although
яланах	always
тĕлĕнмелле илемлĕ	amazing
икӗ пĕлтерĕшлĕ	ambiguous
амбици	ambition
амбициллĕ	ambitious
урăхлат	amend
варринчи	amid
хушшинче	among
пирĕн хушăра	among us
сумма	amount
кулӑшла	amusing
тишкерÿ	analysis
мăн асаттесем	ancestors
якорь	anchor
авалхи	ancient
тата	and
эсĕ те	and you
ангел	angel
çилĕ	anger
кĕтес	angle
усал	angry
чĕр-чун	animal
пакӑлчак	ankle
çулталăк	anniversary
пӗлтерӳ	announcement
йăлăхтар	annoy
вӗчӗрхенӳллӗ	annoyed
йăлăхтармăш	annoying
çулленхи	annual
ятсăр	anonymous
урăх	another
хуравла	answer
хурав	answer
сиссе тӑр	anticipate
канăçсăрлăх	anxiety
хумханлă	anxious
кирек	any
урăх	anymore
кам та пулсан	anyone
мĕнтĕр	anything
кирек мĕнле пулсан та	anyway
пурпĕрех	anyways
тӗрлӗ енне	apart
хваттер	apartment
каçару ыйт	apologize
куҫкӗрет	apparent
ахăртнех	apparently
хирĕçлесе çыр	appeal
курăн	appear
тухни	appearance
тухрӗ	appeared
аппетит	appetite
панулми	apple
заявлени	application
усă кур	apply
палăртни	appointment
пахала	appreciate
тав туни	appreciation
май	approach
пăх	approach
шайлашуллă	appropriate
ырлани	approval
çирĕплет	approve
çирĕплетнĕ	approved
яхăн	approximately
ака уйăхĕ	april
хӑй ирӗккӗн	arbitrary
архитектор	architect
архитектура	architecture
çит	archive
эсĕ-и	are you
эсĕ пушă-и	are you busy
эсӗ качча кайнӑ-и	are you married
эсĕ авланнă-и е хусах-и	are you married or single
Эсĕ халĕ те кунта-и?	Are you still there?
эсе унта-и	are you there
вырăн	area
хирĕçле	argue
аргумент	argument
сиксе тух	arise
алă	arm
çар	army
йĕри-тавра	around
вырнаçтар	arrange
вырнаçтарни	arrangement
килни	arrival
килни	arrive
килчĕ	arrived
мăнкăмăллă	arrogant
çĕмрен	arrow
ÿнер	art
статья	article
искусство	artificial
ÿнерçĕ	artist
пек	as
чухне	as long as
çавăн пекех	as well
ҫавӑн пекех	as well as
кĕл	ash
вӑтанчӑк	ashamed
ыйт	ask
ыйтрĕ	asked
ҫывӑрса кай	asleep
аспект	aspect
Ассамла	Assamese
тапăн	assault
пуçтар	assembly
тимлӗ	assertive
хакла	assess
хак пани	assessment
актив	asset
активсем	assets
ларт	assign
ӗҫе лартни	assignment
пулăш	assist
пулăшакан	assistant
пĕрле çыхăнтар	associate
çыхăннă	associated
ассоциаци	association
шутла	assume
йышӑнни	assumption
айăккинче	at
тинех	at least
çинĕ	ate
атлет	athlete
çумне хур	attach
çирĕплетнĕ	attached
хушса пани	attachment
атака	attack
тăрăшу	attempt
тăрăш	attempt
пул	attend
пурри	attendance
тимлĕх	attention
позици	attitude
явăçтар	attract
илĕртӳлĕх	attraction
илĕртӳллĕ	attractive
атрибут	attribute
аудитори	audience
çурла	august
аппа	aunt
инке	aunty
чăн	authentic
автор	author
полномочи	authority
кĕркунне	autumn
çитме майлă	available
вăтамран	average
пăрăн	avoid
ăнланса ил	awake
наградăла	award
ăнкар	aware
пĕлсе тăни	awareness
кунтан	away
çӳçентерӳллĕ	awesome
ытла хăруш	awful
алапаш	awkward
Аймарала	Aymara
пӗчӗк ача	baby
бакалавр	bachelor
хыçал	back
хысалти	background
начар	bad
сумка	bag
илĕртмелли япала	bait
пĕçер	bake
çăкăр лавкки	bakery
апат соди	baking soda
шайлаштар	balance
шайлашу	balance
мечĕк	ball
Баманала	Bambara
банан	banana
лента	band
кӗрӗслетни	bang
банк	bank
рейка	bar
аран	barely
биржа килĕшĕвĕ	bargain
вĕрни	bark
урпа	barley
чăрмав	barrier
тĕп	base
никĕсленнĕ	based
подвал	basement
тĕп	basic
тӗрӗссипе каласан	basically
базилик	basil
йĕксĕк	bastard
парти	batch
ванна	bath
ваннăй	bathroom
батарея	battery
ҫапӑҫу	battle
бухта	bay
пул	be
тимлĕ пул	be careful
пляж	beach
кашта	beam
пӑрҫа	beans
упа	bear
чăт	bear
сухал	beard
подшипник	bearing
выльăх	beast
тапă	beat
тап	beat
илемлĕ	beautiful
хитрелĕх	beauty
пул	became
мĕншĕн тесен	because
пулан	become
кравать	bed
çывăрмалли пÿлĕм	bedroom
вĕлле хурчĕ	bee
пăру ашĕ	beef
сăра	beer
умĕн	before
пуçламăш	began
пуçла	begin
пуçламăш	beginning
хута кĕни	behalf
тыткаларăш	behave
хӑйне тыткалани	behavior
тыткаларăш	behaviour
хыҫалта	behind
пул	being
ĕненÿ	belief
ĕнен	believe
хырăм	belly
кĕр	belong
кӑмӑллӑ	beloved
аяларах	below
пиçиххи	belt
сак	bench
ав	bend
аялта	beneath
усă пар	benefit
усă	benefit
лайӑх енĕсем	benefits
унсăр пуçне	beside
унсăр пуçне	besides
чи лайӑх	best
ăнăçу сунатăп	best of luck
сума суса	best regards
аванрах	better
хушшинче	between
ĕçмелли	beverage
кӗмен	beyond
Бходжпурила	Bhojpuri
вырӑнтан кӑларни	bias
малтанах шанман	biased
велосипед	bicycle
сĕнÿ	bid
пысăк	big
велосипед	bike
квитанци	bill
пĕрлештер	bind
кайăк	bird
çуралнă кун	birthday
турам	bit
çырт	bite
çыртни	bite
йӳҫӗ	bitter
хура	black
çивĕчĕш	blade
айăпла	blame
айăп	blame
пушă	blank
пушă	blanket
взрыв	blast
шурат	bleach
хутăш	blend
ырă кăтарт	bless
сăваплă	blessed
суккăр	blind
ырлăх	bliss
хупса хур	block
юн	blood
чечеклен	bloom
вӗр	blow
кӑвак	blue
мăкат	blunt
хăма	board
кимĕ	boat
ÿт	body
вĕре	boil
хулăн	bold
парӑм обязательстви	bond
шăмă	bone
кӗнеке	book
заказ пар	book
вăйлану	boost
вăйлат	boost
усилитель	booster
атă	boot
атă	boots
чикĕ	border
шӑтар	bore
пусӑрӑнчӑк	bored
кичем	boring
çурал	born
кивçен ил	borrow
начальник	boss
иккĕшĕ те	both
йӑлӑхтар	bother
бутылка	bottle
тĕпĕ	bottom
илнĕ	bought
сиккеле	bounce
тивет	bound
чикĕсем	boundaries
тайăм	bow
тирĕк	bowl
коробка	box
арҫын ача	boy
тус	boyfriend
сулă	bracelet
миме	brain
турат	branch
бренд	brand
хăюллă	brave
пăс	breach
ҫӑкӑр	bread
хуç	break
тӑхтав	break
ирхи апат	breakfast
кăкăр	breast
сывлани	breath
сывла	breathe
ăрат	breed
кирпĕч	brick
çураçнă хĕр	bride
кĕпер	bridge
кĕскен калани	brief
йăмăх	bright
бриллиант	brilliant
кӳрсе кил	bring
ыр çыннăм	bro
сарлака	broad
радиовещани	broadcast
çĕмрĕк	broke
ҫӗмӗрӗлнӗ	broken
шăпăр	broom
пичче	brother
шăллăм	brother
хунчăкам	brother in law
илсе килчĕ	brought
хăмăр	brown
щётка	brush
витре	bucket
вăртах	buddy
бюджет	budget
хурт-кăпшанкă	bug
ту	build
çурт	building
ту	built
калӑпӑшлӑ	bulk
вăкăр	bull
хулиган	bully
чыш	bump
çыхă	bunch
ҫыхӑ	bundle
тултар	burden
тултарни	burden
пытарнă	buried
çун	burn
ялтăрав	burst
пытар	bury
автобус	bus
тĕм	bush
бизнес	business
бюст	bust
ерçӳллĕ мар	busy
анчах	but
çу	butter
лĕпĕш	butterfly
тÿме	button
ил	buy
айăккинче	by
сăмах май	by the way
чипер	bye
купăста	cabbage
шкаф	cabinet
читлĕх	cage
торт	cake
пăру	calf
чӗнни	call
чӗн	call
ман пата шăнкăравла	call me
текен	called
лăпкă	calm
килчĕ	came
кампани	campaign
консерв банки	can
пултар	can
пултараймастăп	can't
Пăрахăç ту	Cancel
рак	cancer
пултаруллă	capable
пысăкăш	capacity
капитал	capital
çырни	caption
тыткăна ил	capture
çӑмӑл машина	car
карьера	career
асăрхануллă	careful
асăрхануллă	carefully
тирпейсӗр	careless
тăрăшуллă	caring
платник	carpenter
кавир	carpet
кишĕр	carrot
йăтса çӳре	carry
малалла ту	carry on
ту	carry out
тĕслĕх	case
алăра пур укҫа	cash
шăратса тунă япала	cast
крепость	castle
кĕтмен	casual
кушак	cat
тыт	catch
категори	category
шултра мăйракаллă выльăх	cattle
тытрĕ	caught
илсе кил	cause
сăлтав	cause
асăрхаттару	caution
асӑрхануллӑ	cautious
ҫӗр хӑвӑлӗ	cave
шăплан	cease
мачча	ceiling
уявла	celebrate
ячейка	cell
центр	center
ĕмĕр	century
пăтă	cereal
церемони	ceremony
паллă	certain
чăнах	certainly
сертификат	certificate
сăнчăр	chain
тенкел	chair
кăткăс япалана шутла	challenge
кăткăслăх	challenge
шанăç	chance
улăштар	change
йĕркесĕрлĕх	chaos
кӑмӑл	character
характеристикăсем	characteristics
тултар	charge
ыркăмăллăх	charity
ытарайми	charming
карта	chart
хăвала	chase
