abandoned	جێهێڵراو
abandon	وازهێنان
abide	پابەند بوون
ability	توانا
able	توانا
about	دەربارەی
above	لەسەر
abroad	لە دەرەوەی وڵات
absence	نەبوون
absent	نەهاتوو
absolutely	بێگومان
absorb	هەڵمژین
abstract	پوختە
absurd	بێهوودە
abundance	فرەیی
abundant	بێ شومار
abuse	مامەڵەی خراپ
accent	شێوەزار
accept	پەسەندکردن
access	دەسگەیشتن
accident	ڕووداو
accommodation	شوێنی مانەوە
accomplished	تەواوکرا
accomplish	تەواوکردن
according	بەگوێرەی
account	ئەژمێر
accuracy	ووردی
accurate	وورد
accused	تاوانباری کرد
ache	ژان
achievement	دەسکەوت
achieve	بەدەست هێنان
acknowledge	دان پێدانان
acquaintance	ناسیار
acquired	بەدەستی هێنا
acquire	بەدەست هێنان
acquisition	بەدەست هێنان
across	سەرانسەر
action	کردار
active	چالاک
activities	چالاکیەکان
activity	چالاکی
actor	ئەکتەر
actually	لە ڕاستیدا
actual	ڕاستی
act	کردار
acute	تووند
adapt	گونجان
addicted	ئالوودە
additional	زیاتر
addition	زیادکردن
address	ناونیشان
add	زیادکردن
adequate	گونجاو
adjacent	نزیک
adjective	ئاوەڵناو
adjust	ڕێکخستن
admire	سەرسام بوون
admit	دان پێدانان
adopt	تەبەنی
adorable	خۆشەویست
advanced	پێشکەوتوو
advance	بەرەوپێش چوون
advantage	سوود
adventure	سەرکەشی
adverb	هاوەڵکار
advertisement	ڕێکلام
advertising	ڕیکلامکردن
advice	ئامۆژگاری
advise	ڕاوێژ
advocate	داکۆکیکار
aesthetic	جوانی
affair	کاروبار
affection	سۆز
affect	کاریگەری
affordable	نرخ گونجاو
afford	توانین
afraid	ترس
afternoon	دوای نیوەڕۆ
afterwards	دواتر
after	دوای
against	لەدژی
again	دووبارە
agency	دەزگا
agent	بریکار
age	تەمەن
aggressive	دووژمنکارانە
agile	گورج و گۆڵ
ago	لەمەوبەر
agreement	ڕێککەتن
agree	ڕازی بوون
agriculture	کشتوکاڵ
ahead	لەپێش
aid	هاوکاری
aim	مەبەست
airport	فڕۆکەخانە
air	هەوا
aisle	ڕێڕەو
alarm	ئاگادارکردنەوە
alcohol	کحول
alert	ئاگاداری
a little	کەمێک
alive	زیندوو
allowed	ڕێپێدراو
allow	ڕێپێدان
all right	باشە
all the best	بەهوای باشترین
all	گشت
almost	زۆرینە
alone	تەنها
along	لەگەڵ
a lot of	زۆرێک لە
a lot	زۆر
already	خۆی
Alright	باشە
also	هەروەها
alternative	جێگرەوە
although	گەرچی
always	گشت کاتێک
amazing	ناوازە
ambiguous	ناڕوون
ambition	هیوا
ambitious	ئاوات خواز
amend	هەموار کردن
amid	لەگەڵ
among us	لەنێوان ئێمە
among	لە نێوان
amount	بڕ
amusing	دڵخۆشکەر
