a little	chuchoko
a lot	vinandi
a lot of	vinandi vya
abandon	lekelela
abandoned	kulekeka
abide	kulondezga
ability	luso
able	kufiska
about	pafupifupi
above	pachanya
abroad	kuwalo
absence	kwizako yayi
absent	wakhala
absolutely	ntheura
absorb	kumwerera
abstract	kukhwasika yayi
absurd	ntchawaka
abundance	vinandi
abundant	vinandi
abuse	kugwiliskira nchito uheni
accent	mazgu ghakuyowoyeka
accept	zomelezga
access	kugwiliskira ntchito
accident	ngozi
accommodation	malo gha kugona
accomplish	kukwaniliska
accomplished	kumalizga
according	kuyana na
account	akaunti
accuracy	unenesko
accurate	kuneneska
accused	kudandaulika
ache	kupweteka
achieve	kwaniska
achievement	kukwaniska
acknowledge	zomerezga
acquaintance	munthu uyo tikumanyana nayo
acquire	tola
acquired	tola
acquisition	kutola
across	ku sirya linyake
act	kuchita
action	kuchitapo kanthu
active	chakugwila ntchito
activities	vyakuchitika
activity	chakuchitika
actor	akita
actual	veneko
actually	nakuti
acute	nyengo yakuchepa
adapt	kusintha
add	sazga
addicted	kutemwesesa
addition	zazgila
additional	chakusazgilapo
address	adiresi
adequate	vyakukwana
adjacent	pafupi
adjective	ajekitivi
adjust	kusintha
admire	kudokera
admit	zomelezga
adopt	kupokelera fundo zakupangika kale
adorable	kondweska
advance	panthazi
advanced	ŵakukhwima
advantage	mwawi
adventure	vyakusanguluska
adverb	muonjezi wa mneni
advertisement	kutsatsa malonda
advertising	kuchita malonda
advice	langizo
advise	vwira
advocate	wakwimira
aesthetic	zakukondweska
affair	wawiri wambura kutolana
affect	khwaska
affection	chitemwa
afford	kwaniska
affordable	kukwaniskika
afraid	kuopha
after	fuma
afternoon	namise
afterwards	kufuma apo
again	kanyakheso
against	kususka
age	vyaka
agency	wupu
agent	ejenti
aggressive	wakuchita nkhaza
agile	kupepuka thupi
ago	kumanyuma
agree	pulikana
agreement	chipulikano
agriculture	ulimi
ahead	panthazi
aid	wovwiri
aim	chilato
air	muvuchi
airport	chibanja cha ndege
aisle	mwakujumpha
alarm	chenjezgo
alcohol	mowa
alert	tcheru
alive	kuba moyo
all	tose
all right	napulika
all the best	viwemi vose
allow	zomelezga
allowed	zomelezga
almost	pafupifupi
alone	wekha
along	pamoza
already	kale
Alright	napulika
also	kweniso
alternative	nthowa inyakhe
although	nanga uli
always	nyengozose
am	ine
amazing	vwakuziziziswa
ambiguous	kuwa na mang'anamulo vinandi
ambition	chakulata
ambitious	wakukhumbisiska
amend	nozga
amid	pakati
among	pakati pa
among us	pakati pa ise
amount	unandi
amusing	kukondwesa
analysis	kusanda
ancestors	mizimu
anchor	chisulo chizito
ancient	vyakale
and	ndipo
and you	iwe ke
angel	mungelo
anger	ukali
angle	kona
angry	kwiya
animal	chilombo
ankle	chiwangwa
anniversary	chikondwelelo
announcement	chiphalazgo
annoy	kukwiya
annoyed	kukwiyiska
annoying	kwiyska
annual	chaka
anonymous	wambulakumanyikwa
another	chinyakhe
answer	zgolo
anticipate	kulindilira
anxiety	kuopha
anxious	kwenjerwa
any	chichose
anymore	chiliposo
anyone	waliyose
anything	chilichose
anyway	mu nthowa yiliyose
anyways	mu nthowa yiliyose
apart	kufunyapo
apartment	nyumba
apologize	phepiska
apparent	kuwoneka
apparently	zikuwoneka kuti
appeal	kukasuska
appear	woneka
appearance	kaonekelo
appeared	kuwoneka
appetite	chilakolako cha kurya
apple	apozi
application	kugwiliskira ntchito
apply	lembela
appointment	sankhika
appreciate	dokela
appreciation	kukhorwa
approach	fikila
appropriate	chakuyenelela
approval	Kuzomerezga
approve	zomelezga
approved	zomelezgeka
approximately	kuyerekeza waka
april	epulo
arbitrary	nkhwesa
architect	nkhwantha ya vyakuzenga
architecture	vyakuzenga
archive	sunga vinthu
are	imwe
are you	kasi imwe
are you busy	wabizika
are you married	kasi uli kutengwa
are you married	kasi uli kutola
are you married or single	ka uli kutengwa olo yayi
Are you still there?	uchali penepapo
are you there	ulipo apo
area	malo
argue	kangana
argument	mukangano
arise	kufuma
arm	woko
army	wasilikali
around	kuzungulira
arrange	kunozga
arrangement	ndondomeko
arrival	kufika
arrive	fika
arrived	fika
arrogant	nkhwesa
arrow	ntchetho
art	luso
article	nkhani
artificial	chanadi yayi
artist	waluso
as	nga ni
as long as	para
as well	kweniso
as well as	nakutiso
ash	vyoto
ashamed	soni
ask	fumba
asked	fumba
asleep	mutulo
aspect	chigaŵa
Assamese	Assamese
assault	yamba mwa mbembe
assembly	ungano
assertive	mwakujigomezga
assess	kupima
assessment	kuwunika
asset	katundu
assets	katundu
assign	kupereka
assignment	ntchito
assist	kuovwira
assistant	wokuvwita
associate	kugwilizgana
associated	vyakukolerana
association	gulu la wanthu
assume	kughanaghana
assumption	sachizgo
at	pa
at least	kwambura kuchera pa
ate	irya
athlete	masewera ghakulimbiska thupi
attach	sazgako
attached	kubanyako
attachment	kukakika
attack	yamba
attempt	yezgelela
attend	wapo
attendance	kizilo
attention	teghelezga
attitude	nkharo
attract	kuchema
attraction	kukopa
attractive	ŵakutowa
attribute	kakhaliro
audience	wakuteghelezga
august	august
aunt	asibweni wanakazi
aunty	ankhazi
authentic	unenesko
author	wakulemba
authority	wa udindo
autumn	nyengo ya chihanya
available	chilipo
available	nilipo
average	pa avereji
avoid	kutcheŵa
awake	maso
award	mphotho
aware	manya
awareness	kumanya
away	kutali
awesome	vyakukondwesa
awful	chiheni
awkward	mbura kwenerera
Aymara	Aymara
baby	mwana
bachelor	batchala
back	kumanyuma
background	kunyuma kwa chithuzi
bad	kunangika
bag	chikwama
bait	nyambo
bake	kuphika na tirigu
bakery	bekale
baking soda	soda
balance	kukhazikika
ball	bola
Bambara	Bambara
banana	nthochi
band	bandi
bang	tchaiska
bank	bankl
bar	bara
barely	pachoko waka
bargain	malonda
bark	gwentha
barley	barley
barrier	chijando
base	kuwumaliro kwa chinthu
based	kufumira
basement	chipinda cham'munsi
basic	vakwambilira
basically	nkhanira
basil	basil
bastard	chindere
batch	katundu uyo wapangika pa nyengo yimoza
bath	geza
bathroom	malo ghakugezela
battery	batile
battle	mbembe
bay	mphepete
be	kuwa
be careful	makola makola
beach	mphepete mwa nyanja
beam	ungweru
beans	ntchunga
bear	manya kuti
beard	mwembe
bearing	kubaba
beast	chilombo
beat	tchaya
beautiful	kutowa
beauty	kutowa
became	kuba
because	chifukwa
become	kuja
bed	bedi
bedroom	chipinda
bee	njuchi
beef	nyama ya ng'ombe
been	kuwapo
beer	moba
before	pambele
began	yamba
begin	yamba
beginning	kumayambililo
behalf	m'malo
behave	nkhalo
behavior	nkharo
behaviour	nkhalo
behind	kuseli
being	kuwa
belief	chigomezgo
believe	gomezga
belly	nthumbo
belong	kuŵa nawo
beloved	wakutemweka
below	pasi
belt	lamba
bench	mpando
bend	pinda
beneath	pasi
benefit	phindu
benefits	vyakuhala
beside	paluwande
besides	kweniso
best	chiwemi chomene
best of luck	viwemi vyose
best regards	viwemi vyose
better	nkhasako
between	pakati
beverage	vyakumwa
beyond	jumphizga
Bhojpuri	Bhojpuri
bias	kutemwela
biased	kutemwera
bicycle	njnga
big	kukula
bike	njinga
bill	bilu
bind	bika pamoza
bird	kayuni
birthday	zuba lakubabika
bit	kachoko
bite	luma
bitter	ukali
black	chifipa
blade	chakuthwa
blame	kuŵika mulandu pa
blank	pambula kanthu
blanket	bulangete
blast	kuphulika
bleach	kuyeresa
blend	kusakanikirana
bless	tumbika
blessed	tumbika
blind	khungu
bliss	chimwemwe
block	janda
blood	ndopa
bloom	chithanyelo
blow	kuwombera
blue	buluwu
blunt	kwambula kubisa
board	bolodi
boat	boti
body	thupi
