a	Yembo
a little	Bilifou
a lot	wusgo
a lot of	Bond wusg
abandon	N base
abandoned	basbo
abide	In winlgé
ability	Toongo
able	Kato
about	Kitamin
above	Bũmb faa zouguin
abroad	Yibéoogo mnonga
absence	Ka wa yé
absent	Sin pa wa
absolutely	Ha Inti ta teka
absorb	Guinsé
abstract	Sẽn ka tõe n gadenga
absurd	Ka vooré
abundance	Belem
abundant	Soman
abuse	yõsgre
accent	Tiki
accept	Saké
access	Tarsoré
accident	sãpogre
accommodation	Reegé sando
accomplish	N pidsi
accomplished	Sida
according	San ya ne
account	Bingr_zinga
accuracy	Mak n zemga
accurate	Bou mingré
accused	rondé
ache	Zabdem
achieve	Inta
achievement	manesgo
acknowledge	N bãnge
acquaintance	bãngre
acquire	N paame
acquired	minim
acquisition	Paoongo
across	Sintou
act	tõogo
action	mansem
active	Sẽn tʋmda
activities	Touma
activity	toumdé
actor	Oub-ramba
actual	Sida
actually	Bala
acute	Silinga
adapt	Minim
add	N paase
addicted	Sominga
addition	Paasga
additional	Sin paasda
address	Fo zinga
adequate	Sẽn zemga
adjacent	Sin yekda
adjective	yalenga
adjust	N paase
admire	Pingui
admit	N sake
adopt	Saki
adorable	Taryamleoogo
advance	Nanda
advanced	Sẽn zãage
advantage	Nafa
adventure	weoogo
adverb	Tununga
advertisement	piuugu
advertising	Wiliguemenga
advice	Saglega
advise	Sagenda
advocate	boukaooda
aesthetic	Nagme
affair	yelle
affect	Teemzinga
affection	nonglem
afford	Songtiyi
affordable	Sakda touma
afraid	Yaiisé
after	Loogre poore
afternoon	wĩndiga
afterwards	Bilifou
again	Yaasa
against	Pasaké
age	Youmdé
agency	Toumd zinga
agent	Toumtoumda
aggressive	Zab-zabda
agile	Bon boné
ago	In bé
agree	Saké
agreement	Sakré
agriculture	Koobo
ahead	taoore
aid	Songré
aim	tulsem
air	pemsem
airport	Silig pougo
aisle	Kengé
alarm	Kunga
alcohol	Raam beesé
alert	Wilig pinda
alive	Vɩɩga
all	Faan
all right	Sakamin
all the best	Mam daab fan
allow	Songtiyi
allowed	Sor sẽn kũ
almost	Wenda
alone	a yé
along	A woglema
already	Woto
Alright	Soma
also	Sin paasde
alternative	Lɛtenga
although	Baa ne rien fan
always	Wakat fan
am	Be
amazing	Patindyé
ambiguous	Naaga taaba
ambition	nangré
ambitious	Mag bɛd soaba
amend	tedgé
amid	Souka
among	Souka
among us	Tond souka
amount	Ligdan
amusing	Tar-reem
an	Ye
analysis	wegsé
ancestors	Yaab ramba
anchor	Kout zisgo
ancient	Koudré
and	Nin
and you	La foo
angel	Malek
anger	Soun yikri
angle	Pinka
angry	Souyikri
animal	Rounga
ankle	Naosinkemdé
anniversary	Ro-daare
announcement	Wilgui
annoy	Pakre
annoyed	Soun yikri
annoying	Katoumdé
annual	Yʋʋmd fãa
anonymous	Sin solgé
another	A to
answer	Lokré
anticipate	Pindi dendé
anxiety	Kulsem
anxious	Rabeem
any	A soab fan
anymore	paasga
anyone	Neda yaare
anything	Sin yi a soab fan
anyway	Sin yasoab fan
anyways	Sen yaa soab fan
apart	San ka
apartment	Zag ganga
apologize	N kos sugri
apparent	Sin wind
apparently	Yaa wa
appeal	Boolé
appear	Pouki
appearance	Wilgo
appeared	Minem
appetite	Rii yamléoogo
apple	Pɔme
application	Kon minga
apply	Maan soma
appointment	Id kon taabseka
appreciate	Piangé
appreciation	Pingbo
approach	Kolgé
appropriate	Bangué
approval	Yam sakre
approve	sakre
approved	Saké
approximately	mamsga
april	Tuul nif kiuugu
arbitrary	Yam dabo
architect	Meeb taor soaba
architecture	Meeb nin bon naadi
archive	Yel-kʋda
are	Yaa
are you	Fo be …
are you busy	Fo tara toumd la
