a little	nnye
a lot	thata
a lot	ntsi
a lot of	tse dintsi
abandon	tlogela
abandoned	tlogela
abide	ikokobeletsa
abide	nna
ability	bokgoni
able	kgona
about	ka ga
above	fa godimo
abroad	mosega
absence	bo sa nneng teng
absent	tlhokafalo
absolutely	tota
absorb	monyela
abstract	tshobokanyo
absurd	mo go se nang tlhaloganyo
abundance	motlele
abundant	go nna motlele
abuse	tshotlakako
abuse	sotlakaka
accent	tsela ya go bua
accept	amogela
access	fitlhelela
accident	kotsi
accommodation	madulo
accomplish	fitlhelela
accomplished	fitlheletse
according	go ya ka
account	akhaonte
account	ikarabela
accuracy	nepo
accurate	nepile
accused	latofadiwa
ache	opa
achieve	fitlhelela
achievement	phitlhelelo
acknowledge	amogela
acquaintance	motho yo o tlwaetsweng
acquire	fitlhelela
acquired	bone
acquisition	pono
across	kgabaganya
act	dira
action	tiragalo
active	matlhagatlhaga
activities	ditiro
activity	tiro
actor	modiragatsi
actual	tota
actually	tota
acute	bogale
adapt	go tlwaela
add	oketsa
addicted	tlwaetse
addition	tlaleletso
additional	tsa tlaleletso
address	aterese
address	bua le
adequate	lekane
adjacent	mabapi
adjective	letlhalosi
adjust	siamisa
admire	kgatlhwa
admit	amogela
adopt	amogela
adorable	ratega
advance	tuelelopele
advance	pele
advanced	tsweletse pele
advantage	molemo
adventure	tekelelo
adverb	letlhalosi
advertisement	papatso
advertising	papatso
advice	kgakololo
advise	gakolola
advocate	mmueledi
aesthetic	temogo ya bontle
affair	morero
affect	maikutlo
affect	ama
affection	lerato
afford	kgona
affordable	kgonega
afraid	tshogile
after	morago
afternoon	motshegare
afterwards	morago ga moo
again	gape
against	kgatlhanong
age	dingwaga
age	tsofala
agency	mokgatlho
agent	modiredi
aggressive	dikgoka
agile	matšato
ago	fetileng
agree	dumelana
agreement	tumelano
agriculture	temothuo
ahead	kwa pele
aid	thuso
aim	maikaelelo
air	mowa
airport	boemelafofane
aisle	aele
alarm	alamo
alarm	mokgosi
alcohol	bojalwa
alert	ntlha
alive	tshela
all	otlhe
all right	go siame
all the best	masego ke ao
allow	letla
allowed	letleletswe
almost	batlile
alone	nosi
along	bapa le
already	setse
Alright	go siame
also	gape
alternative	e nngwe
although	le fa
always	ka metlha
am	a
amazing	gakgamatsang
ambiguous	bokaopedi
ambition	keletso
ambitious	lelela borena
amend	tlhabolola
amid	magareng ga
among	ma gareng ga
among us	magareng ga rona
amount	palo
amusing	tshegisa
analysis	tshekatsheko
ancestors	badimo
anchor	maitsepelo
ancient	kgologolo
and	le
and you	le wena
angel	moengele
anger	kgalefo
angle	khutlo
angry	galefa
animal	phologolo
ankle	lengenana
anniversary	letsatsi lamorago ga ngwaga la segopotso sa tiragalo nngwe
announcement	kitsiso
annoy	tena
annoyed	tenegile
annoying	tena
annual	ngwaga le ngwaga
anonymous	tlhokaina
another	o mongwe
answer	karabo
anticipate	solofela
anxiety	tlhobaelo
anxious	tlhobaela
any	nngwe
anymore	se tlhole
anyone	mongwe le mongwe
anything	sengwe le sengwe
anyway	le gale
anyways	le gale
apart	aroganeng
apartment	folete
apologize	kopa maitshwarelo
apparent	bonagala
apparently	ekare
appeal	boikuelo
appear	tlhagelela
appearance	tebego
appeared	tlhageletse
appetite	keletso ya dijo
apple	apole
application	kopo
apply	go kopa phatlha
appointment	lebaka
appreciate	itumelela
appreciation	itumelela
approach	tsela
approach	atamela
appropriate	matshwanedi
approval	tetlelelo
approve	letla
approved	letleletse
approximately	e ka nna
april	moranang
arbitrary	ka boithatelo
architect	moagiteke
architecture	boagi
archive	akhaefe
are	o
are you	a o
are you busy	a o tshwaregile
are you married	a o nyetse
are you married or single	a o nyetse kgotsa ga o a nyala
Are you still there?	A o santse o le foo?
Are you still there?	A o santse o le teng?
are you there	a o teng
area	lefelo
argue	ngangisana
argument	kganetsano
arise	nanoga
arm	letsogo
army	sesole
around	dikologa
arrange	rulaganya
arrangement	thulaganyo
arrival	kgorogo
arrive	goroga
arrived	gorogile
arrogant	ikgogomosa
arrow	motsu
art	botsweretshi
article	letlhatlhelelo
artificial	e seng ya nnete
artist	motsweretshi
as	jaaka
as long as	fa fela
as well	le
as well as	gape le
ash	molora
ashamed	swabile
ask	botsa
asked	boditse
asleep	robetse
aspect	tebo
Assamese	Assamese
assault	tlhaselo
assault	tlhasela
assembly	kopano
assertive	itshola ka boitshepo
assess	kgethisa
assess	sekaseka
assessment	tshekatsheko
asset	letlotlo
asset	asete
assets	letlotlo
assign	aba
assignment	asaenemente
assist	thuso
