a	أ
a little	القليل
a lot	كثيراً
a lot of	كتيير من
abandon	يتخلى عن
abandoned	تم التخلي عنه
abide	يلتزم
ability	مقدرة
able	قادر
about	عن
above	أعلاه
abroad	خارجاً
absence	غياب
absent	غائب
absolutely	إطلاقا
absorb	امتص
abstract	ملخص
absurd	سخيف
abundance	وفرة
abundant	وفير
accent	لهجة
accept	يقبل
access	يصل
access	وصول
accident	حادث
accommodation	سكن
accomplish	ينجز
accomplished	مُتَفَوِّق
according	وفقاً
account	حساب
accuracy	الدقة
accurate	دقيق
accused	المتهم
ache	يكتئب
ache	ألم
achieve	ينجز
achievement	إنجاز
acknowledge	يعترف
acquaintance	علم
acquire	يكسب
acquired	مكتسب
acquisition	ربح
across	عبر
act	يمثل
action	فعل
active	نشيط
activities	أنشطة
activity	نشاط
actor	الممثل
actual	فِعلي
actually	حقيقيةً
acute	خطير
acute	ذكي
adapt	يعتاد
adapt	يتكيف
add	أضف
addicted	مدمن
addition	إضافة
additional	إضافي
address	يوجه
address	عنوان
adequate	مناسب
adjacent	مجاور
adjective	صفة
adjust	يتكيف
admire	يرغب
admit	يعترف
adopt	يتبنى
adorable	محبوب
advance	يتقدم
advance	مقدماً
advanced	متقدم
advantage	ميزة
adventure	مفامرة
adverb	ظرف
advertisement	إعلان
advertising	دعاية
advice	نصيحة
advise	ينصح
advocate	يؤيد
advocate	محامي
aesthetic	من ناحية جمالية
affair	شأن
affect	يؤثر
affection	عاطفة
afford	يعطي
affordable	بسعر معقول
afraid	خايف
after	بعد
afternoon	بعد الظهر
afterwards	بعد ذلك
again	مرة تانية
against	ضد
age	عصر
age	عمر
agency	وكالة
agent	عميل
aggressive	عنيف
agile	رشيق
ago	قديماً
agree	يوافق
agreement	اتفاق
agriculture	زراعة
ahead	للأمام
aid	مساعدة
aim	هدف
air	هواء
airport	مطار
aisle	ممر
alarm	إنذار
alcohol	كحول
alert	يُحذًِر
alive	عايش
all	كل
all right	حسنًا
all the best	أتمنى لك كل خير
allow	يسمح
allowed	مسموح
almost	تقريبا
alone	لوحده
along	جنب
already	سلفاً
Alright	طيب
also	برضو
alternative	بديل
although	بالرغم من
always	دائماً
am	أنا
amazing	مدهش
ambiguous	غامض
ambition	طموح
ambitious	طموح
amend	يعدل
amid	وسط
among	وسط
among us	بيننا
amount	كمية
amusing	مسلي
an	أداة تعريف
analysis	تحليل
ancestors	أجداد
anchor	مِرسَاة
ancient	قديم
and	و
and you	وأنت
angel	ملاك
anger	الغضب
angle	زاوية
angry	غضبان
animal	حيوان
ankle	كاحل
anniversary	ذكرى
