a little	неуна
a lot	уна
a lot of	уна
abandon	эновтны
abandoned	эновтӧм
abide	кутчысьны
ability	сям
able	вермысь
able	кужысь
about	йылысь
above	весьтын
above	вылын
abroad	суйӧр сайын
absence	абутӧм
absent	абутӧм
absolutely	дзик
absorb	босьтны ас пытшкӧ
abstract	вежӧрын кутан
absurd	лӧсявтӧм
abundance	озырлун
abundant	озыр
abuse	лёктор вӧчӧм
abuse	лёктор вӧчны
accent	акцент
accept	примитны
access	пырны позянлун босьтны
access	пырӧм
access	сибавны
accident	неминуча
accommodation	овмӧдӧм
accomplish	збыльмӧдны
accomplished	помасис
accomplished	воис помӧдз
according	серти
account	тшӧт
accuracy	стӧчлун
accurate	стӧч
accused	мыждӧм
ache	висьны
ache	дой
achieve	воӧдчыны
achieve	шедӧдны
achievement	шедӧдӧмтор
acknowledge	пыдди пуктыны
acquaintance	тӧдмасьӧм
acquire	шедӧдны
acquired	босьтіс
acquired	босьтӧма
acquisition	босьтӧм
across	вомӧн
across	пыр
across	мысти
act	вӧчӧмтор
action	петкӧдчӧм
active	активнӧй
active	водзмӧстчысь
activities	занятиеяс
activity	удж
activity	керӧм
actor	актёр
actual	збыльвывса
actually	збыльысь
acute	ёсь
adapt	лӧсьӧдны
add	содтыны
addicted	ас вӧлятӧм
addition	содтӧм
additional	содтӧд
address	инпас
address	шыӧдчыны
adequate	лӧсялана
adjacent	орчча
adjective	кывберд
adjust	стӧчмӧдны
admire	нимкодясьны
admit	пыдди пуктыны
adopt	босьтны
adopt	примитны
adopt	сибӧдны
adorable	мусаник
advance	водзӧ мунӧм
advance	водзӧ мунны
advanced	водзын мунысь
advantage	буртор
adventure	приключенньӧ
adverb	урчитан
advertisement	реклама
advertising	реклама сетӧм
advice	сӧвет
advise	сӧвет
advocate	дорйысь
advocate	дорйыны
aesthetic	эстетика
affair	делӧ
affect	тӧдчыны
affection	радейтчӧм
afford	лэдзны аслыд
afford	сетны аслыд
affordable	позяна
afraid	полӧ
after	бӧрын
afternoon	ӧбед бӧр
afterwards	сы бӧрын
again	бара
against	паныд
age	арлыд
agency	агентство
agent	агент
aggressive	воана
agile	пельк
ago	сайын
agree	сӧглас лоны
agreement	сёрнитчӧм
agriculture	видз-му овмӧс
ahead	водзын
aid	отсӧг
aim	метитчыны
air	сынӧд
airport	аэропорт
aisle	прӧйдитанін
alarm	тревога
alcohol	коддзӧдантор
alert	тревога
alive	ловъя
all	ставӧн
all	быдӧн
all right	дзик сідз
all the best	став бурсӧ
allow	сетны
allow	лэдзны
allowed	лэдзис
almost	муртса
alone	ӧткӧн
alone	ӧти
along	пӧлӧн
already	нин
Alright	Ладнӧ
Alright	Мед
also	сідзжӧ
alternative	бӧръяна
although	кӧть
always	пыр
always	век
am	лоа
amazing	чуймӧдана
ambiguous	абу ӧтнога донъялан
ambition	зільлун
ambitious	зіль
amend	бурмӧдны
amid	шӧрын
among	пӧвстын
among us	миян пӧвстын
amount	лыд
amusing	тешкодь
analysis	анализ
ancestors	пӧль-пӧчьяс
anchor	кутӧд
anchor	якӧр
ancient	важдырся
ancient	важся
ancient	важ
and	да
and you	а тэ
and you	а ті
angel	андел
anger	лӧг
angle	пельӧс
angry	скӧр
animal	пемӧс
ankle	шег
anniversary	тшупӧда пас
announcement	юӧртӧм
annoy	дӧзмӧдны
annoyed	дӧзмӧм
annoying	дӧзмӧдысь
annual	быдвося
anonymous	ним пасйытӧм
another	мӧд
answer	вочакыв
answer	вочавидзны
anticipate	водзвыв тӧдны
anticipate	виччысьны
anxiety	майшӧг
anxious	шызьӧм
any	быд
anymore	сэсся
anyone	кӧть коді
anything	мыйкӧ
anyway	быд ногӧн
anyways	сідз и тадз
apart	торйӧн
apartment	патера
apologize	прӧща корны
apparent	ясыд
apparently	тыдалӧ
appeal	ас дорӧ кысканлун
appeal	лӧсьыдлун
appeal	мичлун
appear	петкӧдчыны
appearance	мыгӧр
appeared	мыччысис
appetite	аппетит
apple	яблӧг
application	вӧдитчӧм
apply	вӧдитчыны
appointment	индӧм
appreciate	донъявны
appreciation	аттьӧалӧм
approach	матыстчыны
approach	матыстчӧм
appropriate	лӧсялысь
approval	ошкӧм
approve	ошкыны
approved	вынсьӧдӧм
approximately	ылӧсас
approximately	гӧгӧр
april	кос му
arbitrary	водзвыв лӧсьӧдтӧм
architect	архитектор
architecture	архитектура
archive	архив
are	лоӧны
are you	ті лоанныд
are you	тэ лоан
are you busy	эштанныд
are you busy	эштан
are you busy	он
are you busy	онӧ
are you married	тэ гӧтыра
are you married or single	тэ верӧс сайын али абу
are you married or single	тэ гӧтыра али абу
Are you still there?	Ті сэнӧсь на?
Are you still there?	Тэ сэні на?
are you there	тэ сэні
are you there	ті сэнӧсь
area	обласьт
argue	вензьыны
argument	вензьӧм
argument	подулалӧм
arise	петны
arm	сой
army	армия
around	гӧгӧр
arrange	котыртны
arrange	лӧсьӧдны
arrangement	котыртӧм
arrangement	лӧсьӧдӧм
arrival	воӧм
arrive	воны
arrived	воис
arrogant	тшап
arrow	ньӧв
art	искусство
article	статья
artificial	мортӧн вӧчӧм
artist	серпасасьысь
as	кыдзи
as long as	кытчӧдз
as well	сідзжӧ
as well as	а сідзжӧ
ash	пӧим
ashamed	яндысьысь
ask	юавны
asked	юаліс
asleep	узьысь
aspect	аспект
Assamese	Ассамскӧй
assault	уськӧдчӧм
assembly	чукӧртчӧм
assertive	асныра
assess	донъявны
assessment	донъялӧм
asset	буртор
assets	фондъяс
assign	индыны
assignment	удж
assignment	мог
assist	отсавны
assistant	отсасьысь
associate	отсасьысь
associated	йитчӧм
association	ассоциация
association	котыр
assume	чайтны
assumption	чайтӧм
at least	этша вылӧ
ate	сёйис
athlete	спортсмен
attach	содтыны
attached	пысалӧм
attachment	содтӧд
attachment	сьӧлӧм сетӧм
attack	уськӧдчыны
attack	уськӧдчӧм
attempt	видлӧм
attempt	видлыны
attend	волывлыны
attendance	пыравлӧм
attendance	волывлӧм
attention	чуйдӧм
attention	вниманньӧ
attention	пельсадь
attitude	йитчӧм
attitude	видзӧдлас
attract	кыскыны
attraction	кыскӧм
attractive	веж петкӧдлана
attribute	аслыспӧлӧслун
audience	йӧз
august	моз
aunt	чожинь
aunt	тьӧт
aunty	тьӧт
authentic	збыль
author	автор
authority	власьт
autumn	ар
available	восьса
available	гӧгӧрвоана
available	лӧсялан
average	шӧр
average	шӧркодь
avoid	видзчысьны
awake	олысь
award	награда
aware	тӧдны
awareness	тӧдӧм
away	бокын
awesome	вывті лӧсьыд
awful	зэв омӧль
awful	зэв лёк
awful	зэв мисьтӧм
awkward	укшаль
awkward	лӧсьыдтӧм
Aymara	Аймара
baby	кага
bachelor	гӧтыртӧм
back	бӧр
back	бӧрӧ
back	бӧрлань
background	фон
bad	лёк
bag	сумка
bait	сам
bake	пӧжасьны
bake	пӧжавны
bakery	пӧжасянін
baking soda	сёян сода
balance	кутны ӧтвесьталун
balance	ӧтвесьталун
ball	мач
Bambara	Бамбара
banana	банан
band	котыр
bang	крапкыны
bank	банк
bar	нуръясянін
barely	муртса
bargain	сёрнитчӧм
bark	увтны
bark	кырсь
barley	ид
barrier	мытшӧд
base	база
base	подув
based	подулалӧм
basement	гӧбӧч
basic	подув
basically	ёнджыкасӧ
basil	базилик
bastard	неморт
bastard	чурка
batch	чукӧр
bath	ванна
bathroom	ваннӧй
battery	батарея
battle	тыш
bay	куръя
be	лоны
be careful	видзчысьӧй
be careful	видзчысь
beach	гожйӧдчанін
beam	югӧр
beans	фасоль
bear	петкӧдны
bear	ош
beard	тош
bearing	подшипник
bearing	вайӧм
beast	пемӧс
beat	вартны
beat	такт
beat	кучкавны
beautiful	мича
beauty	мич
became	лоис
because	сы вӧсна мый
become	лоны
bed	крӧвать
bedroom	узянін
bee	мазі
beef	мӧс яй
been	вӧлі
beer	сур
before	водзын
began	заводитіс
begin	заводитны
beginning	заводитчӧм
behalf	вӧсна
behave	асьтӧ кутны
behavior	морттуй
behaviour	оласног
behind	бӧрын
behind	сайын
being	ловъя лов
belief	эскӧм
believe	эскыны
belly	кынӧм
beloved	муса
below	улын
belt	тасма
bench	лабич
bend	нюкыльтны
beneath	улын
benefit	буртор вайны
benefit	буртор
benefits	бурторъяс
beside	орччӧн
besides	та кындзи
best	медбур
best of luck	мед мойвиас
best regards	пыдди пуктӧмӧн
better	бурджык
between	костын
beverage	юантор
beyond	сайын
Bhojpuri	Бходжпури
bias	ас ног гӧгӧрвоӧм
biased	подувтӧм
bicycle	велосипед
bid	дон вӧзйӧм
big	ыджыд
bike	велосипед
bill	тшӧт
bind	кӧртавны
bird	лэбач
birthday	чужан лун
bit	тор
bite	курччавны
bite	курччӧм
bitter	курыд
black	сьӧд
blade	дорыш
blame	мыж
blame	мыждыны
blank	куш
blanket	эшкын
blast	грымӧб
bleach	едждӧдны
blend	сорлавны
bless	бурсины
blessed	бурсиӧм
blind	синтӧм
bliss	шуд
block	блокируйтны
block	блок
blood	вир
bloom	дзордзавны
blow	вачкӧм
blow	кучкӧм
blow	вартӧм
blue	лӧз
blunt	бӧб
board	пӧв
boat	пыж
body	вир-яй
boil	пузьӧдны
bold	повтӧм
bold	збой
bond	кӧсйысьӧм
bond	облигация
bone	лы
book	небӧг
book	бронируйтны
boost	паськалӧм
boost	паськӧдны
booster	ӧддзӧдысь
boot	ботинки
boots	ботинки
border	дор
bore	писькӧдны
bored	гажтӧмтчысь
boring	гажтӧм
born	чужӧм
borrow	удждыны
boss	веськӧдлысь
both	кыкнанныс
bother	дӧзмӧдны
bottle	сулея
bottom	пыдӧс
bought	ньӧбис
bounce	чеччыштавны
bound	кӧрталӧм
boundaries	мудоръяс
bow	ньӧввуж
bowl	тасьті
box	куд
boy	зонка
boyfriend	зонъёрт
bracelet	сойпос
brain	вем
branch	вож
brand	марка
brave	повтӧм
brave	збой
breach	пазӧдны
breach	орӧдны
bread	нянь
break	пазӧдны
break	кост
break	жугӧдны
breakfast	завтрак
breast	морӧс
breath	лолалӧм
breathe	лолавны
breed	рӧдмӧдны
brick	кирпич
bride	гӧтырпу
bridge	пос
brief	дженьыд
bright	яръюгыд
brilliant	югъялан
bring	вайны
bro	вок
broad	паськыд
broadcast	юӧртӧм
broadcast	транслируйтӧм
broke	жугӧдіс
broken	жугалӧм
broom	рос
brother	вок
brother in law	гӧтырлӧн вок
brother in law	пивер
brought	вайис
brown	рудовгӧрд
brush	сынан
brush	щӧтка
bucket	ведра
buddy	ёрт
budget	бюджет
bug	гаг
build	кыпӧдны
building	стрӧйба
built	кыпӧдӧм
bulk	ыджда
bull	ӧш
bully	зыртчыны
bump	люкасьны
bunch	чукӧр
bundle	чукӧр
burden	сьӧктӧдны
burden	сьӧктӧд
buried	гуалӧм
burn	сотчыны
burst	потны
bury	гуавны
bus	автобус
bush	куст
business	удж
bust	бюст
busy	занят
but	сӧмын
but	но
butter	вый
butterfly	бобув
button	кизь
button	кнопка
buy	ньӧбны
by	дорын
by the way	ӧти сайын
bye	на
cabbage	кӧчан
cabinet	ичӧт шкап
cage	садӧк
cake	торт
calf	кукань
call	корны
call	чукӧстны
call	чукӧстӧм
call me	звӧнитлӧй меным
call me	звӧнитлы меным
called	корис
calm	рам
calm	лӧнь
came	локтіс
campaign	кампания
can	банка
can	вермыны
can't	оз вермы
Cancel	Киритӧм
cancer	рак
capable	сюсь
capacity	йӧрыш
capital	юркар
caption	гижӧд
capture	пленӧ босьтны
car	машина
career	карьера
careful	видзчысьысь
carefully	видзчысьӧмӧн
careless	майшасьтӧм
caring	тӧждысьысь
carpenter	тшупсьысь
carpet	джодждӧра
carrot	морков
carry	нуны
carry on	водзӧ вӧчны
carry out	збыльмӧдны
case	делӧ
cash	кивывса сьӧм
cast	шыбитны
castle	замок
casual	быдлунся
cat	кань
catch	кыйны
category	категория
cattle	скӧт
caught	кутіс
caught	кыйис
cause	помка
cause	корны
cause	чужтыны
caution	видзчысьӧм
cautious	видзчысьысь
cave	изъя горс
cease	дугӧдны
ceiling	пӧтӧлӧк
celebrate	пасйыны
cell	клетка
center	шӧрин
center	шӧр
century	нэм
cereal	изӧм тусьяс
ceremony	церемония
certain	падъявтӧм
certainly	дзик стӧч
certificate	сертификат
chain	чеп
chair	улӧс
challenge	пуктыны зэв ыджыд мог
challenge	мытшӧд
chance	позянлун
change	вежлавны
chaos	хаос
character	персонаж
characteristics	аслыспӧлӧслунъяс
charge	зарадитны
charity	благотворительносьт
charming	мусаник
chart	диаграмма
chase	вӧтчыны
chase	вӧтчӧм
chat	сёрнитны
chat	сёрни
cheap	абу дона
cheap	донтӧм
cheat	пӧрйӧдлыны
cheating	ылӧдлӧм
check	видлалӧм
check	видлавны
cheek	бан бок
cheer	ышӧдны
cheerful	кыпыд
cheers	ошкӧм
cheese	сыр
chemistry	химия
cherish	вылӧ пуктыны
chess	шахмат
chest	нёнь
chest	морӧс
chew	курччавны
chicken	курӧг
chief	ыджыд
child	кага
childhood	челядьдыр
children	челядь
chill	кӧдзыд
chimneys	тшын петан трубаяс
chin	тшӧка
chocolate	шоколад
choice	бӧрйӧм
choose	бӧрйыны
chop	керавны
chores	гортгӧгӧрса удж
chubby	кызіник
church	вичко
cinnamon	корича
circle	кытш
circumstances	обстоятельствояс
citizen	гражданин
city	кар
claim	шыӧдчӧм
claim	шыӧдчыны
clarify	гӧгӧрвоӧдны
class	класс
clay	сёй
clean	сӧстӧм
clear	сэзь
clear	весавны
clerk	служащӧй
clever	сюсь
client	клиент
cliff	кыр
climate	климат
climb	кайны
clingy	кӧвъясьысь
clock	часі
close	сиптыны
close	пӧдлавны
closet	шкап
cloth	дӧра
clothes	паськӧм
cloud	кымӧр
cloudy	кымӧра
clown	серам петкӧдлысь
clue	тупыль
clumsy	укшаль
cluster	роз
coach	тренер
coach	тренируйтны
coal	из шом
coast	вадор
coat	пальто
coffee	кофе
cognitive	когнитивнӧй
coincidence	лӧсялӧм
cold	кӧдзыд
collapse	пусь-пасьмунӧм
collar	дом
collar	воротник
colleague	уджъёрт
colleagues	уджъёртъяс
collect	чукӧртны
collection	чукӧр
college	колледж
color	рӧм
colorless green ideas slept furiously	быгалӧм турунвиж мӧвпъяс яра узисны
colour	рӧм
column	колонка
comb	шыльӧдны
combination	ӧтлаалӧм
combine	йитлыны
come	локны
come here	лок татчӧ
come here	локтӧй татчӧ
come on	дугды
comfort	комфорт
comfort	лӧсьыдлун
comfortable	йӧмкӧа
coming	локтысь
coming soon	регыд лоас
command	тшӧктыны
comment	комментарий
commercial	коммерческӧй
commission	тшӧктӧм, тшӧктыны
commit	вӧчны
commitment	сетчӧм
committed	вӧчис
committed	вӧчӧма
commodity	йӧзлы колана тӧвар
common	быд лунся
communicate	кутны йитӧд
communication	йитӧд
community	ӧткотыр
commute	ӧтарӧ-мӧдарӧ ветлӧм
companion	ёрт
company	котыр
compare	ӧткодявны
comparison	орччӧдӧм
compassion	жалитӧм
compassionate	небыд сьӧлӧма
compatible	лӧсялана
compete	ордйысьны
competent	тӧдысь
competent	кужысь
competition	ордйысьӧм
competitive	панласян
competitive	ордйысян
complain	норасьны
complaint	норасьӧм
complement	содтӧд
complement	содтыны
complete	эштӧдны
complete	помавны
completely	тырвыйӧ
complex	тэчаса
compliance	бура лӧсялӧм
complicated	тэчаса
compliment	ошкыштан кыв
comply	кывзысьны
composition	тэчӧм
compound	ӧтлаӧдны
comprehension	гӧгӧрвоӧм
comprehensive	тырвыйӧ
compromise	ӧти кывйӧ воӧдчӧм
compromise	ӧти кывйӧ воӧдчыны
compulsory	быть колана
computer	компьютер
concentrate	чукӧртны
concept	гӧгӧрвоӧм
concern	тӧжд
concern	тӧждысьны
concerned	майшасьысь
concerned	шызьӧм
concerned	тӧждӧ усьӧм
concert	концерт
conclusion	кывкӧртӧд
concrete	бетонысь
concrete	бетон
condition	урчитӧмтор
conditions	условиеяс
conduct	колльӧдны
conduct	нуӧдны
conference	конференция
confess	висьтасьны
confidence	зумыд эскӧм
confident	падъявтӧм
confirm	эскӧдны
conflict	зык-вен
confused	шӧйӧвошӧм
confusion	шай-паймунӧм
congrats	чолӧмалӧмъяс
congratulation	чолӧмалӧм
congratulations	чолӧмалӧм
conjunction	йитӧм
connect	йитны
conquer	босьтны
conquer	шедӧдны
conscious	вежӧра
consciousness	садь
consent	лоны сӧглас
consent	ӧти кывйӧ воӧм
consequences	кольӧмторъяс
conservation	видзӧм
conservative	важас кутчысьысь
consider	мӧвпавны
considered	лыддьыссьӧ
consist	артмыны
consistency	шыбласьтӧмлун
consistent	шыбласьтӧм
constant	вежласьтӧм
constantly	пыр
constipation	гырк йӧрмӧм
construction	стрӧитчӧм
consume	видзны
consumption	видзӧм
contact	йитӧд
contact	йитчыны
contagious	кӧвъясьысь
contain	кутны
contains	артмӧ
contemporary	талунъя
contempt	зывӧктӧм
content	сюрӧс
content	пытшкӧс
content	юриндалысь
contest	ордйысьӧм
context	контекст
continent	континент
continue	водзӧ нуӧдны
contract	контракт
contract	топавны
contrast	ёна торъявны
contrast	ёна торъялӧм
contribute	пуктыны пай
contribution	пай
control	видзӧдӧм
controversial	вензяна
convenience	лӧсьыдлун
convenient	лӧсялана
conversation	сёрни
convert	выльӧн пыртӧм
convert	выльмӧдны
convey	новлӧдлыны
convince	эскӧдны
convinced	эскысь
cook	пусьысь
cook	пуны
cook	пусьыны
cooking	пуӧм
cooking	пусьӧм
cool	ыркыд
cool	зэв бур
cooperation	ӧтвылысь уджалӧм
