a	ए
a little	इसे ल'
a lot	बुरजा
a lot of	बिराद गोबां अनजिमा
abandon	एंगार
abandoned	दुथां
abide	मानि
ability	गोहो
able	हानाय
about	सोमोनदै
above	सायाउ
abroad	गुबुन हादोराव
absence	गैयै
absent	नुजाथियै
absolutely	नंथारगौ
absorb	सोबखां
abstract	गुबै बाथरा
absurd	मिनिथाव
abundance	बुरजा
abundant	गोबां
abuse	गारजियै बाहायनाय
abuse	अत्याचार
accent	गारां
accept	नाजाव
access	मोनहैनाय
access	ओंखारनाय
accident	हरखाब जानाय
accommodation	थानायनि सुबिदा
accomplish	फुरा खालाम
accomplished	फुरा खालामनाय
according	बै बायदि
account	हिसाब
accuracy	थाखि थुखि
accurate	गोरोनथि गैयै
accused	दाय होजानाय
ache	सानायाव भुगि
ache	सानाय
achieve	मावना मुनामफा मोन
achievement	मोनफुंनाय
acknowledge	सिमान ला
acquaintance	सिनायथि
acquire	मोन
acquired	आरजि
acquisition	आरजिनाय हाबा
across	बारै
act	हाबा
action	हाबा
active	मावथि
activities	खामानि
activity	हाबाफारि
actor	फावखुंगुर
actual	नंगौवै
actually	नंगुबैयै
acute	गोबौ
adapt	गोरोब
add	दाजाब
addicted	एंगार हायि
addition	दाजाबनाय
additional	उफ्रा
address	थावनि
address	बिबुंसार हो
adequate	उदायनाय
adjacent	सेराव थानाय
adjective	थाइलालि
adjust	गोरोबनाय
admire	बाखनाय
admit	गनायनाय
adopt	ला
adorable	अनजाथाव
advance	सिगां
advance	आवगाय
advanced	आवगाय
advantage	खाबु
adventure	खैफोद गोनां हाबा
adverb	थाइजानि थाइलालि
advertisement	मिथि हो
advertising	फोसाव
advice	बोसोन होनाय
advise	बोसोन हो
advocate	उकिल
advocate	जुक्तिजों होबथा
aesthetic	समायना मोजां मोनग्रा एबा बाखनायग्रा
affair	खामानि
affect	गोहोम खोखलै
affection	अननाय
afford	रां एबा सम खरसा खालाम
affordable	खरसा खालामनो हाथावना
afraid	गिनाय
after	उन
afternoon	सानजौफु
afterwards	बिनि इउनाव
again	आरोबाव
against	बेरेखा
age	बैसो
agency	गमसता
agent	थानदै
aggressive	नांलायनो मोजां मोनग्रा
agile	मावथि
ago	आगोलाव
agree	गनायथि
agreement	रादाय
agriculture	आबाद
ahead	सिगांनि
aid	मदद
aim	थांखि
air	बार
airport	बिरग्रा दिङा बाग्रा जायगा
aisle	गीरजानि मोननैबो सारिनि गेजेरजों थांलाय फैलाय खालामनो हानाय लामख
alarm	इसारा
alcohol	बिलाति जौ
alert	साबदान
alive	गोथां
all	गासिबो
all right	गासैबो मोजां
all the best	गाहामै लिर
allow	अनुमथि हो
allowed	अनुमथि हो
almost	प्रार
alone	हारसिं
along	लोगोसे
already	सिगांआवनो
Alright	थिगैनो
also	आरोबाव
alternative	मोननैनि गेजेराव मोनसे
although	थेउबो
always	जेब्लाबो
am	दङ
amazing	बाखनायथाव
ambiguous	रोखानङै
ambition	हाबिलास
ambitious	हासथायसुला
amend	सोलाय
amid	गेजेराव
among	मादाव
among us	जोंनि गेजेराव
amount	गासै बिबां
amusing	रंजानाय बाजानाय
an	एन
analysis	बिजिरथि
ancestors	फोरेल
anchor	आस्रय होग्रा
ancient	सिगांनि
and	आरो
and you	आरो नों
angel	राफोदाय
anger	रागा
angle	ख'ना
angry	राग जोंनाय
animal	जुनार
ankle	हानथु गिला
anniversary	माइथायारि
announcement	फोसावनाय
annoy	बोराब हो
annoyed	रागा जोंनाय
annoying	बोराबथाव
annual	बोसोरारि
anonymous	मोनथि मोनै
another	गुबुन मोनसे
answer	फिननाय हो
answer	फिननाय
anticipate	सिगांनो सानखा
anxiety	उसुखुथु
anxious	गोनोगोथो
any	जायखिजाया
anymore	दंबाव नामा
anyone	जायखि जाया
anything	जिखुनु
anyway	जेरैखिजा
anyways	जेरैखि जाया
apart	आलादा आलादायै
apartment	ख'था
apologize	निमाहा बि
apparent	रोखा रोखा
apparently	रोखा रोखा
appeal	खावलायनाय
appear	नुजथि
appearance	नुजाथिनाय
appeared	नुजाफैदों
appetite	ख'हाबनाय
apple	आफेल फिथाइ
application	दरखास्ट
apply	खावलाय
appointment	निजुकथि
appreciate	बाखनायनाय
appreciation	बाखनाइनाय
approach	खाथियाउ फैनाय
approach	सेराव साफि
appropriate	गाहाम
approval	गनायथि
approve	गनाय
approved	गनायथि हो
approximately	फ्राय
april	इंराजि बोसोरनि ब्रै दान
arbitrary	अननायगैयै
architect	बानायग्रा
architecture	गेदेर गेदेर न'नि महर होग्रा
archive	दोनथ' हरनाय
are	दंङ
are	नांगौ
are you	नों नंगौ
are you busy	नोंथांआ मुखुब नामा
are you married	नोंथांआ जुलि जाबाय नामा
are you married or single	नोंथांआ जुलि जादों ना ‌जायाखै
Are you still there?	नों दाबो बेयावनो दङ
are you there	नोंथांआ बैयाव सहैबाय
area	ओनसोल
argue	खोथा हेबनाय
argument	नांलायनाय
arise	सिखार
arm	आखाइ
army	सानथ्रि हानजा
around	सोरगिदिं
arrange	जगार
arrangement	साजाय
arrival	सफैनाय सम
arrive	सफै
arrived	सफैबाय
arrogant	दुगा
arrow	थिर
art	आदब
article	आइन
artificial	नंगुबै
artist	सावगारि एरगिरि
as	बायदि
as long as	जेसे गोलाव
as well	आरो लोगोसे
as well as	आरो लोगोसेयै
ash	हाथफ्ला
ashamed	लाजिनांनाय
ask	सों
asked	सोंबाय
asleep	उन्दुलाननाय
aspect	नुथाय
Assamese	अआसामनि राव
assault	गाग्लोबनाय
assembly	आयेन आफाद
assertive	खाटां
assess	बिजिरना नाय
assessment	बिजिरनाय
asset	समफथि
assets	समफथि
assign	दैथाय
assignment	बाहागो खालामना होनाय खामानि
assist	मदद
assistant	हेफाजाबगिरि
associate	गोरोब
associated	गोरोब
association	खौसे
assume	सानना ला
assumption	साननानै लानाय बाथ्रा
at	सेराव
at least	खमावबो
ate	जाखांबाय
athlete	खमलायनाय
attach	नांजाब
attached	नांथाबना
attachment	सोमोनदो
attack	गागलोब
attempt	नाजानाय
attempt	नाजा
attend	हाजार जा
attendance	हाजिरा
attention	गोसो हो
attitude	साननाय एबा गोसोनि अबसथा
attract	मुहि
attraction	मुहिनि
attractive	नोजोर बोनाय
attribute	फोनां
audience	नायग्राफोर
august	सनमानगोनां
aunt	बिमानै
aunty	आनै
authentic	गुबै
author	लिरगिरि
authority	गोहो
autumn	दुफां बोथोर
available	मोनथाव
average	गर
avoid	एंगार
awake	सिरिमोन
award	बान्था
aware	सांग्रां
awareness	सांग्रांथि
away	जानगार
awesome	जोबोद गाहाम
awful	जोबोद गाज्रि
awkward	गोनो गोथो गोनां
Aymara	आयामाराया बलिबिया नि राव
baby	खुदिया
bachelor	हाबा जायै हौवा
back	उन बाहागो
background	उनथिं थानाय
bad	मोजां नङि
bag	जलंगा
bait	लुबै होनाय
bake	फोरान
bakery	फिथा बानायग्रा न'
baking soda	सौदा बानायनाय
balance	फारला
balance	समानथाय
ball	जोलुर
Bambara	बामबाराया मालि हादरनि राव
banana	थालिर फिथाइ
band	फिटा
bang	गोसा सोदोब
bank	रुगुं
bar	लाउथि
barely	इसेयै
bargain	दाम दर थिक खालामनाय
