abandoned	fililen
abandon	ka fili
abide	ka bato
ability	se ko
able	se
about	kan
above	sanfɛ
abroad	tunga
absence	dayan
absent	a tɛ yen
absolutely	a bɛ ten
absorb	ka kunu
abstract	ɲɛfɔli kunkurun
absurd	kuntanya
abundance	caman
abundant	caman
abuse	ka tɔɲɔn
accent	fɔcogo
accept	ka sɔn
access	ka se a ma
accident	kasara
accommodation	ladon
accomplished	kɛlen
accomplish	ka lawaleya
according	kɔsɔn
account	jate
accuracy	fáranfasiya
accurate	jɔnjɔn
accused	jalakibaa
ache	dimi
achieve	ka kɛ
achievement	baarakɛlen
acknowledge	ka lakodon
acquaintance	dɔnni
acquired	sɔrɔla
acquire	ka sɔrɔ
acquisition	sɔrɔli
across	cɛ
action	wale
active	walawalalen
activities	baaraw
activity	baara
act	kɛwale
actor	walekɛla
actually	bari
actual	sisan
acute	selekenin
adapt	ka bɛrɛbɛn
addicted	dɔrɔgutala
additional	farankan
addition	kafoli
add	ka fara kan
address	dagayɔrɔ
adequate	bɛrɛbɛnlen
adjacent	kɛrɛ fɛ
adjective	mankutu
adjust	dálakɛnyɛ
admire	ka kɛ a fɛ
admit	ka jɔ a la
adopt	ka yamaruya
adorable	tanulen
advanced	min bɛ ɲɛfɛ
advance	ka taa ɲɛfɛ
advantage	nafa
adventure	taama
adverb	sɛmɛntiyalan
advertisement	gansilisɛbɛn
advertising	gansili
advice	laadilikan
advise	ka laadi
advocate	awoka
aesthetic	ɛsitetiki
affair	kunko
affection	kanu
affect	ka se a ma
affordable	daduman
afford	ka san
afraid	siranya
after	kɔfɛ
afternoon	wula
afterwards	tɛmɛnen kɔ
against	kama
again	tugunni
agency	tɔn
agent	walekɛla
age	si
aggressive	farin
agile	fɛgɛman
ago	a bɛ wagati bɔ
agree	ka bɛn
agreement	bɛnkan
agriculture	sɛnɛ
ahead	ɲɛ fɛ
aid	dɛmɛ
aim	taabolo
air	fiɲɛ
airport	awiyɔnso
aisle	egilisi
a	kelen
alarm	hakiljigifen
alcohol	dɔlɔ
alert	lasɔmini
a little	dɔɔni dɔrɔn
alive	bɛ balo la
all	bɛɛ
allowed	yamaruyalen
allow	ka yamaruya
all right	ɔwɔ
all the best	ne ka duba i ye
almost	sinasina
alone	kelen na
along	a nɔ fɛ
a lot	caman
a lot of	caman
already	kelen
Alright	Awɔ
also	fana
alternative	cogowɛrɛ
although	hali
always	tuma bɛ
amazing	kabakoma
ambiguous	ɲagamilen
ambition	tɔ́gɔɲini
ambitious	ɲɛtaa kanubaga
amend	ka amande
amid	caman cɛ
am	n ye
among	cɛma
among us	an cɛman
amount	da
amusing	ɲɛnajɛlan
analysis	sɛgɛsɛgɛli
ancestors	bɛnbaw
anchor	ka siri
ancient	kɔrɔlen
and	ani
and you	ani e
angel	mɛlɛkɛ
anger	dimi
angle	sleke
angry	dimilen
animal	bagan
an	Kelen
ankle	senkuru
anniversary	sanyɛlɛma
announcement	kunnafoni
annoyed	tɔɔrɔlen
annoying	tɔɔrɔlan
annoy	ka tɔɔrɔ
annual	san ni san
anonymous	dogolen
another	dɔ wɛrɛ
answer	jaabi
anticipate	ka kɔn
anxiety	jɔrɔ
anxious	hamitɔ
any	a mana ke min ye
anymore	tɛ bilen
anyone	mɔgɔ o mɔgɔ
anything	foyi
anyway	a kɛra cogo o cogo
anyways	a kɛra cogo o cogo
apart	a danma
apartment	so
apologize	ka yafa deli
apparent	jɛlen
apparently	a bɛ i na fɔ
appeal	ka weleli kɛ
appearance	yecogo
appeared	kunbɔra
appear	ka yira
appetite	dumuninege
apple	pɔmu
application	waleyali
apply	ka waleya
appointment	ɲɔgɔnkunbɛn
appreciate	tanu
appreciation	latanuli
approach	surunya
appropriate	bɛrɛbɛnnen
approval	yamaruyali
approved	yamaruyalen
approve	ka sɔ̀n
approximately	masurun
april	awirilikalo
arbitrary	binkani
architect	pilan bɔla
architecture	pilan bɔ
archive	ka mara
area	yɔrɔ
are	ye
are you busy	i tɛgɛ degunnen don wa
are you	e ye
are you married	i furulen don wa
are you married or single	i furulen do wa walima i ma furu
