ا	a
سديكيت	a little
باڽق	a lot
باڽق	a lot of
اباي	abandon
دتيڠڬلكن	abandoned
اكور	abide
كبوليهن	ability
ممڤو	able
تنتڠ	about
اتس	above
د لوار نڬارا	abroad
كتيادأن	absence
تيدق حاضر	absent
سمستيڽ	absolutely
مڽراڤ	absorb
ابسترك	abstract
تق ماسوق عقل	absurd
باڽق	abundance
مليمڤه رواه	abundant
درا	abuse
لڠة	accent
تريما	accept
اكسس	access
كمالڠن	accident
ڤڠينڤن	accommodation
منچڤاي	accomplish
دچاڤاي	accomplished
منوروت	according
اكاءون	account
كتڤتن	accuracy
تڤت	accurate
ترتودوه	accused
ساكيت هاتي	ache
چاڤاي	achieve
ڤنچڤاين	achievement
ممڤراكوي	acknowledge
كنلن	acquaintance
ممڤروليه	acquire
دڤراوليهي	acquired
ڤروليهن	acquisition
ملينتاسي	across
لاكون	act
تيندقن	action
اكتيف	active
اكتيۏيتي	activities
اكتيۏيتي	activity
ڤلاكون	actor
سبنر	actual
سبنرڽ	actually
تيروس	acute
مڽسوايكن	adapt
تمبه	add
كتاڬيه	addicted
تمبهن	addition
تمبهن	additional
علامت	address
منچوكوڤي	adequate
برسبلاهن	adjacent
ادجيكتيف	adjective
مڽسوايكن	adjust
مڠاڬومي	admire
اكوا	admit
منريما ڤاكاي	adopt
مناون هاتي	adorable
ممينجمكن ماجو	advance
ماجو	advanced
كلبيهن	advantage
ڤڠمبارأن	adventure
كات كتراڠن	adverb
اكلان	advertisement
مڠيكلانكن	advertising
نصيحت	advice
مناصيحتي	advise
ڤڬوامبلا	advocate
مڽنڠكن	aesthetic
اوروسن	affair
ممبري كسن	affect
كاسيه سايڠ	affection
ممڤو	afford
ممڤو ميليق	affordable
تاكوت	afraid
سلڤس	after
تڠه هاري	afternoon
سلڤس ايت	afterwards
سمولا	again
برتنتاڠن	against
عمور	age
اڬينسي	agency
ايجين	agent
اڬريسيف	aggressive
تڠكس	agile
لالو	ago
ستوجو	agree
ڤرجنجين	agreement
ڤرتانين	agriculture
د دڤن	ahead
بنتوان	aid
توجو	aim
اودارا	air
لاڤڠن تربڠ	airport
لوروڠ	aisle
ڤڠڬرا	alarm
الكحول	alcohol
امران	alert
هيدوڤ	alive
سموا	all
باءيقله	all right
سموڬ داڤت يڠ ترباءيق	all the best
بنركن	allow
دبنركن	allowed
همڤير٢	almost
سنديرين	alone
سڤنجڠ	along
تله	already
باءيقله	Alright
جوڬ	also
الترناتيف	alternative
والاوڤون	although
سباليقڽ	although
سنتياس	always
ساي	am
منعجوبكن	amazing
سامر٢	ambiguous
چيتا٢	ambition
برچيتا٢ تيڠڬي	ambitious
مميندا	amend
تڠه٢	amid
انتارا	among
د انتارا كيت	among us
جومله	amount
مڠڬليكن هاتي	amusing
انو	an
اناليسيس	analysis
نينيق مويڠ	ancestors
ساءوه	anchor
ڤوربا	ancient
دان	and
دان اوق	and you
ملائكة	angel
كمارهن	anger
سودوت	angle
ماره	angry
حيوان	animal
بوكو لالي	ankle
اولڠ تاهون ڤركهوينن	anniversary
ڤڠعمومن	announcement
مڠڬڠڬو	annoy
ڬرم	annoyed
منجيڠكيلكن	annoying
تاهونن	annual
تيدق دكنلي	anonymous
يڠ لاين	another
جواڤن	answer
جڠككن	anticipate
كرسهن	anxiety
تاكوت	anxious
مان٢	any
لاڬي	anymore
سسياڤا	anyone
اڤ سهاج	anything
لاڬي ڤولا	anyway
باڬايماناڤون	anyways
برڤيسه	apart
ڤڠساڤوري	apartment
مينتا معف	apologize
كتارا	apparent
كليهاتن	apparently
رايوان	appeal
مونچول	appear
ڤنمڤيلن	appearance
مونچول	appeared
سليرا ماكن	appetite
ايڤل	apple
اڤليكسي	application
ڤرموهونن	application
موهون	apply
تمو جنجي	appointment
مڠهرڬاي	appreciate
ڤڠهرڬاءن	appreciation
ڤندكتن	approach
برڤاتوتن	appropriate
كلولوسن	approval
ملولوسكن	approve
دلولوسكن	approved
لبيه كورڠ	approximately
اڤريل	april
سوينڠ وينڠڽ	arbitrary
اركيتيك	architect
سني بينا	architecture
اركيب	archive
اداله	are
اداكه اوق	are you
ادكه اوق سيبوق	are you busy
ادكه اوق سوده بركهوين	are you married
ادكه اوق سوده بركهوين اتاو ماسيه بوجڠ	are you married or single
ادكه اندا ماسيه د سان؟	Are you still there?
اداكه اوق دسانا	are you there
كاوسن	area
بنته	argue
ڤربالهن	argument
تيمبول	arise
لڠن	arm
تنترا	army
سكيتر	around
اتور	arrange
سوسونن	arrangement
كتيبأن	arrival
سمڤأي	arrive
سمڤأي	arrived
سومبوڠ	arrogant
انق ڤانه	arrow
سني	art
ارتيكل	article
تيروان	artificial
ارتيس	artist
اياله	as
