एको	a
छोड़नाइ	abandon
योग्यता	ability
योग्य	able
ऊपर	above
विदेश	abroad
अनुपस्थिति	absence
अनुपस्थित	absent
निराकार	abstract
निरर्थक	absurd
प्रचुर	abundant
बोली	accent
स्वीकार	accept
पहुंच	access
दुर्घटना	accident
निवास	accommodation
पूरा	accomplish
अनुसार	according
खाता	account
सटीकता	accuracy
सटीक	accurate
दोषी	accused
दरद	ache
उपलब्धि	achievement
परिचित	acquaintance
अधिग्रहण	acquire
अधिग्रहीत	acquired
अधिग्रहण	acquisition
आर-पार	across
कार्य	action
चुस्त	active
गतिविधि	activities
क्रिया-कलाप	activity
अभिनेता	actor
वास्तविक	actual
वस्तुतः	actually
तीव्र	acute
अनुकूल	adapt
जोड़ू	add
जोड़नाइ	addition
अतिरिक्त	additional
ठिकाना	address
पर्याप्त	adequate
सटल	adjacent
विशेषण	adjective
प्रशंसा	admire
प्रवेश	admit
गोदलेनइ	adopt
आकर्षक	adorable
अग्रिम	advance
फायदा	advantage
धातु-विशेषण	adverb
विज्ञापन	advertisement
प्रचार	advertising
सलाह	advice
विचार	advise
वकील	advocate
सौन्दर्यात्मक	aesthetic
मामिला	affair
प्रभाव	affect
प्रेम	affection
खर्च	afford
सस्ता	affordable
भयभीत	afraid
बेर-उपहर	afternoon
दोबारा	again
आयु	age
संस्था	agency
मुनीम	agent
आक्रामक	aggressive
फुरतीला	agile
पहिने	ago
सहमत	agree
समझौता	agreement
खेती	agriculture
आगू	ahead
सहायता	aid
लक्ष्य	aim
हवा	air
गलियारा	aisle
अलार्म	alarm
दारु	alcohol
चेतावनी	alert
तनका	a little
जीवित	alive
सभटा	all
अनुमति	allow
शुभकामना	all the best
प्रायः	almost
असगर	alone
ढेर	a lot of
इहो	also
विकल्प	alternative
यद्यपि	although
सदिखन	always
आश्चर्यजनक	amazing
अभिलाषा	ambition
महात्वाकांक्षी	ambitious
संशोधन	amend
मात्रा	amount
मनोरंजक	amusing
एकटा	an
विश्लेषण	analysis
लंगर	anchor
पुरातन	ancient
आओर	and
कोण	angel
क्रोध	anger
कोण	angle
क्रोधित	angry
जानवर	animal
टखना	ankle
वर्षगांठ	anniversary
घोसना	announcement
अप्रसन्न	annoyed
तकलीफदेह	annoying
वार्षिक	annual
बेनाम	anonymous
दोसर	another
उत्तर	answer
चिन्ता	anxiety
चिंतित	anxious
कोनो	any
कोनो	anyone
किछुओ	anything
खैर	anyway
अलग	apart
साफ-साफ	apparent
जाहिर	apparently
निवेदन	appeal
निकलनाइ	appear
उपस्थिति	appearance
भूख	appetite
सेब	apple
आवेदन	application
लागू	apply
नियुक्ति	appointment
प्रशंसा	appreciate
सराहना	appreciation
दृष्टिकोण	approach
उपयुक्त	appropriate
