ၼိူင်ႈဢၼ်	a
ဢိတ်ႉဢိတ်ႉ	a little
ၼမ်တေႉတေႉ	a lot
ၼမ်လၢႆ	a lot of
ၸႂ်ပိဝ်	abandon
ပွၺ်ႈၾႃႈ	abandon
ပၢႆႊယၢၼ်	abandoned
ယိူၼ်ႉၵၼ်ႈ	abide
တၢင်းၵတ်ႉ	ability
မေႃပဵၼ်	able
လွင်ႈတၢင်း	about
တင်းၼိူဝ်	above
မိူင်းၼွၵ်ႈ	abroad
ႁၢမ်း	absence
လုတ်ႈႁၢမ်း	absent
တိုၼ်းဝႃႈတေႉတေႉ	absolutely
ၸုတ်ႉဢဝ်	absorb
ဝူၼ်ႉပဵၼ်ဢဝ်ၵွၺ်း	abstract
ဢမ်ႇၸၢင်ႊပဵၼ်လႆႈ	absurd
မီးလူၼ်ႉ	abundance
ၼမ်လူၼ်ႉပူၼ်ႉ	abundant
ႁဵတ်းလွင်ႈမိူၵ်ႈမႂ်ႈ	abuse
မိူၵ်ႈ	abuse
သဵင်လၢတ်ႈ	accent
ႁပ်ႉလႆႈ	accept
လွင်ႈသုၼ်ႇလၢတ်ႈ၊ ၵပ်းသိုပ်ႇ	access
ႁွတ်ႈလႆႈ	access
ဢမ်ႇသၢၵ်ႇထုၵ်ႇ	accident
ႁွင်ႈလိုဝ်ႈသဝ်း	accommodation
ၺီႉၵၼ်	accommodation
ပၼ်တီႈယူႇတီႈၼင်ႈ	accommodation
ပႃးၸွမ်းၼႂ်းလိူင်ႈ	accomplish
ယဝ်ႉတူဝ်ႈလီ	accomplished
လူၺ်ႈ	according
ႁဵင်းမၢႆသုၼ်ႇတူဝ်	account
မၢၼ်ႇမႅၼ်ႈလီ	accuracy
မၢၼ်ႇမႅၼ်ႈ	accurate
တၢင်ႇတၢင်းၽိတ်း	accused
ၵူၼ်ႈၶိုၼ်ႈ	ache
ၸဵပ်း	ache
ဢွင်ႇမၢၼ်	achieve
လွင်ႈဢွင်ႇမၢင်ႇ	achievement
ပိုၼ်ႉႁူႉၼမ်	acknowledge
ႁူႉမိုတ်ႈဝႆႉ	acquaintance
လႆႈမႃး	acquire
ၵႅင်ႉ	acquired
ႁႃႁွမ်တွမ်ႊ	acquisition
ၶၢမ်ႈ	across
လဵၼ်ႈၸိူင်း	act
ၼႃႈၵၢၼ်	action
ၵႆႉ	active
ၵၢၼ်တူင်ႉၼိုင်	activities
လွင်ႈတူင်ႉၼိုင်	activity
ၸၢႆးၸိူင်း	actor
ဢၼ်တေႉတေႉ	actual
တီႈတႄႉတႄႉမၼ်း	actually
ယႂ်ႇလူင်	acute
ၵဵပ်းလဵင်ႉ	adapt
လေႃး	add
ၸပ်းယႃႈ	addicted
သႂ်ႇထႅင်ႈ	addition
ထႅင်ႈ	additional
မွၵ်ႇလၢတ်ႈၵႂၢမ်း	address
ႁဵင်းတီႈယူႇ	address
ၵုမ်ႇထူၼ်ႈ	adequate
ၸပ်း	adjacent
ၵမ်ႉႁိၵ်ႈ	adjective
မႄးႁႂ်ႈသၢင်ႇတေႃႇ	adjust
ၼပ်ႉယမ်	admire
ႁပ်ႉၶၢမ်ႇ	admit
ၵဵပ်းလဵင်ႉ	adopt
ႁၵ်ႉ	adorable
လွင်ႈၶိုၼ်ႈယႂ်ႇ	advance
ၶိုၼ်ႈတၢင်းၼႃႈ	advance
ၸၼ်ႉသုင်	advanced
ၽွၼ်းလီ	advantage
ႁဵတ်းၸုၼ်ႉ	adventure
ၵမ်ႉသၢၵ်ႈ	adverb
ပိုၼ်ႊၽၢဝ်ႇ	advertisement
ပိုၼ်ႊၽၢဝ်ႇ	advertising
ပၼ်တၢင်းႁၼ််ထိုင်	advice
ပၼ်တၢင်းႁၼ်	advise
တၢင်ႊလၢတ်ႈ	advocate
ၵမ်ႉထႅမ်	advocate
ႁၢင်ႊငၢမ်း	aesthetic
လွင်ႈၵၢၼ်	affair
ႁဵတ်းႁႂ်ႈ တုမ်ႉတိူဝ်ႉ	affect
ထိုင်တီႈ	affection
ၸွၺ်ႈထႅမ်	afford
မီးမိူဝ်ႈႁဵတ်းလႆႈလီ	affordable
ဢၼ်ၵူဝ်	afraid
ဝၢႆးသေ	after
ဝၢႆးဝၼ်း	afternoon
ပေႃးယဝ်ႉၼႆႉ	afterwards
ထႅင်ႈပွၵ်ႈၼိုင်ႈ	again
သၢၼ်ၶတ်း	against
ဢသၢၵ်ႈ	age
ၽူႈတၢင်တူဝ်ၶၢႆ	agency
ၽူႈတၢင်တူဝ်	agent
ပၢၼ်းၽိတ်း	aggressive
ပူၼ်ႉပႅၼ်	aggressive
လွင်ႈတူင်ႉၼိုင်ဝႆး	agile
ပူၼ်ႉမႃး	ago
ၽွမ်ႉၸွမ်း	agree
လိၵ်ႈႁူမ်ႈမၢႆ	agreement
ၽၢႆႇၽုၵ်ႈသွမ်ႈ	agriculture
ဢွၼ်တေး	ahead
ၶူဝ်းၵမ်ႉ	aid
ယိူင်းမၢႆ	aim
လူမ်း	air
ၵႂၢင်းႁိူင်းဝိၼ်	airport
တၢင်းၶုၼ်	aisle
ၾႆးပၼ်ၾၢင်ႉ	alarm
လဝ်ႈ	alcohol
တိုၼ်ႇ	alert
ၶီးၸႂ်	alive
တင်းမူတ်း	all
လီတေႉယဝ်ႉ	all right
ၶႅမ်ႉတင်းမူတ်း	all the best
ၽွမ်ႉၸွမ်း	allow
ၶႂၢင်းပၼ်ႁႂ်ႈႁဵတ်း	allowed
ၸမ်တေ	almost
ၵေႃႉလဵဝ်	alone
ႁိမ်းႁွမ်း	along
ပေႃးယဝ်ႉယဝ်ႈ	already
လႆႈယူႇ	Alright
ၸိူင်ႉၼၼ်ၵွၺ်း	also
ထႅင်ႈတၢင်ႇလၢႆး	alternative
ပႅၵ်ႉသမ်ႉဝႃႈ	although
သေတႃႉၵေႃႈ	although
ၵႆႉၵႆႉ	always
ပဵၼ်	am
လၢၵ်ႇလၢႆးတႄႉယဝ်ႉ	amazing
ပဵၼ်ၸႂ်တုၺ်း	ambiguous
တၢင်းယိူင်းဢၢၼ်း	ambition
တၢင်းယိူင်းဢၢၼ်း	ambitious
ပိုၼ်ႊၽၢဝ်ႇၶေႃႈမႄး	amend
ၽေဢွၵ်ႇမႃး	amid
ၼႂ်းၵႃႊ	among
ၼႂ်းႁဝ်းၼႆႉ	among us
တၢင်းၼမ်	amount
လႆႈၸႂ်	amusing
ဢၼ်ၼိုင်ႈ	an
ၸႅၵ်ႇဝႆႉ	analysis
ပူႇမွၼ်ႇၼၢႆးယႃႊ	ancestors
လဵၵ်းလၢမ်ႊႁိူဝ်း	anchor
ၶူဝ်းၵဝ်ႇၶူဝ်းမွၼ်	ancient
လႄႈ	and
သူလူး	and you
ၼၢင်းၽီ	angel
ၸႂ်လမ်	anger
ၸဵင်ႇ	angle
ၸႂ်လမ်	angry
တူဝ်သတ်း	animal
တႃတိၼ်	ankle
ၶွပ်ႈၶူပ်ႇ	anniversary
ၶေႃႈပိုၼ်ႊၽၢဝ်ႇ	announcement
ၽိတ်းၵၼ်	annoy
ထဵင်ၵၼ်	annoyed
ထဵင်ၵၼ်	annoying
ၼႂ်းၵႃႊၼိူင်ႈပီႊ	annual
မေႃလိၵ်ႈ ဢၼ်ဢမ်ႇႁူႉၸိုဝ်ႈ	anonymous
တၢင်ႇၸိူဝ်း	another
ၶေႃႈတွပ်ႇ	answer
တွပ်ႇပၼ်	answer
လၢမ်းၶၢတ်ႈ	anticipate
လွင်ႈၶီၸႂ်၊ လွင်ႈမႆႈၸႂ်	anxiety
မႆႈၸႂ်	anxious
သေဢၼ်ဢၼ်	any
မီးထႅင်ႈ	anymore
ၽႂ်ၵေႃႈလႆႈ	anyone
ၵူႊလွင်ႈ	anything
ပဵၼ်ႁိုဝ်ၵေႃႈလၢႆး	anyway
ႁဵတ်းႁိုဝ်ၵေႃႈလီ	anyways
ၵႃႇၵၼ်	apart
ႁွင်ႈလိုဝ်ႈ	apartment
ပွၺ်ႇဝၢင်းၶႂၢင်း	apologize
ႁူႉလႆႈလီ	apparent
ႁၼ်ၸႅင်ႈလီ	apparently
တၢင်ႇလိၵ်ႈ	appeal
ပေႃႇဢွၵ်ႇမႃး	appear
ပေႃႇဢွၵ်ႇမႃး	appearance
ပေႃႇဢွၵ်ႇမႃး	appeared
ၸႂ်ၶႂ်ႈၵိၼ်	appetite
မၢၵ်ႇၶႃႊၶုင်ႉ	apple
