a little	сахал
a lot	нумай
a lot of	нумай
abandon	пăрахса кай
abandoned	юхăннă
abide	чăт
ability	пултарулăх
able	пултаракан
about	çинчен
above	çийĕн
abroad	ют ҫӗршывра
absence	çукки
absent	çук
absolutely	пĕтĕмпех
absorb	ҫӑтса ил
abstract	абстрактлă
absurd	тӑрлавсӑр
abundance	çителĕклĕх
abundant	тулӑх
abuse	кӳрентер
abuse	кӳрентерӳ
accent	акцент
accept	йышăн
access	ирĕк ил
access	ирĕк пани
accident	авари
accommodation	вырнаçтарни
accomplish	вĕçле
accomplished	пĕтернĕ
according	килĕшӳллĕ
account	счет
accuracy	тĕрĕслĕх
accurate	тĕплĕ
accused	айăпланакан
ache	ырату
ache	ырат
achieve	ҫит
achievement	ӳсĕм
acknowledge	çирĕплет
acquaintance	паллашу
acquire	туп
acquired	туянтӑм
acquisition	туянни
across	урлă
act	ту
action	пай
active	активлă
activities	ӗҫсем
activity	ӗҫ-хӗл
actor	актер
actual	чăннипе
actually	тĕрĕссипе
acute	çивĕч
adapt	май килтер
add	хуш
addicted	сӑхлан
addition	хушни
additional	хушăм
address	адрес
address	ыйт
adequate	çителĕклĕ
adjacent	юнашар
adjective	паллă ячĕ
adjust	хатĕрлесе çитер
admire	тĕлĕнсе савăн
admit	йышăн
adopt	йышăн
adorable	ытарайми
advance	малтанхи тӳлев
advance	малалла пыр
advanced	аталаннă
advantage	ыттисенчен лайӑхрах пулни
adventure	мыскара
adverb	наречи
advertisement	пĕлтерÿ
advertising	рекламăлани
advice	канаш
advise	пĕлтер
advocate	хутĕлевçĕ
advocate	хÿтĕле
aesthetic	эстетикăлла
affair	килӗшӳ
affect	витер
affection	иленӳ
afford	пултар
affordable	юрӑхлӑ
afraid	хӑра
after	хыҫҫӑн
afternoon	кун
afterwards	каярах
again	тепре
against	хирĕç
age	усĕм
agency	агентство
agent	агент
aggressive	агрессиллĕ
agile	чĕрĕ
ago	каялла
agree	килĕш
agreement	килĕшÿ
agriculture	ял хуçалахĕ
ahead	малта
aid	пулăшу
aim	тĕллев
air	сывлăш
airport	аэропорт
aisle	хушă
alarm	авари сигналĕ
alcohol	эрех тавраш
alert	асăрхаттар
alive	чĕрĕ
all	пурте
all right	юрать
all the best	ырлăх сунатăп
allow	ирĕк пар
allowed	ирĕклĕ
almost	пек
alone	пӗччен
along	тăрăх
already	ӗнтӗ
Alright	Юрĕ
also	те
alternative	альтернатива
although	пăхмасăр
always	яланах
amazing	тĕлĕнмелле илемлĕ
ambiguous	икӗ пĕлтерĕшлĕ
ambition	амбици
ambitious	амбициллĕ
amend	урăхлат
amid	варринчи
among	хушшинче
among us	пирĕн хушăра
amount	сумма
amusing	кулӑшла
analysis	тишкерÿ
ancestors	мăн асаттесем
anchor	якорь
ancient	авалхи
and	тата
and you	эсĕ те
angel	ангел
anger	çилĕ
angle	кĕтес
angry	усал
animal	чĕр-чун
ankle	пакӑлчак
anniversary	çулталăк
announcement	пӗлтерӳ
annoy	йăлăхтар
annoyed	вӗчӗрхенӳллӗ
annoying	йăлăхтармăш
annual	çулленхи
anonymous	ятсăр
another	урăх
answer	хуравла
answer	хурав
anticipate	сиссе тӑр
anxiety	канăçсăрлăх
anxious	хумханлă
any	кирек
anymore	урăх
anyone	кам та пулсан
anything	мĕнтĕр
anyway	кирек мĕнле пулсан та
anyways	пурпĕрех
apart	тӗрлӗ енне
apartment	хваттер
apologize	каçару ыйт
apparent	куҫкӗрет
apparently	ахăртнех
appeal	хирĕçлесе çыр
appear	курăн
appearance	тухни
appeared	тухрӗ
appetite	аппетит
apple	панулми
application	заявлени
apply	усă кур
appointment	палăртни
appreciate	пахала
appreciation	тав туни
approach	май
approach	пăх
appropriate	шайлашуллă
approval	ырлани
approve	çирĕплет
approved	çирĕплетнĕ
approximately	яхăн
april	ака уйăхĕ
arbitrary	хӑй ирӗккӗн
architect	архитектор
architecture	архитектура
archive	çит
are you	эсĕ-и
are you busy	эсĕ пушă-и
are you married	эсӗ качча кайнӑ-и
are you married or single	эсĕ авланнă-и е хусах-и
Are you still there?	Эсĕ халĕ те кунта-и?
are you there	эсе унта-и
area	вырăн
argue	хирĕçле
argument	аргумент
arise	сиксе тух
arm	алă
army	çар
around	йĕри-тавра
arrange	вырнаçтар
arrangement	вырнаçтарни
arrival	килни
arrive	килни
arrived	килчĕ
arrogant	мăнкăмăллă
arrow	çĕмрен
art	ÿнер
article	статья
artificial	искусство
artist	ÿнерçĕ
as	пек
as long as	чухне
as well	çавăн пекех
as well as	ҫавӑн пекех
ash	кĕл
ashamed	вӑтанчӑк
ask	ыйт
asked	ыйтрĕ
asleep	ҫывӑрса кай
aspect	аспект
Assamese	Ассамла
assault	тапăн
assembly	пуçтар
assertive	тимлӗ
assess	хакла
assessment	хак пани
asset	актив
assets	активсем
assign	ларт
assignment	ӗҫе лартни
assist	пулăш
assistant	пулăшакан
associate	пĕрле çыхăнтар
associated	çыхăннă
association	ассоциаци
assume	шутла
assumption	йышӑнни
at	айăккинче
at least	тинех
ate	çинĕ
athlete	атлет
attach	çумне хур
attached	çирĕплетнĕ
attachment	хушса пани
attack	атака
attempt	тăрăшу
attempt	тăрăш
attend	пул
attendance	пурри
attention	тимлĕх
attitude	позици
attract	явăçтар
attraction	илĕртӳлĕх
attractive	илĕртӳллĕ
attribute	атрибут
audience	аудитори
august	çурла
aunt	аппа
aunty	инке
authentic	чăн
author	автор
authority	полномочи
autumn	кĕркунне
available	çитме майлă
average	вăтамран
avoid	пăрăн
awake	ăнланса ил
award	наградăла
aware	ăнкар
awareness	пĕлсе тăни
away	кунтан
awesome	çӳçентерӳллĕ
awful	ытла хăруш
awkward	алапаш
Aymara	Аймарала
baby	пӗчӗк ача
bachelor	бакалавр
back	хыçал
background	хысалти
bad	начар
bag	сумка
bait	илĕртмелли япала
bake	пĕçер
bakery	çăкăр лавкки
baking soda	апат соди
balance	шайлаштар
balance	шайлашу
ball	мечĕк
Bambara	Баманала
banana	банан
band	лента
bang	кӗрӗслетни
bank	банк
bar	рейка
barely	аран
bargain	биржа килĕшĕвĕ
bark	вĕрни
barley	урпа
barrier	чăрмав
base	тĕп
based	никĕсленнĕ
basement	подвал
basic	тĕп
basically	тӗрӗссипе каласан
basil	базилик
bastard	йĕксĕк
batch	парти
bath	ванна
bathroom	ваннăй
battery	батарея
battle	ҫапӑҫу
bay	бухта
be	пул
be careful	тимлĕ пул
beach	пляж
beam	кашта
beans	пӑрҫа
bear	упа
bear	чăт
beard	сухал
bearing	подшипник
beast	выльăх
beat	тапă
beat	тап
beautiful	илемлĕ
beauty	хитрелĕх
became	пул
because	мĕншĕн тесен
become	пулан
bed	кравать
bedroom	çывăрмалли пÿлĕм
bee	вĕлле хурчĕ
beef	пăру ашĕ
beer	сăра
before	умĕн
began	пуçламăш
begin	пуçла
beginning	пуçламăш
behalf	хута кĕни
behave	тыткаларăш
behavior	хӑйне тыткалани
behaviour	тыткаларăш
behind	хыҫалта
being	пул
belief	ĕненÿ
believe	ĕнен
belly	хырăм
belong	кĕр
beloved	кӑмӑллӑ
below	аяларах
belt	пиçиххи
bench	сак
bend	ав
beneath	аялта
benefit	усă пар
benefit	усă
benefits	лайӑх енĕсем
beside	унсăр пуçне
besides	унсăр пуçне
best	чи лайӑх
best of luck	ăнăçу сунатăп
best regards	сума суса
better	аванрах
between	хушшинче
beverage	ĕçмелли
beyond	кӗмен
Bhojpuri	Бходжпурила
bias	вырӑнтан кӑларни
biased	малтанах шанман
bicycle	велосипед
bid	сĕнÿ
big	пысăк
bike	велосипед
bill	квитанци
bind	пĕрлештер
bird	кайăк
birthday	çуралнă кун
bit	турам
bite	çырт
bite	çыртни
bitter	йӳҫӗ
black	хура
blade	çивĕчĕш
blame	айăпла
blame	айăп
blank	пушă
blanket	пушă
blast	взрыв
bleach	шурат
blend	хутăш
bless	ырă кăтарт
blessed	сăваплă
blind	суккăр
bliss	ырлăх
block	хупса хур
blood	юн
bloom	чечеклен
blow	вӗр
blue	кӑвак
blunt	мăкат
board	хăма
boat	кимĕ
body	ÿт
boil	вĕре
bold	хулăн
bond	парӑм обязательстви
bone	шăмă
book	кӗнеке
book	заказ пар
boost	вăйлану
boost	вăйлат
booster	усилитель
boot	атă
boots	атă
border	чикĕ
bore	шӑтар
bored	пусӑрӑнчӑк
boring	кичем
born	çурал
borrow	кивçен ил
boss	начальник
both	иккĕшĕ те
bother	йӑлӑхтар
bottle	бутылка
bottom	тĕпĕ
bought	илнĕ
bounce	сиккеле
bound	тивет
boundaries	чикĕсем
bow	тайăм
bowl	тирĕк
box	коробка
boy	арҫын ача
boyfriend	тус
bracelet	сулă
brain	миме
branch	турат
brand	бренд
brave	хăюллă
breach	пăс
bread	ҫӑкӑр
break	хуç
break	тӑхтав
breakfast	ирхи апат
breast	кăкăр
breath	сывлани
breathe	сывла
breed	ăрат
brick	кирпĕч
bride	çураçнă хĕр
bridge	кĕпер
brief	кĕскен калани
bright	йăмăх
brilliant	бриллиант
bring	кӳрсе кил
bro	ыр çыннăм
broad	сарлака
broadcast	радиовещани
broke	çĕмрĕк
broken	ҫӗмӗрӗлнӗ
broom	шăпăр
brother	пичче
brother	шăллăм
brother in law	хунчăкам
brought	илсе килчĕ
brown	хăмăр
brush	щётка
bucket	витре
buddy	вăртах
budget	бюджет
bug	хурт-кăпшанкă
build	ту
building	çурт
built	ту
bulk	калӑпӑшлӑ
bull	вăкăр
bully	хулиган
bump	чыш
bunch	çыхă
bundle	ҫыхӑ
burden	тултар
burden	тултарни
buried	пытарнă
burn	çун
burst	ялтăрав
bury	пытар
bus	автобус
bush	тĕм
business	бизнес
bust	бюст
busy	ерçӳллĕ мар
but	анчах
butter	çу
butterfly	лĕпĕш
button	тÿме
buy	ил
by	айăккинче
by the way	сăмах май
bye	чипер
cabbage	купăста
cabinet	шкаф
cage	читлĕх
cake	торт
calf	пăру
call	чӗнни
call	чӗн
call me	ман пата шăнкăравла
called	текен
calm	лăпкă
came	килчĕ
campaign	кампани
can	консерв банки
can	пултар
can't	пултараймастăп
Cancel	Пăрахăç ту
cancer	рак
capable	пултаруллă
capacity	пысăкăш
capital	капитал
caption	çырни
capture	тыткăна ил
car	çӑмӑл машина
career	карьера
careful	асăрхануллă
carefully	асăрхануллă
careless	тирпейсӗр
caring	тăрăшуллă
carpenter	платник
carpet	кавир
carrot	кишĕр
carry	йăтса çӳре
carry on	малалла ту
carry out	ту
case	тĕслĕх
cash	алăра пур укҫа
cast	шăратса тунă япала
castle	крепость
casual	кĕтмен
cat	кушак
catch	тыт
category	категори
cattle	шултра мăйракаллă выльăх
caught	тытрĕ
cause	илсе кил
cause	сăлтав
caution	асăрхаттару
cautious	асӑрхануллӑ
cave	ҫӗр хӑвӑлӗ
cease	шăплан
ceiling	мачча
celebrate	уявла
cell	ячейка
center	центр
century	ĕмĕр
cereal	пăтă
ceremony	церемони
certain	паллă
certainly	чăнах
certificate	сертификат
chain	сăнчăр
chair	тенкел
challenge	кăткăс япалана шутла
challenge	кăткăслăх
chance	шанăç
change	улăштар
chaos	йĕркесĕрлĕх
character	кӑмӑл
characteristics	характеристикăсем
charge	тултар
charity	ыркăмăллăх
charming	ытарайми
chart	карта
chase	хăвала
chat	сÿпĕлтетÿ
chat	сÿпĕлтет
cheap	йунĕ
cheat	шарлатан
cheating	улталакан
check	тĕрӗсле
check	тĕрӗслӳ
cheek	пит çăмарти
cheer	савӑнӑҫ
cheerful	савăнăçлă
cheers	саламлă сăмахсем
cheese	чăкăт
chemistry	хими
cherish	юратса пăх
chess	шахмат
chest	кăкăр
chew	чăмла
chicken	чӗпӗ
chief	шеф
child	ача
childhood	ачалăх
children	ачасем
chill	сивĕ
chill	сивĕт
chimneys	мăрьесем
chin	янах
chocolate	шоколад
choice	суйлав
choose	суйла
chop	çур
chores	кашни кунхи ӗҫ
chubby	тулли питлĕ
church	чиркÿ
Chuvash	Чăваш
cinnamon	корица
circle	çаврашкана ил
circumstances	сӑлтавсем
citizen	гражданин
city	хула
claim	хисте
claim	хистев
clarify	тĕрĕсрех ту
class	класс
clay	тăм
clean	таса
clear	ăнлантар
clear	ăнланмалла
clerk	клерк
clever	ăслă
client	клиент
cliff	чул ту
climate	климат
climb	тапаçлан
clingy	ҫыпӑҫакан
clock	сехет
close	хуп
closet	чăлан
cloth	пир
clothes	тумтир
cloud	пĕлĕт
cloudy	пĕлĕтлĕ
clown	клоун
clue	çилĕм
clumsy	ăссăрлăх
cluster	çупкам
coach	тренер
coach	тренировка тутар
coal	çĕр кăмрăкĕ
coast	çыран
coat	куртка
coffee	кофе
cognitive	когнитивлӑ
coincidence	пĕр килни
cold	сивĕ
collapse	коллапс
collar	çуха
colleague	ĕçтеш
colleagues	пĕрле ĕçлекенсем
collect	пуçтарма
collection	коллекци
college	колледж
color	тĕс
colorless green ideas slept furiously	шупка симĕс шухăшсем хаяррăн çывăраççĕ
colour	тĕс
column	колонна
comb	майра тури
combination	комбинаци
combine	шайлаштар
come	кил
come here	кил кунта
come on	ирт
