go le gonnye	a little
ntsi	a lot
thata	a lot
tse dintsi	a lot of
tlogela	abandon
tlogela	abandoned
nna	abide
ikokobeletsa	abide
bokgoni	ability
kgona	able
ka ga	about
fa godimo	above
mosega	abroad
bo sa nneng teng	absence
tlhokafalo	absent
tota	absolutely
monyela	absorb
tshobokanyo	abstract
mo go se nang tlhaloganyo	absurd
motlele	abundance
go nna motlele	abundant
sotlakaka	abuse
tshotlakako	abuse
tsela ya go bua	accent
amogela	accept
fitlhelela	access
kotsi	accident
madulo	accommodation
fitlhelela	accomplish
fitlheletse	accomplished
go ya ka	according
akhaonte	account
ikarabela	account
nepo	accuracy
nepile	accurate
latofadiwa	accused
opa	ache
fitlhelela	achieve
phitlhelelo	achievement
dumela	acknowledge
motho yo o tlwaetsweng	acquaintance
fitlhelela	acquire
nnile le	acquired
pono	acquisition
kgabaganya	across
diragatsa	act
tiragalo	action
matlhagatlhaga	active
ditiro	activities
tirwana	activity
modiragatsi	actor
tota	actual
tota	actually
bogale	acute
go tlwaela	adapt
oketsa	add
tlwaetse	addicted
tlaleletso	addition
tsa tlaleletso	additional
bua le	address
aterese	address
lekane	adequate
mabapi	adjacent
letlhalosi	adjective
siamisa	adjust
kgatlhwa	admire
amogela	admit
amogela	adopt
ratega	adorable
tuelelopele	advance
pele	advance
tsweletse pele	advanced
molemo	advantage
tekelelo	adventure
letlhalosi	adverb
papatso	advertisement
papatso	advertising
kgakololo	advice
gakolola	advise
mmueledi	advocate
temogo ya bontle	aesthetic
morero	affair
maikutlo	affect
ama	affect
lerato	affection
kgona	afford
kgonega	affordable
tshogile	afraid
morago	after
motshegare	afternoon
morago ga moo	afterwards
gape	again
kgatlhanong	against
tsofala	age
dingwaga	age
mokgatlho	agency
modiredi	agent
dikgoka	aggressive
matšato	agile
fetileng	ago
dumelana	agree
tumelano	agreement
temothuo	agriculture
kwa pele	ahead
thuso	aid
maikaelelo	aim
mowa	air
boemelafofane	airport
aele	aisle
alamo	alarm
mokgosi	alarm
bojalwa	alcohol
go nna podi-matseba	alert
tshela	alive
otlhe	all
di apere tshiamo	all right
masego ke ao	all the best
letla	allow
letleletswe	allowed
batlile	almost
nosi	alone
bapa le	along
setse	already
di apere tshiamo	Alright
gape	also
e nngwe	alternative
le fa	although
ka metlha	always
a	am
gakgamatsang	amazing
bokaopedi	ambiguous
keletso	ambition
lelela borena	ambitious
tlhabolola	amend
magareng ga	amid
ma gareng ga	among
magareng ga rona	among us
palo	amount
tshegisa	amusing
tshekatsheko	analysis
badimo	ancestors
maitsepelo	anchor
kgologolo	ancient
le	and
le wena	and you
moengele	angel
kgalefo	anger
khutlo	angle
galefa	angry
phologolo	animal
lengenana	ankle
letsatsi lamorago ga ngwaga la segopotso sa tiragalo nngwe	anniversary
kitsiso	announcement
tena	annoy
tenegile	annoyed
tena	annoying
ngwaga le ngwaga	annual
tlhokaina	anonymous
o mongwe	another
karabo	answer
solofela	anticipate
tlhobaelo	anxiety
tlhobaela	anxious
nngwe	any
se tlhole	anymore
mongwe le mongwe	anyone
sengwe le sengwe	anything
le gale	anyway
le gale	anyways
aroganeng	apart
folete	apartment
kopa maitshwarelo	apologize
bonagala	apparent
ekare	apparently
boikuelo	appeal
tlhagelela	appear
tebego	appearance
tlhageletse	appeared
keletso ya dijo	appetite
apole	apple
kopo	application
go kopa phatlha	apply
lebaka	appointment
itumelela	appreciate
itumelela	appreciation
tsela	approach
atamela	approach
matshwanedi	appropriate
tetlelelo	approval
letla	approve
letleletse	approved
e ka nna	approximately
moranang	april
ka boithatelo	arbitrary
moagiteke	architect
boagi	architecture
akhaefe	archive
a	are
a o	are you
a o tshwaregile	are you busy
a o nyetse	are you married
a o nyetse kgotsa ga o a nyala	are you married or single
A o santse o le foo?	Are you still there?
A o santse o le teng?	Are you still there?
a o teng	are you there
kgaolo	area
ngangisana	argue
kganetsano	argument
nanoga	arise
letsogo	arm
sesole	army
dikologa	around
rulaganya	arrange
thulaganyo	arrangement
kgorogo	arrival
goroga	arrive
gorogile	arrived
ikgogomosa	arrogant
motsu	arrow
botsweretshi	art
letlhatlhelelo	article
e seng ya nnete	artificial
motsweretshi	artist
jaaka	as
fa fela	as long as
le	as well
gape le	as well as
molora	ash
swabile	ashamed
botsa	ask
boditse	asked
robetse	asleep
tebo	aspect
Seasemese	Assamese
tlhaselo	assault
tlhasela	assault
kopano	assembly
itshola ka boitshepo	assertive
sekaseka	assess
kgethisa	assess
tshekatsheko	assessment
asete	asset
letlotlo	asset
letlotlo	assets
aba	assign
asaenemente	assignment
thuso	assist
mothusi	assistant
amana	associate
amangwa	associated
kamano	association
mokgatlho	association
itlhoma	assume
go tsaya gore	assumption
kwa	at
bonnye	at least
jele	ate
moatelete	athlete
pataganya	attach
patagantswe	attached
patagano	attachment
tlhasela	attack
leka	attempt
tsena	attend
sekegela tsebe	attend
tseno	attendance
tshekegelo tsebe	attention
mokgwaselebo	attitude
gogela	attract
kgogedi	attraction
gogela	attractive
setlhaodi	attribute
boleng	attribute
balebeledi	audience
phatwe	august
rakgadi	aunt
mmangwane	aunty
ya nnete	authentic
mokwadi	author
bothati	authority
thata	authority
letlhabula	autumn
go gone	available
tlwaelesego	average
tila	avoid
tsogile	awake
kabelo	award
lemoga	aware
temogo	awareness
kwa kgakala	away
boitshegang	awesome
gakgamatsa	awesome
bosula	awful
matlhogole	awkward
Seaimara	Aymara
lesea	baby
kgope	bachelor
morago	back
lemorago	background
maswe	bad
kgetsana	bag
phephiso	bait
baka	bake
lebaka	bakery
sota e e bakang	baking soda
selekanyo	balance
lekalekanya	balance
bolo	ball
Sebambara	Bambara
panana	banana
lesomo	band
itaanya	bang
banka	bank
bara	bar
kgoreletso	bar
kgoreletsa	bar
sa	barely
sesolo	bargain
lekwati	bark
bali	barley
thibedi	barrier
motheo	base
letlase	base
tswa kwa	based
ikaega	based
boalo kafa tlase ga kago	basement
theo	basic
sa motheo	basically
beisele	basil
ngwana wa dikgora	bastard
setlhopha	batch
bata	bath
phaposibotlhapelo	bathroom
beteri	battery
ntwa	battle
kgogometso	bay
nna	be
ela tlhoko	be careful
letshitshi	beach
letlhasedi	beam
dinawa	beans
belega	bear
bera	bear
sikara	bear
tedu	beard
tshotse	bearing
sebatana	beast
fenya	beat
betsa	beat
ntle	beautiful
bontle	beauty
nnile le	became
ka gore	because
nna	become
bolao	bed
phaposi ya borobalo	bedroom
notshi	bee
nama ya kgomo	beef
kile	been
biri	beer
pele	before
simolotse	began
simolola	begin
tshimologo	beginning
mo boemong	behalf
itshola	behave
boitsholo	behavior
maitshwaro	behaviour
kwa morago	behind
e leng	being
tumelo	belief
dumela	believe
mpa	belly
ya	belong
moratiwa	beloved
fa tlase	below
lebanta	belt
setulo	bench
oba	bend
kwa tlase	beneath
bona molemo	benefit
thuso	benefit
mesola	benefits
ntle le	beside
fa thoko	beside
ntle le	besides
gaisa	best
nala	best of luck
katlego	best of luck
masego	best of luck
weno	best regards
botoka	better
magareng ga	between
seno	beverage
go feta	beyond
Sebojephoori	Bhojpuri
nna mo letlhakoreng la	bias
tsaya letlhakore	biased
baesekele	bicycle
bitsa	bid
raya	bid
laletsa	bid
tona	big
baeke	bike
tuediso	bill
molomo wa nonyane	bill
bofa	bind
nonyane	bird
letsatsi la botsalo	birthday
nnye	bit
loma	bite
bogalaka	bitter
utlwile botllhoko	bitter
ntsho	black
legare	blade
tshwaya phoso	blame
lelea	blank
kobo	blanket
thuba	blast
go thuntsa	bleach
tlhakanya	blend
segofatsa	bless
segofetse	blessed
foufetse	blind
boitumelo	bliss
thibela	block
madi	blood
sethunya	bloom
thunya	bloom
letsa	blow
botala jwa legodimo	blue
botswa	blunt
palama	board
boto	board
mokoro	boat
mmele	body
bela	boil
bedisa	boil
pelokgale	bold
kgolagano	bond
lerapo	bone
buka	book
godisa	boost
tlaleletso	booster
butshe	boot
butu	boot
dibutshe	boots
thetha	border
molelwane	border
boro	bore
fetlhela	bore
tshwarwa ke bodutu	bored
tshwarisa bodutu	boring
belegwe	born
adima	borrow
mothapi	boss
kgolokwane	boss
bobedi	both
tshwenya	bother
botlolo	bottle
tlase	bottom
rekile	bought
tlola	bounce
golegwa	bound
molelwane	bound
sekhutlo	bound
molelwane	boundaries
obama	bow
bora	bow
sejana	bowl
lebokoso	box
mosimane	boy
lekau	boyfriend
leseka	bracelet
boboko	brain
lekala	branch
letshwao	brand
tshwaya	brand
pelokgale	brave
tlolamolao	breach
senkgwe	bread
thuba	break
roba	break
boikhutso	break
difitlholo	breakfast
letsele	breast
khemo	breath
hema	breathe
tsal	breed
mofuta	breed
godisa	breed
setene	brick
monyadiwa	bride
borogo	bridge
khutshwane	brief
phatsima	bright
manontlhotlho	brilliant
botlhale	brilliant
tlisa	bring
abuti	bro
atlhama	broad
kgaso	broadcast
botlhoka madi	broke
robegile	broke
robegile	broken
lefeelo	broom
morwarre	brother
mogwe	brother in law
tlisitse	brought
tlhokwa	brown
ntlhwa	brown
boratšhe	brush
kgameleo	bucket
tsala	buddy
tekanyetso	budget
tsitsiri	bug
aga	build
kago	building
agile	built
kgoboko	bulk
pholo	bull
mokgerisi	bully
borurusa	bump
lesitlha	bunch
ngata	bunch
phutela	bundle
ngata	bundle
morwalo	burden
fitlha	buried
fisa	burn
thuba	burst
fitlha	bury
bese	bus
sekgwa	bush
setlhatlha	bush
kgwebo	business
thuba	bust
tshwaregile	busy
fa e se	but
mme	but
botoro	butter
serurubele	butterfly
konopo	button
reka	buy
fa	by
ka	by
kana	by the way
tsamaya sentle	bye
sala sentle	bye
khabetšhe	cabbage
kabinete	cabinet
kheišhe	cage
kuku	cake
namane	calf
bitsa	call
letsa mogala	call
nteletsa	call me
mpitsa	call me
biditse	called
biditswe	called
tshisibalo	calm
tlile	came
letsholo	campaign
kgona	can
ka	can
kake	can't
Phimola	Cancel
kankere	cancer
kgona	capable
bokgoni	capacity
motsemošhate	capital
madi a go simolola kgwebo	capital
khepošene	caption
go gapa	capture
koloi	car
mokgwa wa go itshetsa le tswelelopele	career
kelotlhoko	careful
ka kelotlhoko	carefully
go sa kgathalele	careless
pelontle	caring
mmetli wa dikgong	carpenter
khapete	carpet
segwete	carrot
tshola	carry
tswelela	carry on
ntshetsapele	carry out
kgetsi	case
madi a seatleng	cash
latlhela	cast
khasetlele	castle
nakwana	casual
go sa tseye tsiya	casual
katse	cat
kapa	catch
setlhopha	category
dikgomo	cattle
tshwere	caught
baka	cause
kgakololo	caution
kelotlhoko	cautious
legaga	cave
emisa	cease
sileng	ceiling
keteka	celebrate
sele	cell
bogare	center
borakanelo	center
ngwagakgolo	century
ditsele	cereal
mokete	ceremony
rileng	certain
tlhomamisa	certain
ka nnete	certainly
setifikeiti	certificate
ketane	chain
setulo	chair
gwetlha	challenge
kgwetlho	challenge
tšhono	chance
fetola	change
mmudubudu	chaos
motshameki	character
semelo	character
dipharologantsho	characteristics
latofatsa	charge
duedisa	charge
laya	charge
dikatso	charity
kgatlha	charming
tšhate	chart
lelekisa	chase
tlotla	chat
tlhwatlhwatlase	cheap
tsietsa	cheat
tsietsa	cheating
tlhola	check
lerama	cheek
nametsa	cheer
duduetsa	cheer
itumetse	cheerful
cheers	cheers
tšhisi	cheese
khemeseteri	chemistry
rata	cherish
tšhese	chess
sehuba	chest
tlhafuna	chew
koko	chicken
kgosi	chief
ngwana	child
bongwana	childhood
bana	children
iketle	chill
tšhemele	chimneys
seledu	chin
tšhokolete	chocolate
tlhopho	choice
tlhopha	choose
fatsa	chop
ditiro	chores
nonne	chubby
kereke	church
sinamone	cinnamon
sediko	circle
maemo	circumstances
moagi	citizen
teropokgolo	city
tatalala	claim
itshekisa	clarify
tlhalosa	clarify
tlelase	class
mmopa	clay
phepa	clean
phepa	clear
tlelereke	clerk
botlhale	clever
moreki	client
logaga	cliff
tlelaemete	climate
pagama	climb
ngaparela	clingy
orolose	clock
tswala	close
tlelosete	closet
lesela	cloth
diaparo	clothes
leru	cloud
maru a thibili	cloudy
radiserekisi	clown
lesedi	clue
marorongwane	clumsy
sebothwana	cluster
mokatisi	coach
legala	coal
lebopo	coast
baki	coat
kofi	coffee
tsa tlhaloganyo	cognitive
kwelano	coincidence
tsididi	cold
phutlhama	collapse
koloro	collar
modirammogo	colleague
badirammogo	colleagues
tsaya	collect
kgobokanyo	collection
kholeiji	college
mmala	color
dikakanyo tse ditala tse d se nang mmala di robetse ka natla	colorless green ideas slept furiously
mmala	colour
kholomo	column
kama	comb
kamo	comb
kopanyo	combination
kopanya	combine
tlaya	come
tla kwano	come here
tlaya	come on
kgomotso	comfort
gomotsa	comfort
phuthuloga	comfortable
tlang	coming
ya tla mo bogautshwaneng	coming soon
taelo	command
laela	command
akgela	comment
tsa kgwebo	commercial
khomišhene	commission
ineela	commit
boineelo	commitment
ineetse	committed
phatlho	commodity
tlwaelesegile	common
tlhaeletsana	communicate
tlhaeletsano	communication
baagi	community
go ya tirong le go boela gae ka gale	commute
fetola	commute
molekane	companion
setlhopha	company
setlamo	company
tshwantshanya	compare
papiso	comparison
boutlwelobotlhoko	compassion
utlwela botlhoko	compassionate
tshwanelana	compatible
gaisana	compete
na le bokgoni	competent
kgaisano	competition
gaisana	competitive
ngongorega	complain
ngongorego	complaint
akgola	complement
fetsa	complete
ka botlalo	completely
marara	complex
latela melao	compliance
raraane	complicated
tlotlomatso	compliment
obamela	comply
tlhamo	composition
kompone	compound
tswako	compound
tswaka	compound
tlhaloganyo	comprehension
feleletseng	comprehensive
ineela	compromise
pateletsega	compulsory
khomphiuta	computer
tebisa mogopolo	concentrate
kopanya	concentrate
kgopolo	concept
matshwenyego	concern
tshwenyegile	concerned
konsarata	concert
konosetso	conclusion
konkereite	concrete
mmatota	concrete
maemo	condition
maemo	conditions
tsamaiso	conduct
mokgwa	conduct
khonferense	conference
ipolela	confess
boitshepi	confidence
itshepile	confident
tlhomamisa	confirm
kgotlhang	conflict
etsaetsega	confused
kgamarego	confusion
mapetepete	confusion
re motlotlo ka wena	congrats
kakgolo	congratulation
re a go akgola	congratulations
lekopanyi	conjunction
kopanya	connect
fenya	conquer
lemoga	conscious
boitemogo	consciousness
tetla	consent
ditlamorago	consequences
tshomarelo	conservation
konsebetifi	conservative
akanya	consider
tseile gore	considered
na le	consist
tlhomamo	consistency
tlhomama	consistent
sa fetogeng	constant
ka go sa fetogeng	constantly
pipelo	constipation
kago	construction
ja	consume
tiriso	consumption
kgolagano	contact
tshelanang	contagious
tshola	contain
tshola	contains
sešweng	contemporary
lenyatso	contempt
diteng	content
tlhabana	contest
kgaisano	contest
ganela	contest
bokao	context
kontinente	continent
tswelela	continue
koteraka	contract
farologanya	contrast
pharologanyo	contrast
atswa	contribute
katso	contribution
laola	control
taolo	control
ya kganatseno	controversial
tshiamelo	convenience
siametse	convenient
motlotlo	conversation
mosokologi	convert
fetola	convert
fetisa	convey
fea	convince
fentswe	convinced
tlhomamisegile	convinced
apaya	cook
apeile	cooking
tsiditsana	cool
tirisanommogo	cooperation
emelana	cope
koporo	copper
konokono	core
mmidi	corn
sekhutlo	corner
nepile	correct
tlhwatlhwa	cost
khosetšhumu	costume
thutsana	cottage
letseta	cotton
tlhale	cotton
soufa	couch
gotlhola	cough
kgonne	could
khansele	council
bala	count
ganetsa	counter
sebadisi	counter
khaontara	counter
naga	country
magaeng	countryside
baratani	couple
bogatlhamelamasisi	courage
motlhala	course
kgotlatshekelo	court
tlotlo	courtesy
ntsala	cousin
bipa	cover
kgomo	cow
legatlapa	coward
boiketlo	cozy
lekakauwe	crab
phatloga	crack
botswerere	craft
dilo di sele	crap
thula	crash
thulano	crash
keletso	craving
gagaba	crawl
makatsang	crazy
tsenwa	crazy
bopa	create
go bopa	creative
keretiti	credit
gagaba	creep
tsitsibanya mmele	creepy
badiri ba sekepe	crew
bosenyi	crime
ingodis	cringe
dipharagobe	crisis
dikaelo	criteria
tlhobaetsang	critical
kgalo	criticism
tshekatsheko	criticism
sejalo	crop
thobo	crop
ngotla	crop
dijalo	crops
tlola	cross
sefapano	cross
legakabe	crow
boididi	crowd
bokanetse	crowded
serwalo sa bogosi	crown
botlhokwa thata	crucial
setlhogo	cruel
leeto ka sekepe	cruise
pitla	crush
lela	cry
komokomore	cucumber
tlamparela	cuddle
setso	culture
boferefere	cunning
kopi	cup
raka	cupboard
thibela	curb
alafa	cure
Nako e o e beetsweng	curfew
šwegašwega	curiosity
go batla go itse	curious
mo go gakgamatsang	curious
itshopileng	curly
madi	currency
moela	current
ga jaana	current
ga jaana	currently
hutsa	curse
phutso	curse
garetene	curtain
mosamo	cushion
garela	cushion
tlwaelo	custom
lekgetho la dithoto	custom
moreki	customer
makgetho	customs
letso	customs
sega	cut
ntlenyane	cute
saekela	cycle
go palama baesekele	cycling
rre	dad
papa	daddy
ka letsatsi	daily
teiri	dairy
tama	dam
letamo	dam
tshenyo	damage
senya	damage
bongola	damp
bina	dance
maneneke	danger
kotsi	dangerous
lefifi	dark
moratiwa	darling
thaladi	dash
phatlanya	dash
dinewane	data
deitha	data
letlha	date
morwadi	daughter
letsatsi	day
sule	dead
letlha le le beilweng	deadline
susu	deaf
tumelano	deal
ratega	dear
tlhwatlhwa	dear
Botlhe ba ba Rategang	Dear All
moreki yo tlotlegang	Dear Customer
Batsadi ba ba Tlotlegang	Dear Parents
Morena yo o Tlotlegang	Dear Sir
Baithuti ba ba tlotlegang	Dear students
Setlhopha se se Rategang	Dear Team
leso	death
ngangisano	debate
tebita	debit
molato	debit
matlhekge	debris
molato	debt
ngwagasome	decade
bola	decay
tlhokafetseng	deceased
tsietsa	deceive
sedimonthole	december
siama	decent
swetsa	decide
sweditse	decided
tshwetso	decision
kgabisa	deck
gana	decline
phokotso	decrease
fokotsa	decrease
ineetse	dedicated
boineelo	dedication
tiro	deed
kwa teng	deep
kgama	deer
tlhokomologo	default
fenya	defeat
emela	defend
tlhalosa	define
totatota	definitely
tlhaloso	definition
dikirii	degree
dia	delay
diegisitswe	delayed
phimola	delete
ka boomo	deliberate
akanya	deliberate
thubegang	delicate
temeka	delicate
balola	delicious
itumelela	delight
itumetse	delighted
go rebola	deliver
go gololola	deliver
golotswe	delivered
rebotswe	delivered
thebolo	delivery
topo	demand
sa kgotsofale	demanding
temokerasi	democracy
letimona	demon
supetsa	demonstrate
ganetse	denied
kitlano	density
ngaka ya meno	dentist
ganela	deny
lefapha	department
pololo	departure
ikaega	depend
romela	deploy
beeletsa	deposit
gateletswe maikutlo	depressed
kgatelelo ya maikutlo	depression
boteng	depth
tlhalosa	describe
tlhaloso	description
sekaka	desert
tshwanelwa	deserve
setshwantsho	design
inakemo	designation
keletso	desire
deseke	desk
tsholofologo	despair
thata	desperate
solofoga	desperate
le mororo	despite
phuting	dessert
kwa go iwang teng	destination
isagwe	destiny
tlholelo	destiny
senya	destroy
tshenyo	destruction
ntlhana	detail
dintlha	details
fitlhela	detect
boikaelelo	determination
ikaelela	determine
ikemiseditse	determined
utlwile botlhoko	devastated
tlhabolola	develop
tlhabolotse	developed
tlhabololo	development
sediriswa	device
tiabolo	devil
ineetse	devoted
Sedhivehi	Dhivehi
daebitise	diabetes
letshololo	diarrhea
tayari	diary
thanodi	dictionary
dirile	did
swa	die
tlhokafala	die
sule	died
dijo	diet
pharologano	difference
farologane	different
popota	difficult
epa	dig
seriti	dignity
ineetse	diligent
dilalelo	dinner
ina	dip
laela	direct
kaelo	direction
mokaedi	director
leswe	dirt
leswe	dirty
nonofolotsa	disable
koafatsa	disable
ntshitswe mo tirirsong	disabled
na le bogwele	disabled
nyelela	disappear
swabile	disappointed
masetlapelo	disaster
latlha	discard
tswile	discharge
kgololo	discharge
boineelo	discipline
kgalemo	discipline
phokotsotlhwatlhwa	discount
fitlhela	discover
kgethololo	discrimination
buisana	discuss
puisano	discussion
bolwetse	disease
malwetse	diseases
iphitlhile	disguise
ferosa dibete	disgusting
sejana	dish
dijo	dish
dijana	dishes
leleka	dismiss
fofotsa	dispatch
tshupetso	display
go latlha	disposal
ganetsanya	dispute
sebaka	distance
farologanya	distinct
farologanya	distinguish
tlalelo	distress
phatlalatso	distribution
kgaolo	district
kgoreletsa	disturb
latlha	ditch
mosima	ditch
kodumela	dive
farologane	diverse
pharologanyo	diversity
aroganya	divide
semodimo	divine
tlhalo	divorce
tsewa ke sedidi	dizzy
dira	do
a o	do you
a wa nthata	do you love me
ngaka	doctor
tokomane	document
dira	does
ga	doesn't
ntša	dog
Sedogri	Dogri
dira	doing
mpopi	doll
lephata	domain
tsa selegae	domestic
phekeetsi	dominant
se ka	don't
Se tshwenyege	Don't worry
aba	donate
dirile	done
tonki	donkey
diritibatsi	dope
ntle	dope
gabedi	double
belaela	doubt
tege	dough
kwa tlase	down
laisolola	download
tlhomo	draft
goga	drag
minolosa	drain
mosele	drain
terama	drama
taka	draw
goga	draw
torowara	drawer
setshwantsho	drawing
a taka	drawing
poborano	dread
boifa	dread
lora	dream
mosese	dress
phunya	drill
fetlha	drill
nwa	drink
kgweetsa	drive
lerothodi	drop
rotha	drop
diga	drop
digile	dropped
lešekere	drought
nwele	drunk
tagilwe	drunk
omile	dry
pidipidi	duck
mothaka	dude
tshwanelo	due
ka ntlha ya	due to
letobo	dull
mumu	dumb
latlhela	dump
paka	duration
ka nako ya	during
lerole	dust
tshwanelo	duty
aga	dwell
swang	dying
nngwe le nngwe	each
o mongwe le o mongwe	each other
tlhwaafala	eager
ntsu	eagle
tsebe	ear
pelenyana ga foo	earlier
go sa le gale	early
gola	earn
ditsebe	ears
lefatshe	earth
thoromo ya lefatshe	earthquake
boiketlo	ease
bonolo	easily
botlhaba	east
motlhofo	easy
jaanong	eat
a ja	eating
tsa ekonomi	economic
ikonomi	economy
losi	edge
lelepe	edge
tseleganya	edit
thuto	education
dira	effect
tirafatso	effect
motia	effective
bokgoni	efficiency
nonofile	efficient
boiteko	effort
lee	egg
ekepolante	eggplant
boikgopolo	ego
robedi	eight
lesome le borobedi	eighteen
masome a robedi	eighty
le fa e le	either
tlhalosa go ya pele	elaborate
sekgono	elbow
mogolo	elder
golo	elderly
bagolo	elderly
kgatlhisa	elegant
ntlha	element
tlou	elephant
lesome le bongwe	eleven
senkega	eligible
fedisa	eliminate
nngwe	else
swabile	embarrassed
swabisang	embarrassing
kampa	embrace
tlhagelela	emerge
tshoganyetso	emergency
thuba maikutlo	emotional
kakanyetso ya ba bangwe	empathy
kgatelelo	emphasis
gatelela	emphasize
mothapiwa	employee
bathapiwa	employees
mothapi	employer
thapo	employment
leafatsa	empty
lolea	empty
kgontsha	enable
kopano	encounter
rotloetsa	encourage
fetsa	end
bokhutlo	end
mo kotsing	endangered
leka	endeavor
boitsholo	endurance
itshoka	endure
sera	enemy
mafolofolo	energy
beeletsa	engage
mo tirisong	engaged
beeleditswe	engaged
kgolagano	engagement
peeletso	engagement
enjine	engine
moenjiniere	engineer
Seesimane	English
tokafatsa	enhance
natefelelwa	enjoy
boitshegang	enormous
lekane	enough
netefatsa	ensure
tsena	enter
tsenya	enter
boitumediso	entertainment
phisego	enthusiasm
mafolofolo	enthusiastic
otlhe	entire
tshwanetswe	entitled
setlhogo se se reng	entitled
setlamo	entity
botseno	entrance
mogwebi	entrepreneur
enfolopo	envelope
tikologo	environment
tswela pelo	envy
kgolo	epic
ntle	epic
