a	with
a little	chuku
a lot	gbin
a lot of	akaa ngee
abandon	takera
abandoned	hungurami
abide	dondu
ability	mdam
able	fatyo
about	sha kwagh u
above	Taven Sha
abroad	tar u ke won
absence	kera lu ga
absence	undu
absent	bunde
absent	her ga
absolutely	voogh
absorb	nyôr
abstract	ityokyaangi ga
absurd	byumekwagh
abundance	gbin
abundant	kpishi
abundant	wuee
abundant	ngee
abuse	tuhwa
accent	lamen
accept	rumun
access	hunda
accident	aaikyor
accommodation	ijiir I tsan
accomplish	kule
accomplished	er ishima
according	er i tese
account	akauntu
accuracy	shami voughur
accurate	voogh
accused	ikor
ache	mnyion
achieve	kôrcio
achievement	akaa adzuan ami
acknowledge	lumun ami
acquaintance	orwam kpookpoo
acquire	yamen
acquired	yam
acquisition	kwagh yamen
across	across
act	er
action	er kwagh
active	eren tom her
activities	akaa aeren
activity	tom
actor	or eren fiim
actual	kpôr kpôr
actually	sha kpôô
acute	taveraa
adapt	gema gbenda
add	seer
addicted	isharen
addition	seer
additional	seer
address	adereshi
adequate	shamin voughur
adjacent	ikyua
adjective	mpase u akaa
adjust	sor
admire	kenger
admit	lumun
adopt	lumun
adopt	dondo
adopt	ngohol
adorable	dooshima
advance	zahemen
advanced	waa taver
advantage	Kôrcio
adventure	kwaghfan uhe
adverb	kwagh
advertisement	kwagh yoon
advertising	kasua u yôôn
advice	Kwagh wan
advise	wa kwagh
advocate	suen
aesthetic	iwuese ii mdoom
affair	akaa eren
affect	bende
affection	dooshima
affection	doo
afford	fatyô u yahem
affordable	inyaregh kuma
affordable	fatyô
afraid	cia
after	Sha
afternoon	atetan
afterwards	Shighe kar yô
again	kimbir
against	hwande
age	ayom
agency	mzough
agent	orkuren
aggressive	sha utaha
agile	taver yol
ago	anyom kar
agree	rumun
agreement	lumun
agreement	zwa mô
agriculture	tomsule
ahead	ken hemen
aid	iwasen
aid	wase
aim	Úna
aim	awashima
air	ahumbe
airport	tashan u igirgi
aisle	gbenda
alarm	cier yol
alcohol	Ikyôhô
alert	luper
alert	tsevaa
alive	uma
all	Cii
all right	kashami
all the best	kwagh a za i doo
allow	na ian
allowed	ian nan
almost	ikyua ikyua
alone	tswen
along	Vea
already	Ashen
Alright	ka sha mi
also	man shi
alternative	gbenda ugenegh
although	er
always	Hanma shie
am	ngu
amazing	cieryol
amazing	Kpiligh yol
ambiguous	atokyaa ngee
ambition	mhange
ambitious	hange iyol
amend	sôr
amid	nahan
among	ken
among us	ken ato wase
amount	cica
amusing	hom
an	un
analysis	mpase u kwagh
ancestors	uter mbatsev
anchor	amise
anchor	imande tso
ancient	tsev
and	Man
and you	kua we
angel	ortyom
anger	yuwen
anger	ihshimayôôn
angle	vesegh u
angry	ishima-nyion
animal	inyam
ankle	nguhar
anniversary	mumbur
announcement	kwagh yôôn
annoy	vihi ishima
annoyed	ishima vihin
annoying	nyion shima
annual	haanma inyon
anonymous	ken myer
another	igen
answer	amsa
answer	mrumun
anticipate	ver ashe
anxiety	ishima nyian
anxious	tsegher
any	hanma
anymore	mayange ga
anyone	hanma or
anything	ma kwagh
anyway	nahan cii
anyways	er i lu cii
apart	kposo
apart	shio
apartment	ya
apartment	you
apologize	anyi a yan
apparent	alaghga tsô
apparently	gadiyo
appeal	culecule
appeal	apii
appeal	Sôn
appear	ande
appearance	mluashe
appeared	ande
appetite	isharen
apple	apple
application	aplekeshen
application	sugh
apply	er
appointment	tom
appreciate	Wuese
appreciation	iwuese
approach	mgbôghom
appropriate	Shami
approval	lumun
approve	lumun
approved	lumun
approximately	cuku tso
approximately	kyuakyua
april	uwer us ha unyiin
arbitrary	coughcough
architect	ornderan imaagh
architecture	kwaghmaan
archive	ijiir akaatse
are	nga
are	ngala
are you	we ye
are you busy	kanyi u lu eren
are you busy	u ngu eren kwagh
are you married	u er kwase shin nom ver
are you married or single	u er ivese shin u tswen
Are you still there?	u ngu heela her e
are you there	u ngu heela
area	ijiir
argue	kwaghnyiman
argue	kwaghtunan
argument	kawghtunan
arise	mou
arm	wegh
army	kurutya
around	heregh
around	ningir
arrange	sôr ver
arrangement	wa yol
arrival	nyôr
arrive	nyor
arrived	nyor
arrogant	ichihi
arrow	ivyaan
art	kwagh hir
art	anumbe
article	kwagh ngeren
artificial	gbaaôndo ga
artist	orkpelan kwagh
as	er
as long as	Er
as well	kua
as well as	seer sha
as well as	kua mba
ash	mtuhwem
ashamed	kunya
ask	Pine
asked	pine
asleep	mnyam
aspect	ken gbenda la
Assamese	Assamese
assault	ta sambe
assembly	mkohol
assertive	lumun
assertive	kaa er
assess	nenge fan
assessment	ishe kwagh
asset	dyako
assets	akaa a lun ami
assign	na tom
assignment	tomwan
assignment	kwagh-eren
assist	wase
assistant	or wasen
associate	boki
associated	zorun
association	mzough
assume	hen
assumption	tôôn er
assumption	u henen er
at	adondo
at least	ahemba kpa
ate	aye
