ए	a
अनूसरप	abide
क्षमता	ability
सक्षम	able
विशीं	about
संबंदीं	about
वयर	above
देशाभायर	abroad
भायर	abroad
विदेशात	abroad
गैरहाजीर	absence
गैरहाजीर	absent
निखालस	absolutely
सामकें	absolutely
आपरोस	abstract
हास्यास्पद	absurd
विपूल	abundance
भरपूर	abundant
अपमान	abuse
आघात	accent
स्विकार	accept
ऍक्सॅस	access
प्रवेश	access
अपघात	accident
राबितो	accommodation
फळादीक	accomplish
कुशळ	accomplished
खातें	account
अचूकताय	accuracy
अचूक	accurate
आरोपी	accused
दुखप	ache
मेळोवप	achieve
संपादन	achieve
विक्रम	achievement
संपादन	achievement
कबुली	acknowledge
वळख	acquaintance
संपादन	acquire
संपादन	acquisition
पेल्यान	across
कृती	act
कृती	action
सक्रीय	active
कृती	activities
क्रियाकलाप	activities
कृती	activity
नट	actor
वास्तवीक	actual
वास्तवीक	actually
तीव्र	acute
जोडचें	add
वेसनाधीन	addicted
बेरीज	addition
अतिरिक्त	additional
नामो	address
फावोशें	adequate
कुशीचें	adjacent
विशेशण	adjective
जुळोवचें	adjust
प्रशंसा	admire
स्तुती	admire
आपणावप	adopt
स्विकारप	adopt
आधुनीक	advanced
फायदो	advantage
साहस	adventure
क्रियाविशेशण	adverb
जायरात	advertisement
जायरात	advertising
सल्लो	advice
सल्लो	advise
वकिल	advocate
वेव्हार	affair
प्रभाव	affect
बादा	affect
माया	affection
प्रयेत्न	afford
येत्न	afford
परवडपी	affordable
भियेल्लें	afraid
उपरांत	after
दनपार	afternoon
परतून	again
आड	against
विरुध्द	against
पिराय	age
संस्था	agency
एजंट	agent
दलाल	agent
आक्रमक	aggressive
हुतहुतें	agile
आदीं	ago
कबुल	agree
मान्य	agree
करार	agreement
शेती	agriculture
फुडें	ahead
मुखार	ahead
मजत	aid
ध्येय	aim
हवा	air
विमानतळ	airport
गालियारो	aisle
इशारत	alarm
शिटकावणी	alarm
सोरो	alcohol
दक्ष	alert
थोडेशें	a little
जिवंत	alive
सगलें	all
परवानगी	allow
मान्यताय	allow
आसूं	all right
लागींलागीं	almost
सगलेंच	almost
एकटें	alone
हाचेसयत	along
खूब	a lot
आदींच	already
तरीय	also
लेगीत	also
सुध्दां	also
पर्याय	alternative
तरीकूय	although
सदांच	always
हांव	am
अद्भूत	amazing
संदिग्ध	ambiguous
सपन	ambition
म्हत्वाकांक्षी	ambitious
दुरुस्ती	amend
मजगतीं	amid
मदीं	among
रक्कम	amount
राशी	amount
अद्भूत	amusing
एक	an
विश्लेशण	analysis
पुर्वजांचें	ancestors
नांगर	anchor
आदलें	ancient
पुरातन	ancient
प्राचीन	ancient
आनी	and
तू	and you
देवदूत	angel
राग	anger
कोन	angle
परी	angle
तिडकल्लें	angry
रागार	angry
जनावर	animal
वर्धापनदीस	anniversary
वर्सुकीदीस	anniversary
घोशणा	announcement
सतावप	annoy
रागार	annoyed
सतावपी	annoying
वर्सुकी	annual
निनांवी	anonymous
दुसरें	another
उत्तर	answer
जाप	answer
हुस्को	anxiety
चिंतीत	anxious
खंयचेंय	any
आनीक	anymore
किदेंय	anything
पृथक	apart
अपार्टमँट	apartment
भोगसणी	apologize
माफी	apologize
प्रत्यक्ष	apparent
स्पश्ट	apparent
प्रत्यक्ष	apparently
अपील	appeal
दिसप	appearance
भूक	appetite
सफरचंद	apple
अर्ज	application
ऍप्लिकेशन	application
तोखणाय	appreciation
मोख	approach
अंदाजी	appropriate
हयकार	approval
मान्यताय	approve
मान्यतायप्राप्त	approved
अंदाजी	approximately
एप्रिल	april
लवादी	arbitrary
शिल्पकार	architect
शिल्पकला	architecture
संग्रह	archive
आसात	are
प्रदेश	area
भासाभास	argue
वाद	argument
उदेवप	arise
उद्भवप	arise
आर्म	arm
हात	arm
लस्कर	army
भोंवतणी	around
मांडचें	arrange
मांडणी	arrange
रचना	arrange
रचना	arrangement
आगमन	arrival
पावप	arrive
येवप	arrive
आगमन	arrived
उध्दट	arrogant
उर्मट	arrogant
बाण	arrow
कला	art
लेख	article
कृत्रिम	artificial
कलाकार	artist
गोबोर	ash
लाजीरवाणें	ashamed
विचारप	ask
विचारलें	asked
न्हिदप	asleep
पैलू	aspect
असमिया	Assamese
आगळीक	assault
हल्लो	assault
विधानसभा	assembly
सभा	assembly
मोलावणी	assess
मूल्यांकन	assessment
मोलावणी	assessment
असेट	asset
धन	asset
भांडवल	assets
असायनमेण्ट	assignment
प्रयोग	assignment
सहाय्य	assist
सहाय्यक	assistant
सांगाती	associate
संबंदीत	associated
संलग्न	associated
सहकारी	associated
संघटणा	association
अनुमान	assume
तर्क	assume
अनुमान	assumption
तशेंच	as well as
हाचेर	at
खावप	ate
ऍथलेट	athlete
खेळगडो	athlete
किमान	at least
जोडचें	attach
जोडलां	attached
जोडणी	attachment
हल्लो	attack
प्रयेत्न	attempt
