a	Un
a little	se kentsi
a lot	miyak
a lot of	miyak
abandon	teijkaua
abandoned	ijkatoke
abide	kieua
ability	yolokayotl
able	uelitini
about	tlen tlachke
above	pechitok
abroad	ipan tlen chontali
absence	axkanaki
absent	amoixpani
absolutely	nouanyotl
absorb	ijitilana
abstract	abstracto
absurd	absurdo
abundance	tlaojonka
abundant	tlalkiuak
abuse	Tepantlaksalistli.
accent	katsakamanali
accept	uelkaki
access	kalakilis
accident	tlakokoke
accommodation	tesiliya
accomplish	tlanokpiliua
accomplished	axiltiya
according	tlateuxpanuili
account	pouali
accuracy	saueltsi
accurate	saueltsi
accused	tlateiljuitoke
ache	kokoa
achieve	axitis
achievement	tlamamatsolistli
acknowledge	machiotlayotl
acquaintance	nikixmati
acquire	temolia
acquired	axkauiya
acquisition	axkatiani
across	ixpano
act	ainilistli
action	xipeua
active	aini
activities	tekipanolistli
activity	tekipanolistli
actor	actor
actual	tleneliya
actually	in tlaneltika
acute	tenatik
adapt	moyetstika
add	piuili
addicted	koxhipatili
addition	piui
additional	setiliya
address	mocha
adequate	inamik
adjacent	adyacente
adjective	tlajtouali
adjust	tlakualali
admire	teitsauiya
admit	tlaseliya
adopt	piltsintia
adorable	netetoloani
advance	nenemilchitoke
advanced	nenemi
advantage	nitekixtia
adventure	tetsauyotl
adverb	kautik
advertisement	teneua
advertising	teneua
advice	tlaltolnamijki
advise	mamanali
advocate	temanauia
aesthetic	motlayoltilis
affair	tlamantli
affect	teijnelia
affection	tlasojtli
afford	istok nechkatsi
affordable	asequible
afraid	nimamauij
after	Teipa
afternoon	tiotlak
afterwards	teipa
again	sampayanok
against	axkualtijtok
age	moxiui
agency	amatlakuilokan
agent	kalotl
aggressive	sankinenejktok
agile	axetik
ago	ijka
agree	tlainamiki
agreement	senkaua
agriculture	milsnkayotl
ahead	axtui
aid	tlapaleuili
aim	axiltiya
air	ajakatl
airport	ejelkixoayan
aisle	kalojtli
alarm	kakalmeualistli
alcohol	uino
alert	alertar
alive	yoltok
all	nochimej
all right	kuali ti'istok
all the best	nochi tlen kuakuali
allow	nijkauas
allowed	mokaua
almost	nexka
alone	iselti
along	tlen ueyi ipan
already	ya
Alright	necepatlantoli
also	nojkia
alternative	kauantinami
although	masje
always	nochipa
am	na ni
amazing	ax nichiyaya
ambiguous	ambiguo
ambition	ixtlaneneki
ambitious	tlaixneneki
amend	tlakualalilis
amid	tlajkoyan
among	tlatlajko
among us	san pantojuati
amount	keski
amusing	Tlamauisoli
an	se
analysis	ijitlajolistli
ancestors	uejkapanimej
anchor	akachikoli
ancient	tetatsi
and	uan
and you	uan Ta?
angel	aocelotl
anger	sankuajkualantok
angle	ángulo
angry	kualantok
animal	tekuani
ankle	kekeyoli
anniversary	senuauetilistli
announcement	yolmeyauali
annoy	tlaajasi
annoyed	ixkualantok
annoying	kualantok
annual	xijuitla
anonymous	axtikixmati
another	seyoj
answer	tetlalkuepalistli
anticipate	ximoaxtui
anxiety	axueli tlaiyontilana
anxious	kinenejtok
any	tlenueli
anymore	ayoktle
anyone	tlenueli
anything	axtleno
anyway	tlen uelij panos
anyways	maske
apart	sekoyoj
apartment	chankali
apologize	tlapopouiya
apparent	tepatlajtoli
apparently	uelitita
appeal	ompayotl
appear	nextia
appearance	ixpantia
appeared	nimonexti
appetite	mayana
apple	mantsanatl
application	tlasiuitilistli
apply	tetechkitoa
appointment	nauatiya
appreciate	teijnelsi
appreciation	iknekilis
approach	asikojya
appropriate	yani
approval	yolnankilistli
approve	yolnankiliya
approved	tlatemolili
approximately	niixtlaliya elij
april	abril
arbitrary	arbitrario
architect	kalmanani
architecture	kalmanayotl
archive	amatltlapia
are	elij
are you	ti istok
are you busy	timo tekiuijtok
are you married	timo namijtiktok
are you married or single	ti monamijtok o timoselti
Are you still there?	nojuan ti'istok nopano
are you there	ti'istok nopano
area	tlskuikui
argue	kualantlikayotl
argument	kamalistli
arise	kueponi
arm	akolmaitl
army	yoatltekemej
around	tlen iyaloj
arrange	senkaua
arrangement	tlayektilistli
arrival	asikoli
arrive	asik
arrived	asiko
arrogant	omeyolo
arrow	mitl
art	toltekayotl
article	ijtoli
artificial	tlatotelkauili
artist	toltekatl
as	kejatsa
as long as	ijkuak
as well	nojkia
as well as	tlen kuali kejatsa
ash	nextli
ashamed	pinauali
ask	tlatlani
asked	tlatlanki
asleep	kochtok
aspect	katsa nesi
Assamese	Assamese
assault	tlaixtekili
assembly	ensamblar
assertive	kiaxiltili
assess	ilnamikamatl
assessment	ilnamikamatl
asset	aini
assets	aini
assign	temamaka
assignment	semiluitekitl
assist	ita
assistant	tepantilo
associate	achiuikal
associated	nechikoli
association	nechikolistli
assume	tlejkoliya
assumption	nijtlaliyaya
at	in
at least	maske kentsi
ate	tlakuajki
athlete	painalton
attach	titlalis
attached	on titlania
attachment	nitlaliya
attack	tkauilanketl
attempt	keloa
attend	ixiptlati
attendance	tlen asiko
attention	tlayeuakilistli
attitude	tetsauil
attract	tlamatlaluiya
attraction	tlatlakuoilini
attractive	senka yeyejtsi
attribute	tenamaktli
audience	poualtlajtoli
august	agosto
aunt	aui
aunty	aui
authentic	autentico
author	autor
authority	tlanauatikame
autumn	tonalko
available	eltoj titekiuis
average	tlen tkajko elij
avoid	axtikauilis
awake	isatok
award	tetlautili
aware	tlailnamiktok
awareness	inonemilis
away	kalteno
awesome	kuali yeyejtsi
awful	fiero
awkward	iaxkualistok
Aymara	Aymara
baby	pilkonetsi
bachelor	siuatlanki
back	ijka
background	antecedentes
bad	tlanaui
bag	xikiplitontli
bait	cebo
bake	ijsi
bakery	pantsichiuayan
baking soda	bicarbonato de sodio
balance	Tomi mokaua
ball	tlachtli
Bambara	Bambara
banana	kuaxilotl
band	uampoyomej
bang	tlatopontli
bank	tominkali
bar	oknankali
barely	sanok
bargain	achinijtemouiya
bark	tllauaja
barley	tlauli
barrier	tlatsakuili
base	neluayotl
based	tlinkatsa
basement	tolkaltsintla
basic	moneki
basically	basicamente
basil	albahaca
bastard	tepalkonetl
batch	tlalkaltsi
bath	axixkali
bathroom	kuitlakali
battery	batería
battle	nekalilistli
bay	anepalko
be	elij
be careful	ximomaljui
beach	xaltentli
beam	tlauil tlapetlantli
beans	etl
bear	ni ijiyouiya
beard	tentsontli
bearing	yelistli
beast	tekuani
beat	tlauiuika
beautiful	Kualualtsi
beauty	nematini
became	nimokuepki
because	paratle
become	kueptok
bed	tlapechtli
bedroom	kochiuayan
bee	neksayoli
beef	nakatl
been	sido
beer	achichik
before	achtui
began	pejki
begin	peuas
beginning	pejtli
behalf	tlen tla makaua
behave	yelia
behavior	katsa nenemilis
behaviour	katsamochiua
behind	ne ika
being	eltoj
belief	neltokokayotl
believe	temactli
belly	ijti
belong	axkaitl
beloved	tlasojtli
below	tlatsintla
belt	pitsauautli
bench	ikpali
bend	kualpachoa
beneath	intsintlan
benefit	teiknekilistli
benefits	teiknekilistli
beside	sansejko in
besides	nojkia
best	senka
best of luck	miyak itonali
best regards	tlenkikuilo
better	osenka
between	xoloxtli
