a	i
a little	kancani
a lot	khulu
a lot of	inengi le
abandon	lahla
abandoned	lahliweko
abide	zinamathisele
ability	ikghono
able	kghona
about	mayelana
above	ngehla
abroad	ngaphetjheya
absence	ukungabikhona
absent	ukungabi khona
absolutely	kwamambala
absorb	munya
abstract	ngaphathekiko
absurd	okunganangqondo
abundance	inala
abundant	okunengi
abuse	tlhorisa
abuse	ukutlhorisa
accent	ipimiso
accept	yamukela
access	ubungeno
access	ngena
accident	ingozi
accommodation	indawo
accomplish	qeda
accomplished	kufeziwe
according	ngokutjho
account	i-akhawundi
accuracy	inembo
accurate	nembako
accused	umsolwa
ache	qaqamba
ache	ukuqaqamba
achieve	zuza
achievement	ukuzuza
acknowledge	ukwamukela
acquaintance	umuntu omaziko ongakamjayeli
acquire	ukuzuza
acquired	zuze
acquisition	ukuzuza
across	buvundla
act	enza
action	isenzo
active	majadu
activities	imisebenzi
activity	umsebenzi
actor	umlingisi
actual	kwamambala
actually	kuhlekuhle
acute	bukhali
adapt	jayeza
add	ukungezelela
addicted	khonzileko
addition	ukuhlanganisa
additional	okungeziweko
address	isiphande
address	khuluma
adequate	aneleko
adjacent	hlaleleneko
adjective	isiphawulo
adjust	lungisa
admire	ukubuka
admit	ukuvuma
adopt	thatha
adorable	karisako
advance	ukuraga
advance	raga
advanced	thuthukileko
advantage	ubuhle
adventure	igabazo
adverb	isinabiso
advertisement	isikhangiso
advertising	umkhangiso
advice	isiyeleliso
advise	isiyeleliso
advocate	umkhulumeli
advocate	khulumela
aesthetic	thanda ubuhle
affair	iindaba
affect	thinta
affection	ithando
afford	kghona
affordable	thengeka
afraid	saba
after	ngemva
afternoon	ngemva kwedina
afterwards	emva kwalokho
again	godu
against	phikisana
age	umnyaka
agency	i-ejensi
agent	i-ejenti
aggressive	rhugako
agile	isilemukiso
ago	kade
agree	ukuvuma
agreement	isivumelwano
agriculture	zelimo
ahead	phambili
aid	isisetjenziswa
aim	umnqopho
air	ummoya
airport	isiphaphamtjhini
aisle	indawo yezinto
alarm	i-alamu
alcohol	utjwala
alert	isilemukiso
alive	phila
all	koke
all right	koke okuhle
all the best	sikufisela okuhle kodwa
allow	vumela
allowed	vunyelwe
almost	pheze
alone	ngedwa
along	magega
already	sengenzile
Alright	Kulungile
also	begodu
alternative	ukujamiselela
although	nanyana
always	ngaso soke isikhathi
am	ngi
amazing	rarako
ambiguous	ngacaciko
ambition	itjisakalo
ambitious	langazekelako
amend	lungisa
amid	phakathi
among	hlangana
among us	phakathi kwethu
amount	inani
amusing	hlekisako
an	okhunye
analysis	ukutsenga
ancestors	abezimu
anchor	amahagere
ancient	kade
and	kunye
and you	wena ke
angel	ingelosi
anger	ukukwata
angle	i-engeli
angry	silingeka
animal	isilwana
ankle	ingogoriyana
anniversary	isikhumbuzo
announcement	isimemezelo
annoy	silinga
annoyed	silingeka
annoying	tshwenyako
annual	qobe mnyaka
