kou'n	a
kanhan	a little
kaka	a lot
i kaka	a lot of
yakinu	abandon
yaki lɛ	abandoned
yin yi sran	abide
ya lɛ	abide
n'ga e kula yo	ability
kula	able
like n'ga su	about
n'ga wo itissu	above
minh uflɛ	abroad
numan lɛ	absence
numan lɛ	absent
issɔ su kpa	absolutely
min'h	absorb
nonh	absorb
yi inu	abstract
sin'zi	absurd
kaka	abundance
dɔwun	abundance
son'li	abundant
kle yo alɛ	abuse
i yi jolɛ wafa	accent
kplissu	accept
kula yo	access
loto tɔlɛ	accident
awlo	accommodation
sua n'ga be wa tran nu	accommodation
yo i n'gba	accomplish
yoli	accomplished
cɛ e nian su	according
cun'ti	account
n'ga ti iliɛ	accuracy
issu ɔ	accurate
yi ɛ yo li ɔ	accused
ɔ ya	ache
yoli	achieve
nin'gue n'ga e yoli	achievement
si sɔ	acknowledge
like n'ga a sĩ	acquaintance
gnan i	acquire
lɛ yi	acquire
ɲinhi	acquired
like n'ga be ɲin i	acquisition
inu	across
sa n'ga sran yo	act
yo	action
tike	active
sɔ	active
juman mu	activities
juman like n'ga a yo	activity
filmi nu sran mu	actor
dɔ n'ga su	actual
dɔ n'gassu	actually
la wa	acute
nian su yo	adapt
wuka su	add
afɛ iti	addicted
ekun	addition
n'ga guassu	additional
tranwlɛ	address
n'ga ti kpa	adequate
n'ga mantan i	adjacent
n'ga wo iwun'	adjacent
duman n'ga be fa minhi	adjective
sie i kpa	adjust
klo i	admire
kpli'n su	admit
yo	adopt
like klanhan	adorable
kɔ i ɲunu	advance
du mua	advanced
i bue kpa	advantage
lika n'ga a yoli be	adventure
n'dɛ ba	adverb
nin'gue i attɛ yo wa	advertisement
publicite	advertising
agun'da	advice
man akun'nda	advise
avoca	advocate
nin'gue klanhan	aesthetic
n'dɛ	affair
kanli be	affect
klolɛ	affection
issɔ n'dɛ	afford
n'ga be kula fa	affordable
srɛ	afraid
i sin’n	after
amindi sin	afternoon
n'ga ba issi'n	afterwards
ekun	again
eni	against
afuɛ	age
agenci	agency
juman difuɛ	agent
awlin ba fufu	aggressive
si iyo	agile
lã	ago
n'liɛssu	agree
tissu	agree
kpli'n su	agreement
fie su juman	agriculture
ignu'nu	ahead
uka	aid
iguawlɛ	aim
an wumuan	air
aeropɔri	airport
lika n'ga avion be tu	airport
afien	aisle
dɔ	alarm
n'zan	alcohol
dumua kan	alert
e wo n'guan nu	alive
i kula	all
i n'gba	all
e ti kpa	all right
e ti su	all right
min nianmien wuka wɔ	all the best
min i ati'n	allow
man ati'n	allowed
avie dju	almost
kun'gba	alone
iwumi	alone
i'un	along
wa dumua wa yo	already
Eti kpa	Alright
eni	also
ti i wafa kun	alternative
n'ga ti	although
tchin kula	always
n'ti	am
