kadikit	a little
dakulon	a lot
dakol nin	a lot of
pabayaan	abandon
pabayaan	abandoned
utob	abide
kakayahan	ability
may kakayahan	able
manungod	about
itaas	above
ibang nasyon	abroad
mayo	absence
dai naglaog	absent
lubos	absolutely
nasopsop	absorb
abstrak	abstract
mayong katotoohan	absurd
abunda	abundance
abundansiya	abundant
pag-abuso	abuse
abuso	abuse
akuon	accept
aksidente	accident
dagusan	accommodation
magibo	accomplish
nagibo na	accomplished
oyon sa	according
eksakto	accuracy
tama	accurate
akusado	accused
kulog	ache
nagkukulog	ache
makamtan	achieve
nakamtan	achievement
minidbid	acknowledge
kamidbid	acquaintance
kua	acquire
nakua	acquired
nakua	acquisition
sa ibong	across
gibo	act
aksyon	action
aktibo	active
aktibidad	activities
aktibidad	activity
artista	actor
aktuwal	actual
sa totoo	actually
malala	acute
maki-angay	adapt
dagdag	add
sugapa	addicted
dagdag	addition
kadagdagan	additional
istaran	address
magtaram	address
sapat	adequate
kataed	adjacent
isaayos	adjust
hanga	admire
akuon	admit
kupkop	adopt
kagusto-gusto	adorable
masulong	advanced
bentaha	advantage
pamamasyar	adventure
anunsiyo	advertisement
anunsiyo	advertising
sadol	advice
payo	advise
nagtataguyod	advocate
tagapagtaguyod	advocate
estitiko	aesthetic
pangyayari	affair
apekto	affect
pagpahiling nin pagkamoot	affection
kayang bumakal	afford
abot-kaya	affordable
takot	afraid
pagkatapos	after
hapon	afternoon
pagkatapos	afterwards
giraray	again
kontra sa	against
edad	age
ahensiya	agency
ahente	agent
agresibo	aggressive
maliksi	agile
kaidto	ago
nagkasundo	agree
kasunduan	agreement
agrikultura	agriculture
naeenot	ahead
tabang	aid
katuyuhan	aim
hangin	air
eropuerto	airport
pasilyo	aisle
takot	alarm
alkohol	alcohol
alerto	alert
buhay	alive
gabos	all
gabos tama	all right
tugot	allow
tinugutan	allowed
halos	almost
solo	alone
sa gilid	along
tapos na	already
iyo man	also
alternatibo	alternative
maski	although
pirme	always
makangalas	amazing
bakong malinaw	ambiguous
ambisyon	ambition
ambisyoso	ambitious
binago	amend
sa tahaw	amid
sa mga	among
satuya	among us
halaga	amount
nakakaogma	amusing
sarong	an
analisar	analysis
mga ginikanan	ancestors
angkla	anchor
suanoy	ancient
asin	and
asin ika	and you
anghel	angel
kaangotan	anger
anggulo	angle
anggot	angry
hayop	animal
buol	ankle
anibersaryo	anniversary
anunsiyo	announcement
uyam	annoy
nauyam	annoyed
makauyam	annoying
taunan	annual
iba	another
magsimbag	answer
simbag	answer
antisipar	anticipate
nababahala	anxiety
nababahala	anxious
maski arin	any
pa	anymore
maski siisay	anyone
maski ano	anything
baga man	anyway
kunsabagay	anyways
bulag	apart
hagad tawad	apologize
hiling hiling	apparent
gari	apparently
apela	appeal
magbutwa	appear
itsura	appearance
nagbutwa	appeared
gana	appetite
mansanas	apple
aplikasyon	application
appointment	appointment
apresyar	appreciate
apresasyon	appreciation
magrani	approach
pagrani	approach
angay	appropriate
pag-oyon	approval
aprobar	approve
naaprubahan	approved
halos	approximately
abril	april
bakong makatwiran	arbitrary
arkitekto	architect
arkitektura	architecture
ika daw	are you
dakol kang gibo	are you busy
may agom kana	are you married
kasal ka o mayong agom	are you married or single
Yaon pa kamo diyan?	Are you still there?
yaon ka diyan	are you there
lugar	area
diskusyon	argue
argumento	argument
bangon	arise
takyag	arm
soldados	army
sa palibot	around
pakarhayon	arrange
kaayusan	arrangement
pag-abot	arrival
nag-abot	arrive
nag-abot	arrived
arogante	arrogant
pana	arrow
arte	art
artikulo	article
artipisyal	artificial
pintor	artist
arog kan	as
hanggang sa	as long as
iyo man	as well
siring man kan	as well as
abo	ash
supog	ashamed
hapot	ask
naghapot	asked
turog	asleep
aspeto	aspect
asunto	assault
asembleya	assembly
mapamirit	assertive
karkulo	assess
pagsadiri	asset
mga pagsadiri	assets
nag-asignar	assign
asignasyon	assignment
magtabang	assist
katabang	assistant
asosyar	associate
asosyado	associated
asosasyon	association
asumir	assume
paghuna	assumption
sa	at
minsan paano	at least
nagkaon	ate
atleta	athlete
kadukot	attach
nakadukot	attached
kadukot	attachment
atake	attack
binalo	attempt
pagbalo	attempt
atender	attend
pagdalo	attendance
atensyon	attention
aktitud	attitude
dagka	attract
atraksyon	attraction
magayon	attractive
atributo	attribute
mga naghihling	audience
agosto	august
inaon	aunt
tiyaon	aunty
awtor	author
awtoridad	authority
tigrakdag	autumn
igwa	available
likay	avoid
mata	awake
premyo	award
aram	aware
kaaraman	awareness
mayo digdi	away
makangangalas	awesome
nakakatakot	awful
bakong komportable	awkward
aki	baby
mayong agom na lalaki	bachelor
likod	back
dangog	background
maraot	bad
bag	bag
subad	bait
bakalan nin tinapay	bakery
timbang	balance
timbangon	balance
bola	ball
batag	banana
banda	band
banko	bank
bihira	barely
subasta	bargain
nagbabatok	bark
batok	bark
harang	barrier
base	base
base sa	based
sirong kan harong	basement
talaga	basically
bastardo	bastard
grupo	batch
karigusan	bath
karigusan	bathroom
baterya	battery
labanan	battle
magin	be
magin maingat	be careful
pampang nin dagat	beach
sinag	beam
gisantes	beans
tioson	bear
oso	bear
bigote	beard
nagdadara	bearing
hayop	beast
daog	beat
daogon	beat
magayon	beautiful
gayon	beauty
nagin	became
huli	because
naging	become
higdaan	bed
kwarto	bedroom
sugod	bee
karneng baka	beef
nagin	been
bago	before
nagpuon	began
magpuon	begin
kapinunan	beginning
sa pangaran ni	behalf
paghiro	behave
pag-uugali	behavior
pag-hiro	behaviour
likod	behind
pagkatawo	being
paniniwala	belief
tubod	believe
tulak	belly
kaiba	belong
namumutan	beloved
sa ibaba	below
paha	belt
tukawan	bench
tiko	bend
sa irarom	beneath
benepisyaran	benefit
benepisyo	benefit
mga benepisyo	benefits
sa gilid	beside
maliban sa	besides
pinaka	best
mas marahay	better
pag-ultanan	between
inumon	beverage
sa ibong kan	beyond
bakong pantay na trato	bias
igwa nin kinikilingan	biased
bisekleta	bicycle
dakula	big
bisekleta	bike
bayadan	bill
bugkuson	bind
bayong	bird
kumpleanyo	birthday
dikit	bit
kagaton	bite
kagat	bite
pait	bitter
itom	black
tarom	blade
pagbabasol	blame
basol	blame
blanko	blank
tamong	blanket
putok	blast
ikinula	bleach
maghalo	blend
bisa	bless
bendisyon	bless
benendisyunan	blessed
buta	blind
kaogmahan	bliss
harang	block
dugo	blood
namurak	bloom
huyop	blow
azul	blue
bakong mattarom	blunt
naglunad	board
bangka	boat
lawas	body
kalakaga	boil
huba	bold
agresibo	bold
bugkos	bond
tolang	bone
libro	book
magbunsod	boost
pagbubunsod	boost
pampakusog	booster
bota	boot
bota	boots
sagkodan	border
langkag	bore
langkag	bored
nalalangkag	boring
ipinangaki	born
suble	borrow
amo	boss
pareho	both
disturbuhon	bother
botelya	bottle
irarom	bottom
nagbakal	bought
talbog	bounce
pasiring	bound
sagkodan	boundaries
duko	bow
mangko	bowl
kahon	box
aking lalaki	boy
syota	boyfriend
pulseras	bracelet
hutok	brain
sanga	branch
maisog	brave
paglabag	breach
tinapay	bread
pahingalo	break
pasa	break
pamahawan	breakfast
dudo	breast
hinangos	breath
hangos	breathe
lahi	breed
laryo	brick
nobya	bride
tulay	bridge
halipot	brief
brip	brief
maliwanag	bright
matali	brilliant
magdara	bring
tugang na lalaki	bro
ha	broad
ibalingibog	broadcast
napasa	broke
pasa	broken
sigid	broom
tugang na lalaki	brother
bayaw	brother in law
nagdara	brought
de kape	brown
sipilyo	brush
balde	bucket
kurukaiba	buddy
badyet	budget
sublat	bug
magtindog	build
edipisyo	building
nagtindog	built
kadaklan	bulk
toro	bull
bunggo	bump
tumpok	bunch
bugkos	bundle
pagabat	burden
pasan	burden
ilubong	buried
sulo	burn
pagputok	burst
piglubong	bury
palungpong	bush
negosyo	business
dudo	bust
dakol na gibo	busy
pero	but
mantikilya	butter
alibangbang	butterfly
butones	button
magbakal	buy
paagi sa	by
maiba ako	by the way
paaram	bye
repolyo	cabbage
kabinet	cabinet
hawla	cage
keyk	cake
aki nin baka	calf
mag-apod	call
apod	call
apudan mo ako	call me
nag apod	called
kalmado	calm
nagdigdi	came
kampanya	campaign
makakagibo	can
lata	can
