Jun	a
chi'n	a little
nintz'	a lot
ch´uq	a lot of
k´loj	a lot of
oqb´il	abandon
k´olil	abandon
kolil	abandon
ko´lin	abandoned
ma b´nchet	abide
junpaqx	ability
kab´ale	able
naqaku tkitz	about
jawl	above
mya toj q-tx´otx´	abroad
nti'	absence
mixti	absent
iktzen	absolutely
tz'ub'il	absorb
abstracto	abstract
xnak	absurd
nimxix	abundance
nimxix	abundant
ma tz'ok il	abuse
yol	accent
k´amol	accept
oktzil	access
okx	access
k´ixb´len	accident
ja taye q-ja	accommodation
t´un tpon b´aj	accomplish
ma b'ent	accomplished
tzenku ló	according
tjlala tuj k'upwaq	account
tajlal k'u'npwaq	account
tzeʼnx	accuracy
axexje	accurate
ma kux b'ajsan	accused
ky´ixk´oj	ache
ky´ixk´aj	ache
k'anb'et	achieve
ma b´ent	achievement
niky'tzil	acknowledge
tzqi´n	acquaintance
t-tzyet	acquire
etzil	acquired
adquisicion	acquisition
tuj	across
tu	across
n-b´ajte	act
n-b´ant	action
itz'	active
aq'untl	activities
aju at toklen	activity
jun xjal in netz toj televisión	actor
jaala	actual
jane	actually
netz'	acute
naq'et	adapt
tz'aqsil	add
naqʼete tiʼj	addicted
tzuyet	addition
yoq'ol	addition
slapat	addition
junjutl	additional
tja q´amal b´e	address
janejenel	address
b´ant tun txiye	adequate
alojxa	adjacent
ka´yinb´ib´aj	adjective
tz´aqol	adjust
tz´aqet	adjust
tz´aqtzil	adjust
n-xi q-kayen wen	admire
tziyet	admit
ponex t-kayb´ajtz	adorable
ja ma qo kanen	advance
ma nej	advanced
a b´a´n	advantage
niky´b´ajil	adventure
K´tzpyol	adverb
qmal t-pakb´al	advertisement
chik'b'al	advertising
nab´l	advice
nab´il	advice
nab'il	advise
k'olil	advocate
ponex kayen	aesthetic
ajpaj	affair
q´on mal	affect
laq'il	affection
tzaqpaj	afford
asequble	affordable
xob´el	afraid
Texlena	after
q'ale	afternoon
yajxa	afterwards
yajxtil	afterwards
ju majt	again
ti´j	against
jte tanq´ib´la	age
ja qʼol tqanil	agency
jun xjal	agent
tx´uj	aggressive
ojqel	agile
tijxi	ago
kuyil	agree
k´uyil	agree
k´amol	agree
ik tzeʼn otoq	agreement
naqʼunan tiʼj txʼotxʼ	agriculture
tnejil	ahead
nejil	ahead
nejne	ahead
onil	aid
tz´ib´il	aim
xolte	aim
kyq´iq´	air
twitz ja	aisle
k'asb'il	alarm
q´en	alcohol
xqʼuqink tibʼa	alert
chwiqlal	alive
tkyaqil	all
b´a´n	all right
ky'iwb'il	all the best
kuyil	allow
a xq´mante	allowed
noq ch´intl	almost
tjunilx	alone
tib´ajxe lu´n	along
matxi	already
b´an	Alright
ikx	also
juntl lu´n	alternative
q'unpitz'un	although
axju	always
ayine	am
ponex wen	amazing
nya axixtok	ambiguous
tajbʼil tuʼn tbʼant tuʼn	ambition
xjal taj txqan puaq	ambitious
saman	amend
kyxol	amid
kyxol	among
kyxol	among us
jte tq´anil	amount
tze'	amusing
jun	an
