एकः	a
स्थगन	abandon
आबुध्त	abandoned
आबद्ध	abide
क्षमता	ability
सक्षमः	able
विषये	about
उपरि	above
देशान्तरम्	abroad
उनुपास्थिति	absence
अनुपस्थित	absent
अत्यन्तम्‌	absolutely
अवशोस्	absorb
मूर्त	abstract
विसङ्गत	absurd
विपुलता	abundance
बहुल	abundant
निकृति	abuse
उच्चारण	accent
स्वीकरोतु	accept
अभिगमः	access
दुर्घटना	accident
व्यवस्थापन	accommodation
पूरयतु	accomplish
पूर्ण	accomplished
अनुसारे	according
वृतांत्तः	account
विशुद्धता	accuracy
परिशुद्धः	accurate
आरोपित	accused
पीडा	ache
प्राप्नोतु	achieve
उपलब्धि	achievement
सञ्जानीते	acknowledge
निकटवर्ती	acquaintance
अर्जन	acquire
प्राप्त	acquired
अधिग्रहणं	acquisition
तिरश्चीनम्‌	across
विधि	act
नामपत्र	action
सक्रियं	active
गतिविधयः	activities
गतिविधि	activity
नायक	actor
वास्तविक	actual
यथार्थतः	actually
न्यून	acute
अनुकूलयेत्	adapt
संयोजयति	add
प्रसक्त	addicted
योजन	addition
पत्रसङ्केतः	address
पर्याप्तं	adequate
पार्श्वस्थ	adjacent
विशेषणं	adjective
समीकरोतु	adjust
श्लाघाते	admire
प्रपद्यते	admit
स्वीकार	adopt
पूजनीयं	adorable
अग्रिमधन	advance
उन्नतं	advanced
लाभ	advantage
साहस	adventure
क्रियाविशेषण	adverb
विज्ञापनं	advertisement
प्ररोचन	advertising
उपदेशः	advice
परामर्श	advise
अधिवक्ता	advocate
सज्जनीयं	aesthetic
व्यवहार	affair
लिंपन्ति	affect
भावना	affection
वितरतु	afford
प्रमाप्य	affordable
भीतः	afraid
अनन्तरम्‌	after
अपराह्नः	afternoon
तदनन्तरम्	afterwards
पुनः	again
विरुद्धम्‌	against
वयः	age
कर्तृकत्व	agency
दूत:	agent
विगृह्य	aggressive
विखेद	agile
पूर्व	ago
अङ्गीकरोतु	agree
सहमति	agreement
कृषि	agriculture
अग्रे	ahead
सहायता	aid
लक्ष्य	aim
वायु	air
वायुपत्तनं	airport
एषा	aisle
आपत्सङ्केत	alarm
मद्यसार	alcohol
सचेत	alert
तनिक	a little
जीवित	alive
सर्वे	all
अनुमन्यताम्‌	allow
अनुमत	allowed
सर्वोचित	all right
सर्वकुशलं	all the best
प्रायशः	almost
एकाकी	alone
सह	along
विपुल	a lot
विपुलं	a lot of
पूर्वमेव	already
सम्यक्‌	Alright
अपि	also
वैकल्पिक	alternative
यद्यपि	although
सर्वदा	always
अस्मि	am
अत्युत्तमम्‌	amazing
अस्पष्ट	ambiguous
महत्त्वाकाङ्क्षा	ambition
यशस्काम	ambitious
मार्जन	amend
परिषद	amid
मध्ये	among
अस्मासु	among us
राशिः	amount
विनोदवत्	amusing
एकम्‌	an
आँकलन	analysis
पूर्वज	ancestors
लाङ्गल	anchor
पुरातनः	ancient
तथा	and
दूत	angel
क्रोध	anger
कोण:	angle
क्रुद्धः	angry
पशु	animal
गुल्फ	ankle
वार्षिकी	anniversary
घोषणा	announcement
क्लिश्	annoy
अप्रसन्न	annoyed
क्लेशकः	annoying
वार्षिक	annual
अनामक	anonymous
अन्यत्‌	another
उत्तरम्‌	answer
आयासं	anticipate
उद्वेगः	anxiety
भयान्वितः	anxious
कश्चित्‌	any
अथो	anymore
किमपि	anyone
किमपि	anything
कथञ्चिद्‌	anyway
पञ्चदश	anyways
भिन्नं	apart
प्रकोष्ठ	apartment
क्षमा-याचना	apologize
व्यक्त	apparent
प्रादुस्	apparently
पुनरावेदनं	appeal
उत्प्लवते	appear
स्वरूपम्‌	appearance
निर्गत	appeared
