a little	бер аҙ
a lot	күп
a lot of	күп
abandon	ҡалдырырға
abandoned	ташландыҡ
abide	йәшәргә
abide	түҙергә
ability	һәләт
able	булдыҡлы
about	турала
above	өҫтә
abroad	сит илгә
absence	юҡлыҡ
absent	юҡлыҡ
absolutely	бөтөнләй
absorb	һеңдерергә
abstract	ҡыҫҡаса йөкмәтке
abstract	абстракт
absurd	мәғәнәһеҙ
abundance	муллыҡ
abundant	мул
abuse	самаһыҙ файҙаланырға
accent	акцент
accept	килешергә
access	инеү
access	инегә
accident	бәлә-ҡаза
accommodation	урынлаштырыу
accomplish	ирешергә
accomplished	башҡарылған
according	буйынса
account	аккаунт
account	иҫәп яҙмаһы
accuracy	аныҡлыҡ
accurate	теүәл
accused	ғәйепләнеүсе
ache	ауыртырға
ache	ауыртыу
achieve	ирешергә
achievement	ҡаҙаныш
acknowledge	күнәтләргә
acquaintance	танышыу
acquire	ҡаҙанырға
acquired	һатып алынған
acquisition	һатып алыу
across	арҡыры
act	эш-ҡылыҡ
action	ғәмәл
active	иткер
activities	эшмәкәрлек
activity	әүҙемлек
actor	актёр
actual	ысын
actual	фактик
actually	ысынбарлыҡта
acute	ныҡ
adapt	ябайлаштырырға
add	ҡушырға
addicted	бәйле
addition	өҫтәмә
additional	өҫтәлмә
address	адресларға
address	адрес
adequate	адекват
adjacent	эргәләш
adjective	сифат
adjust	килештерергә
admire	һоҡланырға
admit	танырға
adopt	балалыҡҡа алырға
adorable	һоҡланғыс
advance	алдағыртырға
advance	күтәрелеү
advanced	алдынғы
advantage	өҫтөнлөк
adventure	мажара
adverb	рәүеш
advertisement	реклама
advertising	реклама
advice	кәңәш
advise	кәңәш бирергә
advocate	яҡларға
advocate	яҡлаусы
aesthetic	эстетик
affair	бәйләнеш
affair	эш
affect	йоғонтоларға
affection	эйәләшеү
affection	зарарланыу
afford	мөмкинлек бар
affordable	арзан
afraid	ҡурҡыу
after	һуң
afternoon	төштән һуң
afterwards	шунан
again	тағы ла
against	ҡаршы
age	ҡартайырға
age	йәш
agency	агентлыҡ
agent	агент
aggressive	баҫҡынсылыҡ
agile	теремек
ago	элек
agree	риза булырға
agreement	килешеү
agriculture	игенселек
ahead	алда
aid	ярҙам
aim	сәпләргә
aim	сәп
air	һауа
airport	аэропорт
aisle	рәт араһы
alarm	сигнализация
alarm	уятҡыс
alcohol	алкоголь
alert	уяу
alive	тере
all	бөтә
all right	ярай
all the best	иҙге теләктәр
allow	рөхсәт итергә
allowed	рөхсәт ителгән
almost	яҡын
alone	бер үҙе
along	буйлап
already	инде
Alright	Яҡшы
also	шулайҙа
alternative	альтернатив
although	уға ҡарамаҫтан
always	һәр ваҡыт
amazing	ғәжәп
ambiguous	ике мәғәнәле
ambition	сәм
ambition	егәр
ambitious	маҡсатҡа ынтылышлы
amend	төҙәтеү индерергә
amid	араһында
among	араһында
among us	беҙҙең арабыҙҙа
amount	һан
amusing	ҡыҙыҡлы
analysis	анализ
ancestors	ата-бабалары
anchor	якорь
ancient	боронғо
and	һәм
and you	һеҙгә лә
angel	фәрештә
anger	уҫаллыҡ
angle	мөйөш
angry	уҫал
animal	хайуан
ankle	бәкәл
anniversary	йыллығы
announcement	иғлан
annoy	асыуландырырға
annoyed	ярһыулы
annoying	асыу килтергес
annual	йыл һайын
anonymous	аноним
another	икенсе
answer	яуап бирергә
answer	яуап
anticipate	алдан күрергә
anxiety	шом
anxious	борсоулы
any	теләһә ниндәй
anymore	башҡаса түгел
anyone	кем дә булһа
anything	берәй нәмә
anyway	һәр хәлдә
anyways	нисек булһа ла
apart	айырым
apartment	фатир
apologize	ғәфү үтенергә
apparent	ихтимал
apparently	күрәһең
appeal	күңелгә ятырға
appeal	мөрәжәғәт итергә
appear	күренергә
appearance	килеү
appearance	ҡиәфәт
appeared	кеүек күренгән
appeared	килеп сыҡҡан
appetite	аппетит
apple	алма
application	приложение
application	ҡулланыу
apply	ҡулланырға
apply	ғариза тапшырырға
appointment	вазифаһына тәғәйенләү
appointment	күрешеү
appreciate	ҡәҙерен белергә
appreciation	рәхмәт белдереү
approach	эргәгә килергә
approach	мөнәсәбәт
appropriate	тейешле
approval	хуплау
approve	раҫларға
approved	хупланған
approximately	яҡынса
april	апрель
arbitrary	ирекле
architect	архитектор
architecture	архитектура
archive	архив
are you	һин
are you busy	һин бушайыңмы
are you married	һин өйләнгәнһеңме
are you married or single	һин өйләнгәнме әллә яңғыҙмы
Are you still there?	Һин һаман ундамы?
are you there	һин ундамы
area	ер
argue	һүҙ көрәштергә
argument	дәлил
argument	бәхәс
arise	барлыҡҡа килергә
arm	ҡул
army	ғәскәр
around	тирәләй
arrange	ойошторырға
arrangement	урынлашыу
arrival	килеү
arrive	килергә
arrived	килгән
arrogant	тәкәббер
arrow	уҡ
art	сәнғәт
article	мәҡәл
artificial	яһалма
artist	рәссам
as	һымаҡ
as	сөнки
as long as	-ғансы-гәнсе
as long as	-ҡансы -кәнсе
as well	шулай уҡ
as well as	һәм . да
ash	көл
ashamed	оялсан
ask	һорарға
asked	һораған
asleep	йоҡоған
aspect	аспект
Assamese	ассам теле
assault	һөжүм
assembly	йыйылыш
assertive	раҫлаусы
assess	баһалау
assessment	баһалау
asset	актив
assets	активтар
assign	тәғәйенләргә
assignment	бирем
assist	ярҙам итергә
assistant	ярҙамсы
associate	иптәш
associate	бәйләргә
associated	бәйләнгән
association	ассоциация
association	берекмә
assume	иҫәпләргә
assumption	алдан самалау
at least	кәм тигәндә
ate	ашанған
athlete	спортсы
attach	йәбештерергә
attach	беркетергә
attached	беркетеп ҡуйылған
attachment	бәйлелек
attack	һөжүм
attempt	һынап ҡарарға
attempt	маташыу
attend	килеп сығырға
attendance	килеүселәр
attention	иғтибар
attitude	ҡараш
attitude	мөнәсәбәт
attract	йәлеп итергә
attraction	һөйкөмлөлөк
attractive	һөйкөмлө
attribute	билдә
attribute	аныҡлаусы
audience	аудитория
august	август
aunt	апай
aunt	әбей
aunty	апаҡай
authentic	аутентик
author	яҙыусы
authority	хакимлыҡ
autumn	көҙ
available	асыҡ
average	уртаса
avoid	ҡасырға
awake	уянған
award	бүләк
aware	белеү
awareness	белемлелек
away	ситкә
awesome	бик шәп
awful	ҡот осҡос
awkward	уңайһыҙ
Aymara	аймара теле
baby	бәпәй
bachelor	буйҙаҡ
bachelor	бакалавр
back	кире
back	арҡа
background	ерлек
bad	яман
bag	сумка
bag	тоҡ
bait	алдатҡыс
bake	бешерергә
bakery	икмәкхана
baking soda	аҙыҡ содаһы
balance	тигеҙлек
balance	тигеҙлек тоторға
ball	туп
ball	бейеу кисәһе
Bambara	бамбара теле
banana	банан
band	төркөм
band	таҫма
bang	һуғыу
bank	банк
bank	яр
bar	рәшәткә
bar	киҫәк
bar	бар
barely	саҡ ҡына
bargain	сауҙалашырға
bark	өрөү
bark	өрөргә
barley	арпа
barrier	барьер
base	база
base	нигеҙләнергә
based	нигеҙләнгән
basement	иҙән аҫты
Bashkir	Башҡорт
basic	башланғыс
basically	асылда
basil	базилик
bastard	әҙәм аҡтығы
batch	партия
bath	ванна
bathroom	ванна бүлмәһе
battery	батарея
battle	һуғыш
bay	ҡултыҡ
be	булырға
be careful	һаҡ бул
beach	яр
beam	балҡырға
beam	нур
beans	бөртөксәләр
bear	түҙергә
bear	айыу
beard	һаҡал
bearing	йөрөтөү
bearing	сабырлыҡ
bearing	уңыш
beast	йәнлек
beat	тибеш
beat	туҡмарға
beautiful	матур
beauty	матурлыҡ
became	булды
because	сөнки
become	булырға
bed	карауат
bedroom	йоҡо бүлмәһе
bee	бал ҡорто
beef	һыйыр ите
been	булған
beer	һыра
before	тиклем
before	башта
began	башлаған
begin	башларға
beginning	баш
behalf	исеменән
behave	үҙ-үҙеңде тоторға
behavior	ҡылыҡ
behaviour	тәртип
behind	артында
being	булыу
belief	иман
believe	ышанырға
belly	эс
belong	кемдерҙеке булырға
beloved	һөйәр
below	аҫта
belt	билбау
bench	эскәмйә
bend	бөгөргә
beneath	аҫтараҡ
